,Tag,Frequency
0,pop,844
1,rock,577
2,alternative,428
3,Love,419
4,favorites,394
5,singer-songwriter,385
6,dance,372
7,beautiful,364
8,indie,358
9,00s,344
10,electronic,332
11,chillout,294
12,Mellow,283
13,soul,283
14,sexy,275
15,american,248
16,folk,244
17,90s,233
18,jazz,226
19,rnb,216
20,chill,215
21,electronica,206
22,easy listening,196
23,Awesome,193
24,Favourites,189
25,cool,188
26,acoustic,185
27,catchy,180
28,british,178
29,alternative rock,175
30,Favorite,173
31,favourite,164
32,party,157
33,oldies,144
34,fun,144
35,pop rock,143
36,80s,142
37,sad,140
38,happy,136
39,favorite songs,134
40,indie rock,133
41,relax,133
42,melancholy,130
43,ambient,128
44,vocal,127
45,piano,126
46,romantic,123
47,indie pop,122
48,lounge,119
49,country,116
50,loved,116
51,electro,115
52,Ballad,115
53,sweet,110
54,upbeat,107
55,2000s,105
56,melancholic,105
57,relaxing,105
58,experimental,104
59,downtempo,104
60,amazing,102
61,classic,102
62,blues,99
63,summer,96
64,Disco,96
65,cover,95
66,trip-hop,95
67,House,93
68,Soundtrack,92
69,funk,91
70,love songs,90
71,soft,90
72,lovely,88
73,Hip-Hop,88
74,Love it,88
75,love at first listen,87
76,metal,86
77,classic rock,85
78,memories,85
79,english,84
80,Dreamy,83
81,funky,82
82,seen live,82
83,guilty pleasure,81
84,smooth,80
85,guitar,79
86,vocal jazz,79
87,dark,78
88,USA,76
89,UK,75
90,nice,75
91,r&b,74
92,electropop,74
93,Smooth Jazz,74
94,Favourite Songs,73
95,good,73
96,60s,72
97,best,72
98,RB,72
99,atmospheric,71
100,Guilty Pleasures,71
101,punk,71
102,soft rock,71
103,slow,70
104,world,70
105,new wave,69
106,latin,69
107,french,69
108,nostalgia,68
109,urban,68
110,70s,68
111,Energetic,66
112,love song,65
113,hip hop,65
114,covers,64
115,great,63
116,favorite by this singer,63
117,club,62
118,jazz vocal,62
119,top 40,61
120,sensual,60
121,2008,60
122,girl power,59
123,britpop,58
124,rhythm and blues,57
125,groovy,57
126,instrumental,57
127,calm,56
128,drjazzmrfunkmusic,55
129,<3,55
130,ethereal,55
131,feel good,55
132,cute,53
133,heard on Pandora,53
134,techno,53
135,Gothic,53
136,r and b,51
137,Pop-Rock,51
138,emotional,51
139,2007,51
140,chill out,51
141,swedish,51
142,jazzy,51
143,2009,50
144,hot,49
145,great lyrics,49
146,synthpop,49
147,epic,49
148,trance,49
149,psychedelic,49
150,fav,49
151,Gothic Metal,49
152,Driving,47
153,pretty,47
154,spanish,47
155,german,46
156,vocalization,46
157,hard rock,46
158,77davez-all-tracks,46
159,songs I absolutely love,46
160,new,44
161,dance pop,44
162,sex,43
163,punk rock,43
164,diva,42
165,groove,42
166,Canadian,42
167,scandinavian,42
168,all the best,42
169,easy,41
170,folk rock,41
171,rap,41
172,adult contemporary,40
173,perfect,40
174,musicspirit,40
175,Retro,40
176,ballads,40
177,trip hop,40
178,live,40
179,Neo-Soul,39
180,top artists,39
181,Foxy Lady,39
182,Good Stuff,39
183,singer songwriter,39
184,chick rock,39
185,night,38
186,out of our heads,37
187,i am a party girl here is my soundtrack,37
188,americana,37
189,celtic,37
190,FUCKING AWESOME,36
191,folk-rock,36
192,symphonic metal,36
193,swing,36
194,post-punk,36
195,brilliant,36
196,heavy metal,36
197,haunting,35
198,dream pop,35
199,my music,35
200,attitude,35
201,melodic,34
202,eurodance,34
203,My Favorites,34
204,new age,34
205,2003,34
206,soulful,34
207,friendsofthekingofrummelpop,34
208,acid jazz,33
209,dance-pop,32
210,Uplifting,32
211,kot,32
212,alternative pop,32
213,melodic metal,32
214,motown,32
215,synth,31
216,powerful,31
217,woman,31
218,Old School soul,31
219,tantotempotaste,31
220,reggae,31
221,loneliness after dusk,31
222,vocals,31
223,UK top 40,30
224,Gothic Rock,30
225,50s,30
226,sing along,30
227,teen pop,30
228,vocal trance,30
229,slow jams,30
230,irish,30
231,indie folk,30
232,Progressive rock,30
233,Progressive,29
234,my favorite,29
235,indietronica,29
236,Electroclash,29
237,Alternative  Punk,29
238,feelgood,28
239,energy,28
240,1980s,28
241,the best,28
242,2004,28
243,World Music,28
244,Progressive metal,28
245,romantic tension,27
246,Favorite Artists,27
247,remix,27
248,girls,27
249,Scottish,27
250,quirky,27
251,lovesongs,27
252,80's,27
253,sleek,27
254,interesting,27
255,music,27
256,My pop music,27
257,nostalgic,27
258,5,26
259,influential,26
260,norwegian,26
261,2006,26
262,divas,26
263,Bittersweet,26
264,heartbreak,26
265,new york,25
266,Jills Station,25
267,title is a full sentence,25
268,1,25
269,synth pop,25
270,blue,25
271,1990s,25
272,Faves,25
273,All time favourites,25
274,girl group,25
275,Electro Pop,25
276,Dream,25
277,top,24
278,latin pop,24
279,wow,24
280,Masterpiece,24
281,rock n roll,24
282,favs,24
283,old school,24
284,rex ferric faves,24
285,Garage Rock,24
286,Lo-Fi,24
287,best songs of the 00s,24
288,2giveme5,23
289,Girl Groups,23
290,goth,23
291,Black,23
292,r'n'b,23
293,emo,23
294,Sentimental,23
295,england,23
296,beautiful voice,23
297,intense,23
298,alt rock,23
299,moody,23
300,Alt-country,23
301,quiet storm,23
302,me,23
303,Voice,22
304,favourite tracks,22
305,singer,22
306,funny,22
307,beautiful voices,22
308,great song,22
309,Power metal,22
310,late night,22
311,girl band,21
312,my soundtrack,21
313,tangy,21
314,riot grrrl,21
315,my gang 09,21
316,fH Projex,21
317,billboard number ones,21
318,romance,21
319,classic country,21
320,australian,21
321,brazilian,21
322,other,21
323,poprock,21
324,nu jazz,21
325,Neo Soul,21
326,Grunge,21
327,addictive,20
328,metro downtempo,20
329,Bossa Nova,20
330,handclaps,20
331,loves it,20
332,4,20
333,work,20
334,20th Century,20
335,close harmony,20
336,legend,20
337,Pop Music,20
338,lush,20
339,download,20
340,Radio,20
341,names,20
342,cheerful,20
343,blingtacular,20
344,strings,20
345,women,20
346,Dancemania,19
347,Soundtrack Of My Life,19
348,i feel good,19
349,electro-pop,19
350,relaxed,19
351,peaceful,19
352,idm,19
353,pozytywne wibracje,19
354,Europop,19
355,Adult Alternative,19
356,lyrics,19
357,gjamr,19
358,Avant-Garde,19
359,brasil,19
360,number one hits,19
361,duets,19
362,gute laune,19
363,bouncy,19
364,industrial,19
365,1960s,18
366,RockPop,18
367,soothing,18
368,Pop Life,18
369,genius,18
370,popular,18
371,chilled,18
