,Tag,Frequency
0,pop,776
1,rock,526
2,Love,405
3,singer-songwriter,396
4,alternative,393
5,dance,375
6,00s,346
7,beautiful,341
8,favorites,331
9,indie,304
10,electronic,300
11,soul,294
12,chillout,289
13,Mellow,272
14,sexy,253
15,chill,225
16,folk,224
17,american,223
18,90s,214
19,rnb,213
20,jazz,210
21,electronica,185
22,british,172
23,acoustic,163
24,easy listening,161
25,Awesome,159
26,cool,155
27,Favorite,153
28,catchy,147
29,Favourites,146
30,party,144
31,80s,133
32,alternative rock,131
33,fun,129
34,sad,128
35,romantic,127
36,oldies,123
37,lounge,122
38,melancholy,121
39,Ballad,121
40,ambient,121
41,relaxing,120
42,indie pop,117
43,favourite,115
44,pop rock,113
45,amazing,113
46,indie rock,111
47,piano,110
48,smooth,109
49,melancholic,108
50,funk,107
51,downtempo,107
52,trip-hop,107
53,vocal,106
54,relax,105
55,happy,105
56,blues,105
57,Disco,102
58,favorite songs,102
59,2000s,101
60,House,99
61,love songs,98
62,sweet,95
63,country,95
64,loved,94
65,upbeat,93
66,Soundtrack,92
67,classic,91
68,funky,89
69,electro,88
70,70s,87
71,classic rock,87
72,cover,85
73,world,85
74,summer,84
75,english,83
76,seen live,82
77,soft,82
78,Dreamy,82
79,rhythm and blues,82
80,60s,80
81,r&b,79
82,club,78
83,RB,78
84,favorite by this singer,78
85,latin,78
86,lovely,77
87,trance,76
88,experimental,76
89,punk,73
90,USA,72
91,slow,71
92,atmospheric,71
93,Hip-Hop,70
94,Favourite Songs,70
95,UK,68
96,love at first listen,68
97,drjazzmrfunkmusic,68
98,good,68
99,metal,66
100,soft rock,65
101,urban,63
102,hot,63
103,guilty pleasure,62
104,techno,62
105,nice,62
106,Neo-Soul,61
107,great,60
108,groovy,59
109,Guilty Pleasures,59
110,ethereal,59
111,spanish,59
112,sensual,58
113,chill out,58
114,dark,57
115,pretty,57
116,love song,57
117,guitar,57
118,r and b,56
119,Energetic,56
120,songs I absolutely love,56
121,Love it,55
122,covers,55
123,instrumental,55
124,Canadian,55
125,heard on Pandora,55
126,2008,54
127,cute,54
128,Smooth Jazz,54
129,memories,53
130,Gothic,53
131,synthpop,52
132,vocalization,52
133,britpop,51
134,girl power,51
135,french,50
136,adult contemporary,50
137,haunting,50
138,epic,49
139,brilliant,49
140,best,49
141,new age,49
142,groove,49
143,calm,48
144,Uplifting,48
145,vocal jazz,47
146,2007,47
147,feel good,47
148,folk rock,47
149,electropop,47
150,top 40,47
151,jazzy,46
152,nostalgia,46
153,fav,45
154,trip hop,45
155,jazz vocal,43
156,Gothic Metal,43
157,new wave,43
158,diva,43
159,2009,43
160,musicspirit,43
161,ballads,42
162,vocal trance,41
163,german,41
164,all the best,40
165,hip hop,40
166,<3,40
167,punk rock,40
168,easy,40
169,swedish,40
170,motown,39
171,77davez-all-tracks,39
172,sex,38
173,Retro,37
174,World Music,37
175,soulful,36
176,rock n roll,36
177,post-punk,36
178,night,36
179,out of our heads,35
180,attitude,35
181,emotional,35
182,indie folk,35
183,perfect,35
184,Neo Soul,34
185,Pop-Rock,34
186,new,34
187,latin pop,34
188,Driving,33
189,hard rock,33
190,great lyrics,33
191,Bittersweet,32
192,rap,32
193,synth pop,32
194,Good Stuff,32
195,brazilian,32
