,Tag,Frequency
0,pop,830
1,rock,554
2,alternative,411
3,dance,392
4,Love,391
5,favorites,384
6,singer-songwriter,351
7,indie,348
8,beautiful,345
9,electronic,330
10,00s,326
11,chillout,276
12,soul,272
13,Mellow,256
14,sexy,248
15,folk,238
16,american,230
17,90s,220
18,electronica,209
19,chill,205
20,jazz,204
21,rnb,196
22,british,186
23,easy listening,185
24,Favorite,184
25,Awesome,183
26,cool,171
27,catchy,160
28,Favourites,158
29,oldies,153
30,alternative rock,152
31,acoustic,151
32,fun,150
33,favourite,147
34,80s,141
35,ambient,138
36,party,138
37,indie pop,136
38,happy,134
39,sad,132
40,pop rock,131
41,lounge,125
42,vocal,124
43,relax,124
44,piano,123
45,melancholy,119
46,favorite songs,116
47,loved,115
48,romantic,114
49,indie rock,113
50,downtempo,112
51,Ballad,111
52,country,109
53,electro,108
54,relaxing,105
55,melancholic,102
56,Soundtrack,100
57,experimental,98
58,summer,97
59,sweet,97
60,upbeat,97
61,House,97
62,2000s,94
63,classic rock,94
64,trip-hop,94
65,blues,93
66,funk,93
67,seen live,92
68,amazing,91
69,Dreamy,89
70,trance,89
71,classic,88
72,rhythm and blues,86
73,70s,86
74,soft,86
75,smooth,86
76,love at first listen,85
77,cover,85
78,funky,85
79,love songs,83
80,lovely,82
81,60s,82
82,nice,82
83,Hip-Hop,82
84,Disco,81
85,favorite by this singer,79
86,Favourite Songs,78
87,good,77
88,english,76
89,Love it,76
90,punk,75
91,slow,74
92,world,72
93,metal,72
94,USA,72
95,electropop,71
96,atmospheric,70
97,RB,70
98,r&b,69
99,guitar,68
100,best,65
101,songs I absolutely love,65
102,ethereal,65
103,love song,64
104,covers,64
105,urban,64
106,sensual,63
107,soft rock,63
108,top 40,62
109,Energetic,60
110,hip hop,60
111,techno,59
112,dark,59
113,latin,58
114,memories,58
115,UK,56
116,jazzy,56
117,Gothic,56
118,french,56
119,great,55
120,britpop,55
121,vocalization,55
122,calm,55
123,vocal jazz,55
124,Uplifting,54
125,synthpop,54
126,club,54
127,Guilty Pleasures,54
128,instrumental,54
129,r and b,53
130,new wave,53
131,fav,53
132,cute,52
133,Driving,52
134,2009,51
135,sex,51
136,epic,51
137,hard rock,51
138,guilty pleasure,50
139,Neo-Soul,49
140,swedish,49
141,Pop-Rock,48
142,vocal trance,48
143,psychedelic,48
144,feel good,48
145,rap,48
146,spanish,47
147,drjazzmrfunkmusic,47
148,german,46
149,groovy,46
150,eurodance,46
151,<3,46
152,emotional,46
153,2007,46
154,nostalgia,45
155,great lyrics,45
156,heard on Pandora,45
157,Canadian,45
158,Smooth Jazz,44
159,motown,44
160,post-punk,44
161,dream pop,44
162,Gothic Metal,44
163,diva,43
164,girl power,43
165,trip hop,43
166,attitude,43
167,folk rock,43
168,2008,43
169,hot,42
170,dance-pop,42
171,Retro,42
172,adult contemporary,41
173,50s,41
174,ballads,41
175,chill out,40
176,FUCKING AWESOME,39
177,synth pop,39
178,soulful,39
179,perfect,38
180,My Favorites,38
181,Alternative  Punk,38
182,dance pop,38
183,musicspirit,37
184,haunting,37
185,easy,37
186,Good Stuff,37
187,punk rock,37
188,Gothic Rock,36
189,jazz vocal,36
190,new age,36
191,night,36
192,2006,36
193,americana,36
194,melodic,35
195,UK top 40,35
196,new,35
197,alternative pop,35
198,irish,35
199,all the best,35
200,nostalgic,35
201,i am a party girl here is my soundtrack,35
202,brilliant,35
203,heartbreak,35
204,out of our heads,34
205,live,34
206,top,33
207,rock n roll,33
208,Sentimental,33
209,1990s,33
210,Alt-country,33
211,chick rock,33
212,World Music,33
213,77davez-all-tracks,32
214,remix,32
215,handclaps,32
216,title is a full sentence,32
217,gute laune,32
218,heavy metal,32
219,Neo Soul,32
220,Progressive,31
221,Old School soul,31
222,scandinavian,31
223,Progressive rock,31
224,Lo-Fi,31
225,My pop music,31
226,brasil,31
227,Brems Tagg radio,30
228,2005,30
229,energy,30
230,goth,30
231,symphonic metal,30
232,soul tag,30
233,Like,30
234,celtic,30
235,emotive,29
236,powerful,29
237,acid jazz,29
238,pretty,29
239,swing,29
240,brazilian,29
241,girl group,29
242,Girl Groups,28
243,Scottish,28
244,close harmony,28
245,sing along,28
246,favs,28
247,Electroclash,28
248,singer songwriter,28
249,all of my songs,27
250,groove,27
251,chanson francaise,27
252,funny,27
253,Faves,27
254,80's,27
255,beautiful voices,27
256,indie folk,27
257,indietronica,27
258,Dream,27
259,addictive,26
260,Favorite Artists,26
261,quirky,26
262,top artists,26
263,old school,26
264,divas,26
265,Radio,26
266,feelgood,25
267,latin pop,25
268,fH Projex,25
269,slow jams,25
270,sleek,25
271,affirming,25
272,mpb,25
273,strings,25
274,the best,25
275,romantic tension,24
276,folk-rock,24
277,darkwave,24
278,progressive trance,24
279,tantotempotaste,24
280,loved tracks,24
281,deutsch,24
282,friendsofthekingofrummelpop,24
283,lacrimaindarkness,24
284,new york,23
285,1980s,23
286,Voice,23
287,melodic metal,23
288,my music,23
289,great song,23
290,2003,23
291,lyricism,23
292,4,23
293,interesting,23
294,reggae,23
295,moody,23
296,my favorite,23
297,vocals,23
298,loneliness after dusk,23
299,mood music,23
300,Electro Pop,23
301,girls,22
302,Dancemania,22
303,riot grrrl,22
304,christmas,22
305,lovesongs,22
306,emo,22
307,beautiful voice,22
308,australian,22
309,deep house,22
310,I like,22
311,Avant-Garde,22
312,names,22
313,2004,22
314,duets,22
315,Bittersweet,22
316,quiet storm,22
317,Grunge,22
318,1960s,21
319,electro-pop,21
320,Soundtrack Of My Life,21
321,rex ferric faves,21
322,classic country,21
323,makes me happy,21
324,deep,21
325,Jills Station,21
326,poprock,21
327,twee,21
328,triphop,21
329,late night,21
330,hypermusic,21
331,peaceful,20
332,angry,20
333,trippy,20
334,favourite tracks,20
335,Fusion,20
336,metro downtempo,20
337,soothing,20
338,shoegaze,20
339,Masterpiece,20
340,billboard number ones,20
341,gospel,20
342,teen pop,20
343,chanson,20
344,me,20
345,nu jazz,20
346,death metal,20
347,doom metal,20
348,yeah,19
349,2giveme5,19
350,i feel good,19
351,chilled,19
352,vocal house,19
353,2000,19
354,genius,19
355,2002,19
356,good song,19
357,Bossa Nova,19
358,lush,19
359,alt rock,19
360,ladies,19
361,leapsandloved,19
362,quiet,19
363,finnish,19
364,Foxy Lady,19
365,major key tonality,19
366,download,19
367,france,19
368,brazil,19
369,1970s,18
370,5,18
371,f,18
372,francais,18
373,influential,18
374,classics,18
375,minor key tonality,18
376,intense,18
377,norwegian,18
378,acclaimed music top 3000,18
379,pop singles,18
380,other,18
381,IIIIIIIIII AMAZING TRACK :D IIIIIIIIII,18
382,like it,18
383,4ad,18
384,light,17
385,kot,17
386,positive,17
387,singer,17
388,classic soul,17
389,linedance,17
390,european,17
391,Sleep,17
392,french pop,17
393,annymix,17
394,morning,17
395,northern soul,17
396,hits,17
397,rhythum and blues tag,17
398,italian,17
399,favorite by this group,17
400,New Soul - Hip Hop - Rap,17
401,warm,17
402,Soundtracks,17
403,Classical,17
404,saxophone,16
405,crazy,16
406,dutch,16
407,idm,16
408,nu soul,16
409,dramatic,16
410,winter,16
411,60's,16
412,Europop,16
413,Pop Music,16
414,yay and hooray and yippee and huzzah,16
415,California,16
416,latino,16
417,2001,16
418,fon,16
419,ElectronicaDance,16
420,a long red glare,16
421,Power metal,16
422,country pop,16
423,it is party time,16
424,laptop,16
425,hypnotic,16
426,hardcore,16
427,Progressive metal,16
428,all time favorites,15
429,power pop,15
430,super,15
431,all time faves,15
432,wow,15
433,RockPop,15
434,favorite song,15
435,alt country,15
436,work,15
437,golden oldies,15
438,favouritestreamable,15
439,r'n'b,15
440,2010,15
441,good music,15
442,Black,15
443,break up,15
444,inspirational,15
445,Disney,15
446,lyrics,15
447,pozytywne wibracje,15
448,Post punk,15
449,malloy2000 playlist - top songs - classical to metal,15
450,beyonce,15
451,bass,15
452,gotanygoodmusic,15
453,pop music tag,15
454,web-found,15
455,1997,15
456,duet,15
457,magic,15
458,metalcore,15
459,metallis,15
460,doo wop,14
461,90's,14
462,Smooth Soul,14
463,beats,14
464,woman,14
465,mild rhythmic syncopation,14
466,-favorites-,14
467,Sweden,14
468,life song,14
469,synth,14
470,1995,14
471,Melodic Death Metal,14
472,solx,14
473,best of 2009,14
474,club-dance,14
475,misc,14
476,1,14
477,witty,14
478,england,14
479,electronica influences,14
480,1998,14
481,blue,14
482,usa hot dance club play number one hit,14
483,Tag,14
484,electro house,14
485,legal drug,14
486,Rainy Day,14
487,cool down,14
488,art rock,14
489,Resistance is futile,14
490,singersongwriter,14
491,polish,14
492,everbest,14
493,newbest,14
494,Radiotsar approved,14
495,underrated,14
496,bouncy,14
497,halftoned singles club,14
498,ok,14
499,rockin,14
500,4 Stars,14
501,blingtacular,14
502,piano rock,14
503,personal favourites,14
504,f singer-songwriter,14
505,glam rock,13
506,My Favourites,13
507,stonesoup,13
508,Psychedelic Rock,13
509,chillin,13
510,my gang 09,13
511,christian,13
512,quittenlikoer,13
513,performed on top of the pops,13
514,nix partly,13
515,60s pop,13
516,Workout,13
517,Club Dance,13
518,pop punk,13
519,geil,13
520,amazing voice,13
521,slow jams tag,13
522,Girl,13
523,Adult Alternative,13
524,goodbye,13
525,1993,13
526,leapsandbounds favorite songs,13
527,my life,13
528,coy,13
529,NYC,13
530,alternative metal,13
531,Symphonic Rock,13
532,ska,13
533,GH10,13
534,cheerful,13
535,songs i love,13
536,DJPMan-loved-tracks,13
537,usa hot 100 number one hit,13
538,1999,13
539,political,13
540,Vocal Music,13
541,excellent,13
542,uplifting trance,13
543,slordig,13
544,best songs of the 00s,13
545,songwriter,13
546,death,13
547,fhNotBad,12
548,childhood,12
549,Excellent tune,12
550,beauty,12
551,sunday,12
552,grooves,12
553,catchy as hell,12
554,I love this song,12
555,Espanol,12
