,Tag,Frequency
0,pop,731
1,rock,562
2,alternative,413
3,Love,371
4,dance,330
5,indie,328
6,electronic,324
7,favorites,319
8,singer-songwriter,316
9,beautiful,304
10,00s,301
11,chillout,282
12,Mellow,273
13,soul,262
14,jazz,234
15,sexy,233
16,electronica,212
17,chill,203
18,Awesome,201
19,90s,197
20,american,190
21,folk,185
22,cool,183
23,british,177
24,rnb,170
25,Favourites,159
26,alternative rock,159
27,Favorite,157
28,acoustic,156
29,easy listening,154
30,indie rock,152
31,sad,138
32,catchy,137
33,indie pop,131
34,oldies,130
35,melancholy,130
36,relax,129
37,lounge,128
38,ambient,127
39,downtempo,125
40,fun,122
41,vocal,121
42,80s,120
43,favourite,117
44,party,114
45,happy,114
46,romantic,114
47,favorite songs,113
48,amazing,113
49,sweet,111
50,blues,111
51,Ballad,107
52,piano,107
53,pop rock,107
54,loved,106
55,classic rock,102
56,smooth,102
57,relaxing,99
58,trip-hop,99
59,classic,94
60,melancholic,94
61,funk,91
62,electro,90
63,punk,90
64,experimental,90
65,cover,89
66,soft,89
67,House,85
68,seen live,85
69,metal,85
70,english,83
71,slow,83
72,nice,80
73,guitar,80
74,60s,79
75,Disco,77
76,love songs,77
77,UK,77
78,Dreamy,77
79,lovely,77
80,summer,77
81,funky,75
82,Love it,75
83,2000s,74
84,Soundtrack,74
85,70s,73
86,Favourite Songs,73
87,good,72
88,love at first listen,71
89,upbeat,70
90,country,70
91,RB,68
92,latin,68
93,r&b,68
94,Hip-Hop,66
95,vocal jazz,65
96,Smooth Jazz,65
97,trance,64
98,rhythm and blues,64
99,sensual,64
100,dark,63
101,USA,62
102,world,62
103,Gothic,62
104,songs I absolutely love,62
105,favorite by this singer,61
106,soft rock,60
107,drjazzmrfunkmusic,60
108,club,59
109,calm,59
110,atmospheric,59
111,instrumental,58
112,techno,58
113,french,58
114,ethereal,57
115,top 40,57
116,r and b,56
117,nostalgia,56
118,groovy,54
119,best,54
120,covers,54
121,fav,54
122,jazz vocal,54
123,groove,54
124,punk rock,53
125,cute,52
126,guilty pleasure,52
127,new wave,52
128,chill out,52
129,heard on Pandora,51
130,jazzy,50
131,memories,50
132,electropop,50
133,britpop,50
134,urban,49
135,hard rock,49
136,Canadian,49
137,2007,48
138,easy,48
139,love song,48
140,great,48
141,Guilty Pleasures,47
142,2009,47
143,feel good,46
144,spanish,45
145,emo,44
146,swedish,44
147,trip hop,44
148,Uplifting,44
149,haunting,44
150,vocalization,43
151,2008,43
152,synthpop,43
153,hot,43
154,acid jazz,43
155,Neo-Soul,43
156,hip hop,42
157,vocal trance,42
158,Gothic Metal,42
159,adult contemporary,42
160,pretty,41
161,girl power,41
162,epic,40
163,folk rock,40
164,all the best,39
165,live,39
166,chick rock,39
167,FUCKING AWESOME,39
168,Alternative  Punk,38
169,Pop-Rock,38
170,night,38
171,emotional,38
172,brilliant,38
173,soulful,37
174,i am a party girl here is my soundtrack,37
175,post-punk,37
176,psychedelic,37
177,german,37
178,Good Stuff,36
179,eurodance,36
180,diva,36
181,melodic,36
182,Old School soul,35
183,americana,35
184,friendsofthekingofrummelpop,35
185,indietronica,35
186,Progressive,35
187,Retro,34
188,motown,34
189,nu jazz,34
190,heavy metal,34
191,new,34
192,great lyrics,34
193,attitude,33
194,out of our heads,33
195,indie folk,33
196,Lo-Fi,33
197,Favorite Artists,33
198,quirky,32
199,chilled,32
200,Foxy Lady,31
201,rock n roll,31
202,Neo Soul,31
203,swing,31
204,celtic,31
205,musicspirit,31
206,rap,30
207,ballads,30
208,<3,30
209,tantotempotaste,30
210,UK top 40,30
211,Energetic,30
212,title is a full sentence,29
213,industrial,29
214,irish,29
215,Alt-country,29
216,emotive,29
217,symphonic metal,29
218,Bittersweet,28
219,soul tag,28
220,folk-rock,28
221,alternative pop,28
222,77davez-all-tracks,28
223,riot grrrl,28
224,close harmony,27
225,dance pop,27
226,Driving,27
227,sex,27
228,Grunge,27
229,My Favorites,27
230,scandinavian,27
231,girls,27
232,heartbreak,26
233,Faves,26
234,top artists,26
235,80's,26
236,progressive trance,26
237,new age,26
238,dance-pop,26
239,remix,26
240,romantic tension,26
241,Fusion,26
242,alt rock,25
243,brazilian,25
244,perfect,25
245,metro downtempo,25
246,goth,25
247,synth pop,24
248,norwegian,24
249,2006,24
250,singer songwriter,24
251,vocals,24
252,kot,24
253,trippy,24
254,miianens playlist,24
255,loneliness after dusk,24
256,Bossa Nova,24
257,nostalgic,23
258,lush,23
259,lyrics,23
260,Sentimental,23
261,My pop music,23
262,hardcore,23
263,Garage Rock,23
264,1990s,23
265,Like,23
266,brasil,23
267,RockPop,23
268,woman,23
269,top,23
270,christmas,23
271,Gothic Rock,23
272,major key tonality,22
273,classic soul,22
274,best songs of the 00s,22
275,duet,22
276,slow jams,22
277,sing along,22
278,teen pop,22
279,favs,22
280,rex ferric faves,22
281,quiet,22
282,dream pop,22
283,Classical,22
284,mpb,22
285,powerful,22
286,genius,22
287,soothing,22
288,Soundtrack Of My Life,22
289,chanson francaise,22
290,melodic metal,22
