,Tag,Frequency
0,pop,751
1,rock,540
2,alternative,426
3,Love,383
4,singer-songwriter,374
5,indie,359
6,beautiful,346
7,favorites,343
8,dance,318
9,00s,313
10,electronic,296
11,Mellow,284
12,chillout,273
13,soul,272
14,sexy,247
15,folk,237
16,jazz,230
17,chill,204
18,american,203
19,90s,190
20,Awesome,184
21,electronica,183
22,cool,180
23,rnb,179
24,easy listening,176
25,Favorite,173
26,british,159
27,alternative rock,151
28,Favourites,150
29,acoustic,150
30,indie rock,146
31,favourite,142
32,oldies,136
33,sad,135
34,80s,135
35,catchy,131
36,vocal,129
37,ambient,126
38,indie pop,120
39,party,120
40,relax,120
41,pop rock,119
42,melancholic,119
43,fun,116
44,melancholy,115
45,Ballad,112
46,blues,111
47,piano,111
48,lounge,111
49,relaxing,111
50,happy,105
51,Dreamy,103
52,amazing,101
53,trip-hop,101
54,romantic,100
55,sweet,98
56,smooth,97
57,loved,97
58,seen live,97
59,country,95
60,funk,95
61,Soundtrack,92
62,classic rock,92
63,experimental,91
64,favorite songs,90
65,electro,90
66,love songs,87
67,soft,86
68,2000s,83
69,upbeat,83
70,punk,83
71,guitar,82
72,downtempo,82
73,english,81
74,Disco,79
75,Hip-Hop,79
76,nice,78
77,cover,78
78,lovely,77
79,House,77
80,funky,76
81,soft rock,74
82,sensual,72
83,classic,72
84,slow,71
85,atmospheric,71
86,70s,71
87,love at first listen,70
88,UK,69
89,trance,69
90,r&b,68
91,Love it,68
92,60s,67
93,good,67
94,metal,67
95,world,67
96,rhythm and blues,66
97,USA,66
98,favorite by this singer,65
99,summer,62
100,latin,61
101,dark,61
102,vocal jazz,61
103,heard on Pandora,60
104,covers,59
105,pretty,59
106,songs I absolutely love,58
107,RB,58
108,britpop,57
109,electropop,57
110,drjazzmrfunkmusic,57
111,great,56
112,fav,56
113,groovy,56
114,ethereal,56
115,jazz vocal,55
116,memories,54
117,Smooth Jazz,53
118,top 40,53
119,Favourite Songs,53
120,techno,53
121,Canadian,53
122,urban,52
123,Gothic,52
124,punk rock,51
125,best,50
126,folk rock,50
127,jazzy,49
128,love song,48
129,2008,48
130,post-punk,48
131,Neo-Soul,47
132,epic,47
133,hip hop,47
134,calm,47
135,singer songwriter,47
136,hot,46
137,new wave,46
138,folk-rock,46
139,club,46
140,emotional,46
141,spanish,45
142,german,45
143,instrumental,44
144,guilty pleasure,44
145,psychedelic,44
146,vocal trance,44
147,groove,43
148,chill out,43
149,synthpop,43
150,Pop-Rock,43
151,Energetic,42
152,haunting,42
153,feel good,42
154,Guilty Pleasures,42
155,hard rock,42
156,cute,41
157,soulful,41
158,attitude,41
159,dream pop,41
160,trip hop,41
161,girl power,40
162,great lyrics,40
163,adult contemporary,39
164,r and b,39
165,diva,39
166,swedish,39
167,nostalgia,38
168,Uplifting,38
169,emo,38
170,2007,38
171,My pop music,37
172,easy,37
173,eurodance,37
174,melodic,36
175,musicspirit,36
176,Bittersweet,36
177,ballads,36
178,vocalization,36
179,out of our heads,36
180,indie folk,36
181,Like,35
182,favs,35
183,new age,35
184,night,35
185,acid jazz,34
186,all the best,34
187,My Favorites,34
188,sex,34
189,swing,34
190,irish,34
191,FUCKING AWESOME,33
192,Good Stuff,33
193,Retro,33
