,Tag,Frequency
0,pop,798
1,rock,580
2,alternative,424
3,Love,389
4,favorites,376
5,00s,366
6,dance,362
7,singer-songwriter,361
8,indie,356
9,beautiful,342
10,electronic,314
11,chillout,295
12,Mellow,289
13,soul,286
14,sexy,249
15,jazz,240
16,chill,219
17,90s,213
18,british,207
19,folk,204
20,american,201
21,electronica,201
22,rnb,199
23,cool,188
24,Awesome,184
25,easy listening,177
26,alternative rock,173
27,acoustic,171
28,Favorite,166
29,80s,158
30,sad,152
31,indie rock,150
32,catchy,150
33,Favourites,149
34,party,145
35,favourite,143
36,melancholy,143
37,pop rock,140
38,ambient,140
39,happy,140
40,oldies,136
41,fun,129
42,indie pop,128
43,relax,128
44,lounge,124
45,downtempo,122
46,Ballad,120
47,romantic,115
48,melancholic,115
49,vocal,113
50,piano,113
51,amazing,110
52,blues,108
53,favorite songs,108
54,loved,108
55,smooth,108
56,country,107
57,electro,103
58,sweet,101
59,upbeat,100
60,seen live,100
61,Soundtrack,99
62,Love it,98
63,soft,96
64,relaxing,96
65,classic rock,94
66,love songs,93
67,english,93
68,Dreamy,92
69,trip-hop,92
70,nice,89
71,punk,89
72,cover,88
73,lovely,87
74,experimental,86
75,summer,85
76,love at first listen,82
77,Disco,82
78,funk,81
79,USA,81
80,atmospheric,80
81,slow,77
82,classic,77
83,House,77
84,2000s,76
85,60s,76
86,metal,76
87,world,75
88,electropop,74
89,UK,73
90,Hip-Hop,72
91,good,72
92,70s,72
93,funky,71
94,r&b,70
95,Favourite Songs,70
96,trance,70
97,rhythm and blues,68
98,love song,68
99,guitar,67
100,techno,67
101,new wave,66
102,club,64
103,vocal jazz,64
104,RB,63
105,favorite by this singer,63
106,ethereal,63
107,best,62
108,soft rock,62
109,jazz vocal,61
110,latin,61
111,guilty pleasure,61
112,sensual,60
113,memories,60
114,Smooth Jazz,59
115,britpop,59
116,groovy,59
117,Gothic,59
118,Neo-Soul,58
119,synthpop,58
120,Guilty Pleasures,57
121,covers,57
122,Energetic,56
123,urban,56
124,top 40,56
125,songs I absolutely love,56
126,great,55
127,psychedelic,55
128,2008,55
129,chill out,54
130,drjazzmrfunkmusic,53
131,diva,52
132,dark,52
133,french,52
134,live,51
135,jazzy,51
136,Driving,50
137,Good Stuff,50
138,hip hop,50
139,punk rock,50
140,<3,49
141,Canadian,49
142,adult contemporary,48
143,epic,48
144,calm,48
145,fav,48
146,Uplifting,47
147,new,47
148,2007,47
149,r and b,46
150,post-punk,46
151,2009,45
152,girl power,45
153,eurodance,45
154,Progressive rock,45
155,german,44
156,cute,44
157,vocalization,44
158,hard rock,44
159,vocal trance,44
160,heard on Pandora,44
161,Gothic Metal,44
162,trip hop,43
163,swedish,43
164,nostalgia,42
165,77davez-all-tracks,42
166,hot,41
167,pretty,41
168,folk rock,41
169,i am a party girl here is my soundtrack,41
170,Pop-Rock,40
171,easy,40
172,other,40
173,feel good,40
174,musicspirit,39
175,acid jazz,39
176,emotional,39
177,instrumental,39
178,dance pop,39
179,rap,39
180,soulful,39
181,great lyrics,38
182,groove,38
183,spanish,38
184,ballads,38
185,Retro,38
186,FUCKING AWESOME,37
187,sex,37
188,dream pop,37
189,chick rock,36
190,celtic,36
191,haunting,35
192,sing along,35
193,out of our heads,35
194,My Favorites,35
195,Neo Soul,35
196,UK top 40,34
197,Favorite Artists,34
198,rock n roll,34
199,emo,34
200,melodic,33
201,Gothic Rock,33
202,synth pop,33
203,feelgood,32
204,reggae,32
205,brazilian,32
206,my favorite,32
207,late night,32
208,Progressive,31
209,symphonic metal,31
