,Tag,Frequency
0,rock,1263
1,pop,1235
2,favorites,835
3,alternative,818
4,Love,774
5,singer-songwriter,621
6,beautiful,607
7,indie,594
8,00s,580
9,american,536
10,Mellow,536
11,Awesome,480
12,dance,468
13,alternative rock,456
14,oldies,439
15,classic rock,425
16,chill,418
17,Favorite,404
18,soul,398
19,chillout,391
20,Favourites,389
21,british,379
22,sexy,373
23,90s,363
24,electronic,349
25,cool,348
26,easy listening,344
27,folk,333
28,acoustic,326
29,80s,318
30,sad,317
31,favourite,312
32,catchy,307
33,indie rock,302
34,favorite songs,290
35,guitar,288
36,70s,284
37,loved,283
38,rnb,282
39,classic,279
40,melancholy,270
41,jazz,266
42,party,263
43,fun,260
44,happy,253
45,pop rock,248
46,blues,244
47,romantic,243
48,amazing,240
49,Ballad,236
50,60s,230
51,hard rock,227
52,electronica,214
53,love songs,212
54,Soundtrack,211
55,melancholic,209
56,seen live,207
57,upbeat,205
58,relax,198
59,indie pop,197
60,punk,193
61,memories,193
62,soft rock,192
63,Favourite Songs,191
64,piano,187
65,country,187
66,metal,184
67,summer,181
68,Love it,179
69,USA,176
70,UK,176
71,english,169
72,love at first listen,168
73,vocal,168
74,relaxing,167
75,smooth,167
76,slow,165
77,funk,162
78,good,160
79,lovely,159
80,sweet,152
81,2000s,149
82,rhythm and blues,148
83,experimental,148
84,soft,148
85,Hip-Hop,147
86,great,145
87,nice,145
88,downtempo,143
89,epic,141
90,britpop,138
91,cover,136
92,lounge,135
93,new wave,135
94,ambient,133
95,best,132
96,nostalgia,131
97,r&b,129
98,dark,124
99,rock n roll,124
100,funky,124
101,psychedelic,124
102,emo,123
103,love song,122
104,electro,121
105,Energetic,119
106,RB,119
107,live,118
108,Progressive rock,118
109,great song,117
110,Dreamy,116
111,fav,112
112,punk rock,112
113,Disco,111
114,easy,111
115,blues rock,110
116,FUCKING AWESOME,108
117,Good Stuff,107
118,Driving,107
119,heard on Pandora,106
120,post-punk,105
121,heavy metal,103
122,Alternative  Punk,102
123,top 40,101
124,hip hop,101
125,folk rock,100
126,emotional,99
127,atmospheric,98
128,calm,98
129,great lyrics,97
130,2007,96
131,50s,94
132,feel good,93
133,r and b,93
134,brilliant,93
135,covers,92
136,House,92
137,cute,91
138,77davez-all-tracks,90
139,synthpop,90
140,<3,89
141,trip-hop,89
142,singer songwriter,88
143,urban,87
144,my favorite,85
145,poprock,83
146,all the best,81
147,adult contemporary,81
148,electropop,81
149,guilty pleasure,80
150,Guilty Pleasures,79
151,Uplifting,79
152,melodic,79
153,Pop-Rock,78
154,sensual,78
155,genius,78
156,groovy,78
157,Rock and Roll,78
158,songs I absolutely love,77
159,ballads,77
160,close harmony,76
161,Retro,76
162,vocal jazz,76
163,alt rock,75
164,Favorite Artists,75
165,perfect,75
166,My pop music,74
167,americana,74
168,chill out,74
169,sex,73
170,nostalgic,72
171,Grunge,72
172,drjazzmrfunkmusic,72
173,Canadian,72
174,folk-rock,72
175,Gothic,72
176,new,71
177,the best,71
178,club,71
179,instrumental,69
180,soulful,69
181,slow jams,69
182,world,69
183,classic country,69
184,rap,69
185,80's,67
186,Faves,67
187,1980s,67
188,hot,67
189,Radiotsar approved,66
190,jazzy,66
191,My Favorites,66
192,1970s,66
193,haunting,66
194,2008,66
195,german,65
196,latin,65
197,Smooth Jazz,65
198,vocals,65
199,old school,65
200,Neo-Soul,64
201,reggae,64
202,legend,63
203,pretty,63
204,Psychedelic Rock,63
205,2009,62
206,classics,62
207,feelgood,62
208,major key tonality,62
209,Bittersweet,61
210,motown,61
211,1990s,61
212,techno,60
213,ethereal,60
214,friendsofthekingofrummelpop,59
215,synth pop,59
216,trance,59
217,sing along,58
218,groove,57
219,french,57
220,swing,57
221,i am a party girl here is my soundtrack,57
222,jazz vocal,57
223,Progressive,56
224,england,56
225,1960s,56
226,powerful,56
227,diva,56
228,other,55
229,heartbreak,55
230,best songs ever,55
231,funny,55
232,quirky,55
233,favorite by this singer,54
234,heavy,54
235,Sentimental,54
236,a vocal-centric aesthetic,54
237,acclaimed music top 3000,54
238,Old School soul,53
239,moody,52
240,GH10,51
241,names,51
242,a subtle use of vocal harmony,51
243,swedish,51
244,favs,51
245,extensive vamping,50
246,2006,50
247,Garage Rock,50
248,RockPop,50
249,Gothic Rock,50
250,Masterpiece,49
251,Rock  Roll,49
252,rockin,49
253,industrial,49
254,intense,48
255,quiet,48
256,indietronica,47
257,top artists,47
258,yeah,47
259,Soundtrack Of My Life,47
260,fH Projex,47
261,political,47
262,freedom,47
263,my music,47
264,energy,46
265,Like,46
266,spanish,46
267,aitch,46
268,pop punk,46
269,1,46
270,Gothic Metal,45
271,minor key tonality,45
272,lyrics,45
273,interesting,45
274,UK top 40,45
275,new york,45
276,glam rock,45
277,gute laune,45
278,60's,44
279,strings,43
280,modern rock,43
281,rock ballad,43
282,good music,43
283,mild rhythmic syncopation,43
284,good song,43
285,quiet storm,43
286,classic soul,43
287,hardcore,43
288,alternative metal,43
289,angry,42
290,2005,42
291,synth,42
292,All time favourites,41
293,NYC,41
294,indie folk,41
295,sixties,41
296,makes me happy,41
297,Alt-country,41
298,soothing,40
299,night,40
300,soul tag,40
301,art rock,40
302,Brems Tagg radio,40
303,irish,40
304,dance-pop,39
305,dance pop,39
306,title is a full sentence,39
307,san francisco,39
308,scandinavian,39
309,Lo-Fi,39
310,british rock,39
311,High School,39
312,malloy2000 playlist - top songs - classical to metal,39
313,Neo Soul,39
314,golden oldies,39
315,trip hop,39
316,power pop,38
317,4,38
318,Pop Life,38
319,5,38
320,work,38
321,Jills Station,38
322,I like,38
323,Sleep,38
324,personal favourites,37
325,girl power,37
326,rockabilly,37
327,California,37
328,slgdmbestof,37
329,new age,37
330,symphonic metal,37
331,Progressive metal,37
332,Rolling Stone 500 Greatest Songs of All Time,36
333,vocalization,36
334,2giveme5,36
335,gh 3,36
336,acid jazz,36
337,goth,36
338,piano rock,36
339,deutsch,36
340,Classical,35
341,Electroclash,35
342,addictive,35
343,album rock,35
344,rex ferric faves,35
345,music,35
346,70's,34
347,blues-rock,34
348,teen pop,34
349,loved tracks,34
350,Favorite Bands,34
351,60s Gold,34
352,LOVE LOVE LOVE,34
353,chilled,34
354,positive,34
355,out of our heads,34
356,alternative pop,33
357,top 2000,33
358,post-rock,33
359,ska,33
