,Tag,Frequency
0,rock,1111
1,pop,1104
2,alternative,725
3,favorites,709
4,Love,703
5,indie,560
6,00s,533
7,singer-songwriter,527
8,beautiful,522
9,Mellow,446
10,american,443
11,dance,430
12,Awesome,419
13,alternative rock,389
14,oldies,376
15,electronic,362
16,classic rock,356
17,Favourites,355
18,chill,355
19,british,354
20,chillout,346
21,Favorite,343
22,soul,333
23,90s,328
24,sexy,308
25,cool,305
26,indie rock,302
27,folk,298
28,acoustic,298
29,easy listening,297
30,80s,284
31,favourite,280
32,favorite songs,275
33,catchy,262
34,party,257
35,fun,253
36,pop rock,249
37,sad,249
38,70s,243
39,guitar,237
40,classic,237
41,electronica,233
42,happy,231
43,rnb,230
44,melancholy,227
45,blues,225
46,romantic,217
47,jazz,212
48,60s,211
49,hard rock,210
50,Soundtrack,207
51,amazing,207
52,loved,203
53,Ballad,198
54,seen live,195
55,indie pop,190
56,upbeat,190
57,Favourite Songs,180
58,soft rock,176
59,relax,170
60,love songs,168
61,punk,168
62,USA,166
63,Love it,163
64,good,163
65,sweet,162
66,melancholic,162
67,piano,162
68,2000s,160
69,memories,159
70,country,159
71,relaxing,158
72,love at first listen,155
73,summer,154
74,UK,154
75,metal,152
76,smooth,149
77,funk,145
78,english,145
79,britpop,139
80,slow,138
81,rhythm and blues,136
82,vocal,134
83,electro,133
84,lounge,132
85,Energetic,126
86,ambient,125
87,nice,125
88,funky,124
89,great,124
90,epic,123
91,lovely,121
92,soft,120
93,Hip-Hop,120
94,rock n roll,119
95,cover,118
96,best,118
97,new wave,113
98,downtempo,113
99,Good Stuff,109
100,Rock and Roll,108
101,fav,108
102,experimental,107
103,Disco,107
104,Dreamy,106
105,psychedelic,104
106,emo,103
107,punk rock,101
108,dark,101
109,live,100
110,calm,97
111,folk rock,96
112,FUCKING AWESOME,95
113,great song,94
114,r&b,93
115,Progressive rock,93
116,heard on Pandora,93
117,heavy metal,92
118,atmospheric,91
119,nostalgia,90
120,great lyrics,90
121,post-punk,90
122,House,89
123,Driving,89
124,love song,88
125,top 40,88
126,emotional,88
127,blues rock,87
128,Uplifting,84
129,77davez-all-tracks,84
130,songs I absolutely love,83
131,cute,83
132,electropop,82
133,2008,82
134,hip hop,81
135,synthpop,80
136,guilty pleasure,80
137,feel good,80
138,<3,80
139,perfect,78
140,covers,78
141,trip-hop,78
142,RB,78
143,Alternative  Punk,77
144,club,76
145,My pop music,76
146,Guilty Pleasures,76
147,groovy,75
148,feelgood,74
149,Pop-Rock,74
150,close harmony,73
151,50s,72
152,singer songwriter,72
153,my favorite,72
154,swedish,72
155,rap,71
156,all the best,71
157,world,71
158,latin,71
159,brilliant,70
160,urban,70
161,ballads,70
162,alt rock,69
163,sensual,68
164,melodic,68
165,americana,67
166,Grunge,67
167,drjazzmrfunkmusic,67
168,Retro,66
169,sex,66
170,Psychedelic Rock,65
171,haunting,65
172,techno,65
173,Gothic,64
174,instrumental,64
175,r and b,63
176,other,63
177,nostalgic,63
178,My Favorites,63
179,funny,63
180,Smooth Jazz,62
181,easy,62
182,new,61
183,adult contemporary,61
184,Favorite Artists,61
185,2007,61
186,ethereal,61
187,the best,60
188,poprock,60
189,2009,59
190,old school,58
191,jazzy,58
192,1960s,57
193,powerful,57
194,soulful,57
195,Progressive,57
196,Canadian,57
197,vocal jazz,56
198,friendsofthekingofrummelpop,55
199,trance,55
200,hot,54
201,2005,54
202,motown,53
203,Faves,53
204,sing along,53
205,jazz vocal,52
206,groove,52
207,chill out,52
208,legend,52
209,1980s,51
210,i am a party girl here is my soundtrack,51
211,favorite by this singer,51
212,reggae,51
213,pretty,51
214,Soundtrack Of My Life,50
215,favs,50
216,Bittersweet,50
217,rockin,49
218,GH10,49
219,Radiotsar approved,49
220,Old School soul,49
221,best songs ever,49
222,major key tonality,48
223,handclaps,48
224,Neo-Soul,48
225,80's,48
226,All time favourites,48
227,scandinavian,48
228,vocals,47
229,spanish,47
230,classics,47
231,Masterpiece,47
232,1970s,46
233,glam rock,46
234,acclaimed music top 3000,46
235,fH Projex,46
236,swing,46
237,UK top 40,45
238,genius,45
239,classic country,45
240,Soundtracks,45
241,garage,45
242,interesting,45
243,1990s,45
244,trip hop,44
245,girl power,44
246,angry,44
247,rockabilly,44
248,slow jams,44
249,Sentimental,44
250,Garage Rock,44
251,heavy,44
252,good song,43
253,quirky,43
254,Gothic Rock,43
255,german,43
256,top artists,43
257,art rock,43
258,intense,43
259,RockPop,42
260,piano rock,42
261,pop punk,42
262,Like,42
263,night,42
264,2006,41
265,indietronica,41
266,Gothic Metal,41
267,new york,40
268,goth,40
269,soothing,40
270,heartbreak,40
271,synth pop,40
272,title is a full sentence,40
273,indie folk,40
274,gute laune,39
275,hardcore,39
276,Alt-country,39
277,best songs of the 00s,39
278,french,39
279,good music,39
280,lyrics,39
281,england,39
282,chilled,38
283,sixties,38
284,World Music,38
285,classic soul,38
286,energy,38
287,slgdmbestof,38
288,Rock  Roll,37
289,yeah,37
290,slgdm,37
291,ik ben,37
292,a subtle use of vocal harmony,37
293,download,37
294,60's,37
295,2003,37
296,Lo-Fi,37
297,music,36
298,dance pop,36
299,NYC,36
300,aitch,36
301,diva,35
302,Jills Station,35
303,1,35
304,Progressive metal,35
305,names,35
306,dance-pop,35
307,Electro Pop,35
308,australian,35
309,synth,34
310,gh 3,34
311,malloy2000 playlist - top songs - classical to metal,34
312,political,34
313,linedance,34
314,freedom,34
315,personal favourites,34
316,4,34
317,2001,34
318,wow,33
319,darkwave,33
320,folk-rock,33
321,golden oldies,33
322,makes me happy,33
323,I like,33
324,industrial,33
325,power pop,33
326,beat,33
327,California,33
328,good shit,33
329,i feel good,32
330,High School,32
331,Fusion,32
332,favourite tracks,32
333,morning,32
334,late night,32
335,irish,32
336,my music,32
337,Power metal,32
338,2004,32
339,strings,32
340,favouritestreamable,32
341,great songs,32
342,moody,32
343,rock ballad,32
344,Sweden,31
345,christian,31
346,brit pop,31
347,out of our heads,31
348,ok,31
349,annymix,31
350,bass,31
351,1950s,31
352,billboard number ones,31
353,san francisco,31
354,british rock,30
355,5,30
356,work,30
357,to classify,30
358,20th Century,30
359,guitar virtuoso,30
360,brit rock,30
361,Adult Alternative,30
362,dream pop,30
363,70's,30
364,favorite song,30
365,attitude,30
366,ska,30
367,tantotempotaste,30
368,Southern Rock,30
369,quiet,30
370,acid jazz,29
371,symphonic metal,29
372,songwriter,29
373,Post punk,29
374,alternative metal,29
375,canada,29
376,lovesongs,29
377,solx,29
378,80s Pop,29
379,teen pop,29
380,loved tracks,29
381,post-grunge,29
