,Tag,Frequency
0,rock,1182
1,pop,1148
2,alternative,805
3,favorites,742
4,Love,692
5,indie,598
6,singer-songwriter,592
7,00s,546
8,beautiful,519
9,american,473
10,Mellow,441
11,dance,440
12,Awesome,432
13,alternative rock,429
14,oldies,388
15,chillout,382
16,electronic,366
17,british,366
18,soul,363
19,classic rock,362
20,chill,343
21,Favorite,338
22,cool,335
23,90s,327
24,sexy,319
25,indie rock,314
26,Favourites,313
27,folk,304
28,catchy,301
29,easy listening,295
30,acoustic,292
31,80s,288
32,favorite songs,273
33,favourite,273
34,party,265
35,guitar,261
36,rnb,255
37,pop rock,249
38,fun,241
39,classic,238
40,70s,234
41,sad,232
42,blues,228
43,jazz,226
44,happy,226
45,seen live,218
46,60s,218
47,hard rock,217
48,amazing,215
49,romantic,214
50,electronica,212
51,melancholy,206
52,soft rock,202
53,upbeat,198
54,Ballad,194
55,loved,192
56,indie pop,188
57,2000s,186
58,Soundtrack,182
59,relax,179
60,Favourite Songs,172
61,country,171
62,Love it,169
63,melancholic,168
64,funk,165
65,love songs,163
66,punk,163
67,lovely,160
68,UK,160
69,USA,159
70,sweet,154
71,english,153
72,relaxing,153
73,soft,151
74,love at first listen,147
75,good,147
76,summer,146
77,ambient,146
78,smooth,146
79,piano,145
80,memories,145
81,britpop,143
82,vocal,142
83,slow,141
84,funky,141
85,metal,140
86,rhythm and blues,134
87,Hip-Hop,134
88,cover,130
89,experimental,127
90,nice,125
91,epic,125
92,downtempo,125
93,rock n roll,122
94,lounge,122
95,great,120
96,best,118
97,electro,116
98,psychedelic,116
99,new wave,114
100,love song,111
101,great song,111
102,r&b,111
103,Energetic,108
104,Dreamy,107
105,Progressive rock,106
106,atmospheric,105
107,dark,104
108,emo,104
109,punk rock,103
110,fav,101
111,songs I absolutely love,101
112,top 40,100
113,guilty pleasure,100
114,emotional,100
115,great lyrics,100
116,trip-hop,100
117,FUCKING AWESOME,99
118,nostalgia,98
119,synthpop,98
120,live,96
121,Alternative  Punk,95
122,2008,95
123,Disco,93
124,Good Stuff,92
125,groovy,92
126,hip hop,92
127,post-punk,91
128,covers,91
129,calm,91
130,77davez-all-tracks,90
131,2007,90
132,Driving,89
133,Pop-Rock,89
134,Uplifting,88
135,blues rock,88
136,all the best,87
137,rap,86
138,Guilty Pleasures,85
139,electropop,85
140,heavy metal,84
141,perfect,82
142,50s,81
143,RB,79
144,feel good,79
145,<3,79
146,cute,79
147,heard on Pandora,79
148,instrumental,78
149,urban,78
150,folk rock,78
151,brilliant,78
152,r and b,77
153,Rock and Roll,77
154,club,77
155,my favorite,75
156,americana,75
157,world,74
158,adult contemporary,74
159,Grunge,73
160,major key tonality,73
161,House,73
162,2009,71
163,easy,71
164,Gothic,69
165,My pop music,68
166,ballads,68
167,haunting,68
168,Retro,67
169,singer songwriter,67
170,close harmony,66
171,alt rock,66
172,friendsofthekingofrummelpop,65
173,Canadian,65
174,melodic,65
175,the best,65
176,vocals,65
177,techno,64
178,My Favorites,64
179,Radiotsar approved,63
180,funny,63
181,80's,63
182,latin,63
183,ethereal,63
184,other,62
185,trance,62
186,sensual,61
187,Psychedelic Rock,61
188,motown,59
189,synth pop,59
190,1990s,59
191,acclaimed music top 3000,59
192,sex,58
193,best songs ever,58
194,feelgood,58
195,nostalgic,57
196,german,57
197,intense,57
198,sing along,57
199,UK top 40,57
200,1980s,57
201,new,56
202,groove,55
203,All time favourites,55
204,pretty,55
205,Old School soul,55
206,Bittersweet,54
207,energy,54
208,swedish,54
209,favorite by this singer,54
210,slow jams,53
211,2005,53
212,chill out,52
213,drjazzmrfunkmusic,52
214,1960s,52
215,Favorite Artists,52
216,hot,52
217,i am a party girl here is my soundtrack,52
218,night,51
219,a subtle use of vocal harmony,51
220,french,51
221,classics,51
222,favs,51
223,old school,51
224,jazzy,50
225,Masterpiece,50
226,Faves,50
227,powerful,50
228,rockin,50
229,classic country,49
230,rockabilly,49
231,trip hop,49
232,Brems Tagg radio,49
233,glam rock,49
234,Neo-Soul,48
235,Smooth Jazz,48
236,vocal jazz,48
237,spanish,47
238,top artists,47
239,england,47
240,alternative metal,47
241,lyrics,46
242,indie folk,46
243,Soundtrack Of My Life,46
244,synth,46
245,scandinavian,45
246,Garage Rock,45
247,australian,45
248,fH Projex,45
249,Like,44
250,soulful,44
251,angry,44
252,classic soul,44
253,GH10,43
254,Progressive,43
255,best songs of the 00s,43
256,good music,43
257,title is a full sentence,43
258,dream pop,43
259,pop punk,43
260,girl power,42
261,power pop,42
262,60's,42
263,art rock,42
264,genius,42
265,folk-rock,42
266,2006,41
267,swing,41
268,California,41
