,Tag,Frequency
0,pop,1189
1,rock,1149
2,favorites,774
3,alternative,751
4,Love,743
5,indie,609
6,beautiful,569
7,singer-songwriter,546
8,00s,533
9,american,506
10,Mellow,453
11,dance,453
12,Awesome,443
13,alternative rock,422
14,Favorite,403
15,oldies,398
16,chillout,388
17,classic rock,380
18,electronic,374
19,soul,374
20,chill,364
21,Favourites,353
22,90s,350
23,sexy,344
24,british,339
25,cool,336
26,indie rock,314
27,folk,313
28,easy listening,310
29,catchy,304
30,80s,298
31,favourite,292
32,rnb,285
33,favorite songs,282
34,guitar,275
35,acoustic,270
36,fun,268
37,party,264
38,jazz,257
39,sad,254
40,70s,254
41,pop rock,254
42,happy,250
43,classic,243
44,melancholy,242
45,loved,236
46,electronica,224
47,blues,219
48,60s,219
49,romantic,213
50,amazing,206
51,Ballad,206
52,indie pop,204
53,upbeat,202
54,hard rock,199
55,relax,198
56,piano,195
57,Favourite Songs,193
58,Soundtrack,192
59,Love it,192
60,love songs,190
61,seen live,185
62,melancholic,185
63,2000s,184
64,soft rock,177
65,country,170
66,memories,165
67,USA,164
68,funk,163
69,rhythm and blues,162
70,summer,161
71,punk,157
72,relaxing,156
73,metal,156
74,britpop,154
75,slow,153
76,good,152
77,smooth,151
78,english,149
79,funky,149
80,experimental,148
81,UK,148
82,vocal,143
83,lovely,143
84,soft,143
85,sweet,143
86,love at first listen,140
87,great,139
88,lounge,139
89,epic,136
90,cover,134
91,Hip-Hop,133
92,ambient,133
93,r&b,130
94,best,129
95,nice,126
96,downtempo,123
97,Progressive rock,120
98,new wave,120
99,electro,117
100,Energetic,116
101,RB,115
102,rock n roll,114
103,FUCKING AWESOME,113
104,emo,112
105,Disco,110
106,love song,109
107,top 40,109
108,nostalgia,108
109,songs I absolutely love,106
110,live,106
111,Dreamy,106
112,great lyrics,105
113,fav,104
114,r and b,104
115,psychedelic,102
116,hip hop,100
117,emotional,99
118,atmospheric,99
119,dark,98
120,Alternative  Punk,97
121,punk rock,97
122,urban,96
123,Good Stuff,94
124,Uplifting,94
125,Driving,93
126,heard on Pandora,93
127,folk rock,91
128,post-punk,91
129,brilliant,91
130,sex,90
131,<3,90
132,Guilty Pleasures,89
133,easy,89
134,blues rock,88
135,covers,87
136,rap,87
137,77davez-all-tracks,85
138,all the best,85
139,calm,85
140,guilty pleasure,84
141,close harmony,83
142,Pop-Rock,83
143,singer songwriter,83
144,feel good,82
145,ballads,82
146,heavy metal,81
147,motown,80
148,cute,79
149,great song,79
150,trip-hop,79
151,2007,79
152,My pop music,78
153,Rock and Roll,78
154,House,78
155,My Favorites,76
156,groovy,75
157,2008,74
158,sensual,73
159,instrumental,72
160,melodic,72
161,perfect,72
162,adult contemporary,71
163,electropop,71
164,50s,70
165,Gothic,70
166,alt rock,69
167,Retro,69
168,old school,68
169,latin,67
170,world,67
171,favorite by this singer,66
172,80's,66
173,my favorite,65
174,nostalgic,65
175,americana,65
176,the best,65
177,Radiotsar approved,64
178,Neo-Soul,64
179,sing along,64
180,Old School soul,64
181,new,64
182,haunting,64
183,poprock,64
184,synthpop,64
185,techno,63
186,hot,63
187,Favorite Artists,63
188,favs,63
189,drjazzmrfunkmusic,62
190,trance,62
191,folk-rock,62
192,club,62
193,Progressive,61
194,Grunge,61
195,Canadian,61
196,1990s,61
197,jazzy,60
198,slow jams,60
199,soulful,59
200,french,59
201,powerful,59
202,feelgood,58
203,2009,57
204,german,57
205,genius,57
206,ethereal,57
207,classics,56
208,Faves,56
209,friendsofthekingofrummelpop,55
210,classic country,55
211,Sentimental,55
212,indie folk,55
213,2005,55
214,major key tonality,55
215,acclaimed music top 3000,55
216,vocal jazz,55
217,2006,54
218,funny,54
219,Smooth Jazz,54
220,UK top 40,53
221,i am a party girl here is my soundtrack,53
222,vocals,53
223,rockin,53
224,energy,52
225,pretty,52
226,title is a full sentence,51
227,Masterpiece,51
228,power pop,50
229,Gothic Metal,50
230,vocalization,50
231,1970s,50
232,my music,50
233,groove,49
234,synth pop,49
235,All time favourites,49
236,swing,49
237,1960s,49
238,1980s,49
239,chill out,48
240,spanish,48
241,minor key tonality,48
242,soul tag,48
243,england,48
244,gute laune,48
245,irish,48
246,Bittersweet,47
247,swedish,47
248,top artists,47
249,reggae,47
250,political,47
251,handclaps,47
252,Alt-country,47
253,night,46
254,dance pop,46
255,heartbreak,46
256,best songs ever,46
257,Lo-Fi,46
258,Brems Tagg radio,46
259,Psychedelic Rock,46
260,GH10,45
261,art rock,45
262,lyrics,45
263,Soundtrack Of My Life,45
264,Gothic Rock,45
265,fH Projex,45
266,dance-pop,44
267,other,44
