,Tag,Frequency
0,pop,1114
1,rock,1090
2,alternative,701
3,favorites,672
4,Love,650
5,indie,578
6,singer-songwriter,508
7,beautiful,507
8,00s,491
9,Mellow,448
10,american,418
11,Awesome,415
12,dance,413
13,alternative rock,403
14,chillout,379
15,electronic,374
16,oldies,374
17,chill,351
18,classic rock,350
19,british,339
20,soul,336
21,Favourites,332
22,Favorite,332
23,cool,323
24,easy listening,322
25,90s,316
26,sexy,312
27,indie rock,306
28,folk,290
29,catchy,283
30,acoustic,282
31,favourite,277
32,80s,275
33,pop rock,268
34,favorite songs,259
35,guitar,250
36,fun,249
37,party,241
38,sad,237
39,70s,235
40,melancholy,231
41,classic,228
42,electronica,228
43,happy,220
44,loved,218
45,rnb,216
46,60s,207
47,jazz,203
48,indie pop,200
49,romantic,199
50,Ballad,197
51,upbeat,194
52,hard rock,193
53,amazing,192
54,blues,187
55,relax,183
56,Soundtrack,179
57,seen live,174
58,piano,173
59,soft rock,172
60,punk,172
61,melancholic,170
62,2000s,169
63,love songs,160
64,USA,160
65,Favourite Songs,159
66,relaxing,158
67,smooth,156
68,Love it,155
69,metal,155
70,memories,151
71,english,150
72,UK,145
73,lovely,143
74,country,142
75,love at first listen,141
76,summer,138
77,good,137
78,slow,137
79,britpop,136
80,sweet,136
81,soft,133
82,vocal,131
83,great,130
84,Energetic,128
85,epic,126
86,funk,125
87,lounge,124
88,nice,124
89,Dreamy,124
90,new wave,124
91,rhythm and blues,122
92,ambient,122
93,experimental,118
94,downtempo,116
95,best,115
96,funky,114
97,fav,113
98,live,113
99,electro,112
100,Hip-Hop,109
101,love song,108
102,emo,108
103,nostalgia,108
104,punk rock,105
105,Progressive rock,104
106,top 40,102
107,feel good,101
108,Alternative  Punk,99
109,rock n roll,99
110,psychedelic,99
111,dark,98
112,cover,97
113,FUCKING AWESOME,96
114,atmospheric,95
115,RB,92
116,folk rock,92
117,great lyrics,92
118,r&b,92
119,Good Stuff,91
120,Disco,90
121,perfect,88
122,Guilty Pleasures,87
123,groovy,86
124,Driving,85
125,Pop-Rock,85
126,2008,85
127,synthpop,85
128,post-punk,84
129,brilliant,84
130,hip hop,84
131,trip-hop,84
132,77davez-all-tracks,83
133,heard on Pandora,83
134,Uplifting,83
135,calm,83
136,singer songwriter,83
137,My pop music,82
138,emotional,82
139,cute,81
140,heavy metal,80
141,covers,79
142,great song,77
143,close harmony,76
144,blues rock,74
145,guilty pleasure,73
146,easy,73
147,<3,73
148,latin,73
149,electropop,72
150,Rock and Roll,72
151,songs I absolutely love,71
152,urban,71
153,2007,71
154,german,70
155,Canadian,70
156,r and b,70
157,melodic,70
158,Retro,70
159,1980s,69
160,poprock,69
161,House,69
162,sensual,68
163,50s,68
164,instrumental,67
165,all the best,67
166,pretty,67
167,world,66
168,adult contemporary,64
169,haunting,64
170,americana,63
171,spanish,63
