,Tag,Frequency
0,rock,1148
1,pop,1129
2,favorites,736
3,alternative,729
4,Love,715
5,beautiful,569
6,indie,555
7,singer-songwriter,552
8,00s,512
9,Mellow,491
10,american,491
11,dance,444
12,Awesome,409
13,alternative rock,404
14,oldies,366
15,chill,362
16,classic rock,360
17,chillout,359
18,Favorite,356
19,sexy,353
20,90s,346
21,british,342
22,electronic,337
23,soul,331
24,cool,327
25,Favourites,323
26,catchy,299
27,folk,294
28,easy listening,294
29,indie rock,293
30,80s,285
31,acoustic,277
32,favourite,271
33,pop rock,267
34,happy,264
35,sad,264
36,party,261
37,guitar,254
38,rnb,251
39,favorite songs,251
40,fun,247
41,melancholy,243
42,romantic,237
43,classic,235
44,jazz,232
45,70s,230
46,blues,220
47,Ballad,219
48,amazing,211
49,electronica,208
50,loved,206
51,hard rock,202
52,Soundtrack,200
53,upbeat,196
54,60s,195
55,country,186
56,seen live,184
57,indie pop,182
58,USA,182
59,relax,181
60,love songs,180
61,metal,179
62,Love it,178
63,melancholic,178
64,piano,173
65,soft rock,171
66,2000s,169
67,punk,167
68,lovely,166
69,Favourite Songs,164
70,relaxing,164
71,smooth,161
72,memories,159
73,summer,156
74,sweet,154
75,love at first listen,145
76,UK,143
77,epic,143
78,britpop,142
79,funk,141
80,english,141
81,soft,139
82,slow,138
83,Hip-Hop,137
84,new wave,134
85,nice,131
86,lounge,127
87,vocal,126
88,great,121
89,emotional,120
90,good,119
91,love song,118
92,ambient,117
93,funky,117
94,rhythm and blues,117
95,FUCKING AWESOME,116
96,dark,116
97,emo,116
98,downtempo,115
99,experimental,114
100,Dreamy,113
101,r&b,112
102,top 40,112
103,cover,112
104,heavy metal,112
105,best,112
106,rock n roll,112
107,Energetic,111
108,Good Stuff,107
109,electro,106
110,feel good,104
111,psychedelic,103
112,great song,103
113,nostalgia,102
114,great lyrics,102
115,blues rock,100
116,live,100
117,Guilty Pleasures,100
118,Progressive rock,100
119,punk rock,96
120,Disco,96
121,guilty pleasure,94
122,easy,93
123,Alternative  Punk,92
124,folk rock,91
125,urban,91
126,RB,89
