,Tag,Frequency
0,pop,273
1,rock,185
2,Love,144
3,alternative,143
4,dance,130
5,favorites,127
6,00s,126
7,indie,122
8,beautiful,120
9,singer-songwriter,118
10,Mellow,107
11,electronic,106
12,chillout,98
13,chill,98
14,sexy,97
15,soul,96
16,american,84
17,90s,75
18,electronica,72
19,folk,71
20,rnb,69
21,jazz,67
22,cool,65
23,easy listening,64
24,british,58
25,Awesome,57
26,alternative rock,56
27,party,55
28,acoustic,54
29,romantic,53
30,Favorite,53
31,catchy,52
32,oldies,50
33,80s,49
34,ambient,49
35,sad,46
36,relaxing,45
37,blues,44
38,upbeat,44
39,indie pop,43
40,Favourites,43
41,melancholy,43
42,indie rock,43
43,pop rock,42
44,amazing,42
45,fun,42
46,cover,42
47,relax,42
48,country,42
49,r&b,41
50,lounge,41
51,favourite,40
52,vocal,39
53,Ballad,38
54,love songs,38
55,downtempo,37
56,happy,37
57,Soundtrack,36
58,favorite songs,36
59,2000s,35
60,summer,34
61,loved,34
62,70s,34
63,electro,34
64,love at first listen,34
65,funk,34
66,piano,33
67,slow,32
68,smooth,32
69,sweet,32
70,seen live,32
71,punk,32
72,sensual,31
73,USA,31
74,english,31
75,trip-hop,31
76,classic,30
77,Hip-Hop,30
78,guitar,30
79,60s,30
80,Disco,29
81,funky,28
82,Love it,28
83,classic rock,28
84,latin,28
85,melancholic,28
86,experimental,28
87,rhythm and blues,27
88,soft rock,27
89,memories,27
90,lovely,26
91,Neo-Soul,26
92,House,26
93,covers,26
94,urban,26
95,Dreamy,26
96,Favourite Songs,25
97,RB,25
98,favorite by this singer,25
99,best,25
100,good,25
101,world,25
102,vocal jazz,25
103,r and b,24
104,cute,24
105,metal,24
106,dark,24
107,punk rock,24
108,top 40,23
109,soulful,23
110,2008,23
111,instrumental,23
112,ethereal,23
113,guilty pleasure,22
114,hip hop,22
115,Guilty Pleasures,22
116,drjazzmrfunkmusic,22
117,<3,22
118,trance,22
119,atmospheric,22
120,french,22
121,hard rock,22
122,2009,21
123,brilliant,21
124,electropop,20
125,hot,20
126,Energetic,20
127,all the best,20
128,pretty,20
129,soft,20
130,Canadian,20
131,diva,19
132,great,19
133,songs I absolutely love,19
134,calm,19
135,nice,19
136,adult contemporary,18
137,swedish,18
138,jazz vocal,18
139,friendsofthekingofrummelpop,18
140,Uplifting,17
141,love song,17
142,spanish,17
143,77davez-all-tracks,17
144,live,17
145,vocalization,17
146,Foxy Lady,17
147,Alt-country,17
148,new wave,16
149,girl power,16
150,dance-pop,16
151,Bittersweet,16
152,techno,16
153,Neo Soul,16
154,club,16
155,britpop,16
156,UK,16
157,Alternative  Punk,16
158,Gothic,16
159,heard on Pandora,16
160,new age,16
161,nostalgia,15
162,german,15
163,feel good,15
164,epic,15
165,vocal trance,15
166,haunting,15
167,groove,15
168,fav,15
169,groovy,15
170,Good Stuff,14
171,synthpop,14
172,Retro,14
173,feelgood,14
174,heartbreak,14
175,irish,14
176,trip hop,14
177,celtic,14
178,Smooth Jazz,14
179,jazzy,14
180,heavy metal,14
181,Gothic Metal,14
182,great lyrics,13
183,my favorite,13
184,i am a party girl here is my soundtrack,13
185,Driving,13
186,ballads,13
187,melodic,13
188,americana,13
189,chill out,13
190,moody,13
191,soul tag,13
192,emo,13
193,Favorite Artists,12
194,the best,12
195,my music,12
196,eurodance,12
197,reggae,12
198,sing along,12
199,top artists,12
200,out of our heads,12
201,motown,12
202,emotional,12
203,annymix,12
