,Tag,Frequency
0,pop,792
1,rock,537
2,alternative,429
3,Love,413
4,favorites,370
5,singer-songwriter,366
6,dance,366
7,indie,345
8,00s,340
9,electronic,340
10,beautiful,339
11,chillout,328
12,Mellow,282
13,soul,277
14,sexy,266
15,jazz,237
16,folk,236
17,chill,221
18,90s,200
19,rnb,197
20,american,196
21,Awesome,195
22,electronica,192
23,easy listening,190
24,british,183
25,acoustic,171
26,alternative rock,167
27,cool,165
28,oldies,161
29,Favorite,161
30,sad,160
31,catchy,160
32,80s,155
33,vocal,153
34,Favourites,151
35,party,141
36,relax,140
37,downtempo,138
38,pop rock,134
39,melancholy,134
40,fun,131
41,favourite,129
42,indie pop,127
43,blues,127
44,Ballad,127
45,happy,126
46,ambient,120
47,indie rock,120
48,favorite songs,118
49,romantic,117
50,lounge,115
51,love songs,114
52,upbeat,110
53,sweet,107
54,loved,107
55,amazing,104
56,relaxing,104
57,english,100
58,piano,100
59,soft,100
60,2000s,98
61,funk,97
62,melancholic,97
63,smooth,96
64,Soundtrack,94
65,classic rock,92
66,country,92
67,electro,90
68,70s,90
69,60s,90
70,lovely,89
71,Love it,89
72,cover,89
73,summer,88
74,trip-hop,88
75,Favourite Songs,87
76,Disco,86
77,classic,86
78,experimental,85
79,seen live,85
80,memories,83
81,trance,82
82,sensual,81
83,Dreamy,81
84,punk,81
85,House,81
86,slow,80
87,world,80
88,guitar,79
89,Hip-Hop,78
90,latin,77
91,metal,77
92,atmospheric,76
93,love at first listen,76
94,soft rock,76
95,rhythm and blues,75
96,funky,75
97,club,74
98,best,72
99,RB,72
100,USA,72
101,vocal jazz,71
102,UK,70
103,Guilty Pleasures,70
104,nice,70
105,covers,68
106,top 40,68
107,r&b,64
108,guilty pleasure,64
109,fav,64
110,great,63
111,good,63
112,Canadian,63
113,dark,63
114,jazz vocal,62
115,heard on Pandora,62
116,nostalgia,61
117,calm,61
118,urban,60
119,new wave,59
120,diva,58
121,groovy,58
122,techno,58
123,Smooth Jazz,57
124,cute,57
125,2008,56
126,2007,56
127,feel good,55
128,love song,54
129,Energetic,54
130,Pop-Rock,54
131,vocal trance,54
132,ethereal,54
133,r and b,53
134,french,53
135,electropop,52
136,britpop,52
137,hip hop,52
138,hot,51
139,folk rock,51
140,<3,51
141,favorite by this singer,51
142,easy,50
143,emotional,50
144,girl power,49
145,instrumental,49
146,adult contemporary,48
147,haunting,48
148,drjazzmrfunkmusic,48
149,soulful,48
150,2009,47
151,chill out,47
152,Neo-Soul,47
153,pretty,47
154,hard rock,47
155,new age,47
156,new,46
157,spanish,46
158,songs I absolutely love,46
159,punk rock,46
160,german,45
161,irish,45
162,swedish,45
163,jazzy,45
164,epic,44
165,eurodance,43
166,sex,43
167,Gothic,43
168,Driving,42
169,all the best,42
170,rap,42
171,Good Stuff,41
172,brilliant,41
173,Neo Soul,41
174,remix,40
175,psychedelic,40
176,celtic,40
177,feelgood,39
178,groove,39
179,nostalgic,39
180,emo,38
181,out of our heads,38
182,singer songwriter,38
183,Uplifting,37
184,77davez-all-tracks,37
185,My pop music,37
186,the best,37
187,Retro,36
188,synthpop,36
189,sing along,36
190,Gothic Metal,36
191,dance-pop,35
192,My Favorites,35
193,attitude,34
194,ballads,34
195,heavy metal,34
196,melodic,33
197,perfect,33
198,Jills Station,33
199,reggae,33
200,trip hop,33
201,Foxy Lady,33
202,other,33
203,2006,33
204,dream pop,33
205,vocalization,32
206,1990s,32
207,brazilian,32
208,live,32
209,Bittersweet,32
210,close harmony,31
211,swing,31
212,dance pop,31
213,night,31
214,heartbreak,31
215,motown,30
216,soul tag,30
217,post-punk,30
218,i am a party girl here is my soundtrack,30
219,50s,30
220,Grunge,30
221,World Music,30
222,brasil,30
223,FUCKING AWESOME,29
224,acid jazz,29
225,synth pop,29
226,progressive trance,29
227,my favorite,29
228,UK top 40,28
229,top,28
230,musicspirit,28
231,Bossa Nova,28
232,pop punk,28
233,top artists,28
234,tantotempotaste,28
235,Electroclash,28
236,singer,27
237,girls,27
238,teen pop,27
239,2003,27
240,Sentimental,27
241,indie folk,27
242,loneliness after dusk,27
243,Alternative  Punk,27
244,powerful,26
245,angry,26
246,symphonic metal,26
247,handclaps,26
248,scandinavian,26
249,poprock,26
250,vocals,26
251,great lyrics,25
252,Favorite Artists,25
253,latin pop,25
254,soothing,25
255,genius,25
256,lush,25
257,title is a full sentence,25
258,Old School soul,25
259,interesting,25
260,funny,25
261,divas,25
262,Voice,24
263,quirky,24
264,great song,24
265,I like,24
266,romance,24
267,favs,24
268,RockPop,23
269,Girl Groups,23
270,energy,23
271,woman,23
272,good song,23
273,1980s,23
274,chilled,23
275,blues rock,23
276,rock n roll,23
277,Faves,23
278,lovesongs,23
279,Sleep,23
280,gute laune,23
281,chick rock,23
282,strings,23
283,Fusion,22
284,riot grrrl,22
285,80's,22
286,gospel,22
287,beautiful voice,22
288,best songs ever,22
289,beautiful voices,22
290,chanson,22
291,4 Stars,22
292,morning,22
293,friendsofthekingofrummelpop,22
294,indietronica,22
295,nu jazz,22
296,political,22
297,annymix,22
298,1960s,21
299,addictive,21
300,kot,21
301,alternative pop,21
302,2000,21
303,Scottish,21
304,super,21
305,my music,21
306,NYC,21
307,Progressive rock,21
308,Lo-Fi,21
309,quiet,21
310,Dream,21
311,canada,21
312,crowe,21
313,Like,21
314,f singer-songwriter,21
315,americana,21
316,new york,20
317,christian,20
318,slow jams,20
319,r'n'b,20
320,girl group,20
321,women,20
322,hits,20
323,breakup,20
324,personal favourites,20
325,most loved,20
326,industrial,20
327,synth,19
328,miianens playlist,19
329,blue,19
330,20th Century,19
331,alt rock,19
332,san francisco,19
333,cool down,19
334,Soundtracks,19
335,work,19
336,late night,19
337,Pop Music,19
338,italian,19
339,2005,18
340,romantic tension,18
341,emotive,18
342,folk-rock,18
343,darkwave,18
344,shoegaze,18
345,francais,18
346,fH Projex,18
347,classic soul,18
348,affirming,18
349,2010,18
350,linedance,18
351,brit pop,18
352,Workout,18
353,Black,18
354,Europop,18
355,sleek,18
356,best song ever,18
357,Garage Rock,18
358,moody,18
359,names,18
360,2004,18
361,major key tonality,18
362,laptop,18
363,Pop Life,17
364,yeah,17
365,depressing,17
366,Dancemania,17
367,She Is Exuberant,17
368,Soundtrack Of My Life,17
369,inspiring,17
