,Tag,Frequency
0,pop,815
1,rock,596
2,alternative,445
3,singer-songwriter,400
4,Love,397
5,favorites,378
6,indie,378
7,dance,368
8,00s,356
9,electronic,339
10,beautiful,334
11,chillout,305
12,Mellow,284
13,soul,281
14,sexy,260
15,chill,251
16,folk,241
17,american,229
18,jazz,225
19,rnb,216
20,90s,213
21,electronica,204
22,british,189
23,Awesome,187
24,cool,183
25,party,175
26,Favorite,170
27,catchy,169
28,alternative rock,164
29,Favourites,163
30,acoustic,160
31,easy listening,159
32,80s,158
33,fun,153
34,oldies,151
35,indie rock,150
36,indie pop,142
37,vocal,141
38,relax,138
39,sad,136
40,lounge,136
41,melancholy,135
42,favourite,133
43,happy,128
44,favorite songs,126
45,Ballad,125
46,romantic,123
47,pop rock,122
48,ambient,117
49,trip-hop,108
50,piano,108
51,country,107
52,downtempo,106
53,blues,106
54,70s,105
55,funk,103
56,relaxing,102
57,melancholic,102
58,loved,97
59,soft,97
60,Dreamy,97
61,seen live,96
62,experimental,96
63,upbeat,96
64,sweet,95
65,classic,93
66,love songs,93
67,lovely,92
68,summer,91
69,Disco,91
70,punk,91
71,slow,90
72,Soundtrack,90
73,amazing,89
74,USA,88
75,classic rock,88
76,cover,87
77,2000s,87
78,electro,87
79,english,86
80,guitar,84
81,60s,83
82,love at first listen,83
83,nice,83
84,funky,82
85,atmospheric,81
86,smooth,80
87,metal,80
88,drjazzmrfunkmusic,79
89,Love it,78
90,new wave,77
91,Hip-Hop,77
92,House,74
93,soft rock,73
94,Favourite Songs,73
95,good,72
96,top 40,71
97,best,71
98,trance,71
99,UK,70
100,covers,70
101,hip hop,69
102,Guilty Pleasures,69
103,heard on Pandora,69
104,sensual,68
105,memories,67
106,world,67
107,RB,66
108,emotional,66
109,rhythm and blues,65
110,love song,65
111,great,65
112,urban,65
113,feel good,64
114,guilty pleasure,63
115,vocal jazz,63
116,dark,63
117,electropop,63
118,techno,62
119,club,62
120,Canadian,62
121,fav,61
122,r&b,61
123,favorite by this singer,60
124,synthpop,60
125,r and b,58
126,Smooth Jazz,57
127,cute,57
128,epic,57
129,punk rock,56
130,britpop,56
131,songs I absolutely love,55
132,Energetic,55
133,girl power,54
134,groovy,53
135,hot,52
136,jazz vocal,52
137,ethereal,51
138,2009,51
139,pretty,51
140,latin,51
141,brilliant,50
142,2008,49
143,Uplifting,49
144,post-punk,49
145,jazzy,48
146,perfect,48
147,sex,48
148,german,47
149,2007,46
150,chill out,46
151,easy,46
152,folk rock,46
153,psychedelic,46
154,calm,46
155,french,45
156,haunting,45
157,vocal trance,45
158,Neo-Soul,44
159,out of our heads,44
160,eurodance,44
161,trip hop,44
162,live,43
163,adult contemporary,43
164,diva,43
165,motown,43
166,swedish,42
167,soulful,41
168,Gothic,41
169,groove,41
170,dream pop,41
171,friendsofthekingofrummelpop,40
172,dance-pop,40
173,Driving,40
174,Progressive rock,40
175,vocalization,39
176,instrumental,38
177,dance pop,38
178,nostalgia,38
179,Pop-Rock,38
180,hard rock,38
181,all the best,37
182,Gothic Metal,37
183,new,37
184,Favorite Artists,37
185,<3,37
186,alternative pop,36
187,Good Stuff,35
188,nu jazz,35
189,singer songwriter,35
190,UK top 40,35
191,top,35
192,emo,35
193,remix,34
194,attitude,34
195,Retro,34
196,Alternative  Punk,33
197,musicspirit,33
198,americana,32
199,great lyrics,32
200,folk-rock,32
201,spanish,32
202,Old School soul,32
203,synth pop,32
204,irish,32
205,indie folk,32
206,nostalgic,31
207,ballads,31
208,reggae,31
209,sing along,31
210,rock n roll,31
211,rap,30
212,loneliness after dusk,30
213,celtic,30
214,acid jazz,30
215,swing,30
216,alt rock,30
217,i am a party girl here is my soundtrack,29
218,My pop music,29
219,romantic tension,29
220,melodic,29
221,slow jams,29
222,favs,29
223,scandinavian,29
224,gute laune,28
225,other,28
226,energy,28
227,powerful,28
228,chilled,28
229,77davez-all-tracks,28
230,My Favorites,28
231,1990s,28
232,I like,28
233,Lo-Fi,28
234,Alt-country,28
235,vocals,27
236,Bittersweet,27
237,the best,27
238,Neo Soul,27
239,World Music,27
240,heavy metal,27
241,Voice,27
242,girls,27
243,good song,27
244,Bossa Nova,27
245,my music,27
246,funny,27
247,teen pop,27
248,interesting,27
249,deutsch,27
250,2006,26
251,2005,26
252,winter,26
253,riot grrrl,26
254,Gothic Rock,26
255,old school,26
256,Sentimental,26
257,pozytywne wibracje,26
258,chick rock,25
259,pop music tag,25
260,Grunge,25
261,1970s,25
262,electro-pop,25
263,Progressive,25
264,classic soul,25
265,australian,25
266,sleek,25
267,2004,24
268,best songs of the 00s,24
269,indietronica,24
270,Electroclash,24
271,brasil,24
272,Girl Groups,24
273,50s,24
274,Sleep,24
275,divas,23
276,night,23
277,bouncy,23
278,Scottish,23
279,symphonic metal,23
280,close harmony,23
281,great song,23
282,Masterpiece,23
283,romance,23
284,new age,23
285,4,23
286,girl group,22
287,morning,22
288,late night,22
289,poprock,22
290,industrial,22
291,italian,22
292,triphop,22
293,Soundtrack Of My Life,22
294,feelgood,22
295,FUCKING AWESOME,22
296,favorite song,22
297,goth,22
298,-favorites-,22
299,soothing,22
300,Jills Station,22
301,influential,22
302,brazilian,22
303,personal favourites,21
304,Like,21
305,hardcore,21
306,addictive,21
307,peaceful,21
308,kot,21
309,Fusion,21
310,blues rock,21
311,relaxed,21
312,r'n'b,21
313,beautiful voice,21
314,lyrics,21
315,Europop,21
316,lush,21
317,intense,21
318,mpb,21
319,Foxy Lady,20
320,quiet storm,20
321,heartbreak,20
322,check out,20
323,miianens playlist,20
324,1980s,20
325,5,20
326,classic country,20
327,top artists,20
328,loves it,20
329,tantotempotaste,20
330,my favorite,19
331,hypermusic,19
332,Electro Pop,19
333,Soundtracks,19
334,death metal,19
335,annymix,19
336,girlish,19
337,popular,19
338,yeah,19
339,angry,19
340,new york,19
341,RockPop,19
342,darkwave,19
343,best songs ever,19
344,80's,19
345,affirming,19
346,fon,19
347,soul tag,19
348,gotanygoodmusic,18
349,like it,18
350,me,18
351,women,18
352,nu-jazz,18
353,Progressive metal,18
354,my soundtrack,18
355,woman,18
356,depressing,18
357,power pop,18
358,synth,18
359,post-rock,18
360,Pop Life,18
361,latin pop,18
362,-chill-trip-lounge-down-,18
363,positive,18
364,Pop Music,18
365,handclaps,18
366,lovesongs,18
367,2001,18
368,work,18
369,england,18
370,norwegian,18
371,quiet,18
372,rex ferric faves,18
373,garage,18
374,art rock,18
375,Power metal,18
376,Dark metal,18
377,Classical,17
378,rhythum and blues tag,17
379,pop dance,17
380,hiphop,17
381,cover songs,17
382,web-found,17
383,laptop,17
384,all time faves,17
385,High School,17
386,bubblegum,17
387,singer,17
388,metro downtempo,17
389,christmas,17
390,shoegaze,17
391,chanson francaise,17
392,20th Century,17
393,NYC,17
394,loved tracks,17
395,unique,17
396,California,17
397,good music,17
398,clean,17
399,best of 2009,17
400,1,17
401,moody,17
402,Adult Alternative,17
403,progressive trance,17
404,canada,16
405,dj,16
406,danceable,16
407,crowe,16
408,Radio,16
409,magic,16
410,1996,16
411,f singer-songwriter,16
412,twee,16
413,bluegrass,16
