,Tag,Frequency
0,rock,1135
1,pop,1094
2,alternative,727
3,favorites,685
4,Love,647
5,indie,565
6,00s,510
7,singer-songwriter,498
8,beautiful,483
9,Mellow,444
10,dance,439
11,american,420
12,Awesome,420
13,alternative rock,391
14,electronic,376
15,oldies,363
16,Favourites,353
17,british,347
18,classic rock,346
19,soul,345
20,chillout,337
21,cool,328
22,Favorite,325
23,indie rock,312
24,sexy,312
25,chill,311
26,90s,307
27,folk,292
28,acoustic,286
29,catchy,278
30,80s,276
31,easy listening,275
32,guitar,260
33,sad,252
34,favourite,252
35,electronica,251
36,favorite songs,251
37,jazz,249
38,fun,244
39,party,243
40,happy,240
41,pop rock,234
42,rnb,233
43,loved,228
44,melancholy,226
45,blues,225
46,70s,216
47,amazing,213
48,classic,206
49,60s,205
50,indie pop,187
51,relax,185
52,hard rock,185
53,romantic,181
54,Ballad,181
55,seen live,178
56,Soundtrack,177
57,melancholic,172
58,punk,169
59,metal,169
60,soft rock,164
61,upbeat,164
62,2000s,160
63,UK,160
64,USA,159
65,sweet,158
66,Love it,157
67,smooth,156
68,english,152
69,relaxing,152
70,piano,151
71,love songs,150
72,Favourite Songs,150
73,funk,149
74,vocal,144
75,summer,144
76,country,142
77,lounge,141
78,good,140
79,memories,140
80,slow,139
81,britpop,136
82,ambient,133
83,nostalgia,132
84,rhythm and blues,129
85,experimental,129
86,funky,128
87,rock n roll,127
88,love at first listen,126
89,Hip-Hop,126
90,soft,126
91,great,125
92,downtempo,125
93,electro,124
94,Disco,123
95,cover,121
96,lovely,119
97,best,118
98,nice,116
99,new wave,114
100,emo,113
101,live,112
102,Good Stuff,108
103,epic,108
104,punk rock,106
105,fav,104
106,top 40,103
107,dark,103
108,Progressive rock,103
109,r&b,103
110,FUCKING AWESOME,102
111,Dreamy,102
112,love song,100
113,RB,100
114,psychedelic,96
115,Energetic,92
116,songs I absolutely love,91
117,heavy metal,91
118,House,90
119,hip hop,89
120,groovy,89
121,all the best,88
122,folk rock,88
123,heard on Pandora,88
124,brilliant,88
125,trip-hop,88
126,easy,85
127,blues rock,84
128,synthpop,84
129,Rock and Roll,83
130,great song,82
131,feel good,81
132,great lyrics,81
133,Pop-Rock,80
134,singer songwriter,80
135,guilty pleasure,79
136,close harmony,79
137,emotional,79
138,r and b,79
139,calm,79
140,Driving,78
141,atmospheric,78
142,americana,77
143,Alternative  Punk,76
144,urban,76
145,77davez-all-tracks,75
146,2007,75
147,covers,75
148,groove,73
149,Guilty Pleasures,73
150,world,71
151,2009,70
152,drjazzmrfunkmusic,70
153,friendsofthekingofrummelpop,69
154,latin,69
155,Uplifting,69
156,2008,69
157,rap,69
158,Gothic,69
159,cute,67
160,Canadian,67
161,alt rock,67
162,adult contemporary,67
163,electropop,67
164,50s,67
165,Retro,67
166,80's,66
167,post-punk,66
168,instrumental,65
169,perfect,64
170,Smooth Jazz,64
171,the best,64
172,vocals,64
173,ballads,63
174,new,63
175,<3,62
176,My Favorites,61
177,soulful,60
178,sex,60
179,melodic,60
180,sensual,60
181,major key tonality,60
182,jazzy,59
183,Progressive,59
184,club,59
185,vocal jazz,59
186,techno,58
187,Old School soul,58
188,Favorite Artists,58
189,german,57
190,Masterpiece,57
191,synth pop,57
192,hot,57
193,haunting,57
194,swing,56
195,1980s,56
196,jazz vocal,56
197,Grunge,55
198,chill out,55
199,Faves,55
200,Psychedelic Rock,55
201,poprock,55
202,pretty,54
203,other,53
204,my favorite,53
205,lyrics,53
206,french,52
207,powerful,52
208,swedish,51
209,spanish,51
210,motown,51
211,trance,51
212,UK top 40,51
213,feelgood,51
214,folk-rock,51
215,alternative metal,51
216,My pop music,50
217,favorite by this singer,50
218,genius,50
219,night,49
220,1990s,49
221,1970s,49
222,quirky,49
223,my music,49
224,ethereal,49
225,hardcore,49
226,england,48
227,Garage Rock,48
228,2005,48
229,nostalgic,47
230,indietronica,47
231,title is a full sentence,47
232,pop punk,47
233,GH10,46
234,a subtle use of vocal harmony,46
235,heartbreak,46
236,slow jams,46
237,classic country,46
238,intense,46
239,1960s,46
240,synth,46
241,i am a party girl here is my soundtrack,46
242,acclaimed music top 3000,46
243,rockabilly,45
244,classics,45
245,funny,45
246,heavy,45
