,Tag,Frequency
0,pop,747
1,rock,517
2,alternative,422
3,Love,366
4,singer-songwriter,341
5,indie,339
6,dance,328
7,favorites,318
8,beautiful,318
9,electronic,313
10,00s,298
11,chillout,268
12,soul,260
13,Mellow,259
14,sexy,228
15,folk,216
16,jazz,212
17,american,209
18,chill,188
19,90s,186
20,cool,169
21,electronica,168
22,easy listening,168
23,Awesome,166
24,rnb,165
25,Favorite,159
26,alternative rock,152
27,oldies,147
28,acoustic,147
29,british,145
30,Favourites,143
31,80s,138
32,catchy,137
33,pop rock,128
34,happy,125
35,indie pop,125
36,sad,125
37,favorite songs,123
38,party,121
39,melancholy,121
40,vocal,120
41,lounge,118
42,relax,117
43,fun,117
44,ambient,116
45,favourite,115
46,indie rock,115
47,Ballad,114
48,blues,114
49,relaxing,112
50,downtempo,105
51,piano,105
52,romantic,102
53,seen live,99
54,country,96
55,melancholic,95
56,love songs,95
57,punk,95
58,sweet,93
59,smooth,93
60,soft,91
61,loved,91
62,summer,91
63,amazing,90
64,upbeat,86
65,guitar,86
66,Favourite Songs,86
67,Soundtrack,86
68,trip-hop,85
69,60s,84
70,experimental,83
71,Dreamy,81
72,classic,80
73,funk,80
74,House,80
75,metal,79
76,electro,77
77,lovely,77
78,classic rock,76
79,Love it,76
80,world,76
81,2000s,75
82,atmospheric,75
83,Disco,73
84,new wave,73
85,nice,72
86,UK,72
87,trance,72
88,slow,72
89,cover,70
90,good,70
91,dark,70
92,love at first listen,69
93,vocal jazz,68
94,sensual,67
95,latin,65
96,rhythm and blues,65
97,funky,64
98,r&b,64
99,USA,63
100,cute,63
101,favorite by this singer,62
102,jazz vocal,62
103,70s,61
104,club,60
105,english,60
106,great,60
107,top 40,60
108,ethereal,59
109,techno,58
110,best,58
111,Hip-Hop,57
112,fav,56
113,Energetic,56
114,electropop,55
115,Smooth Jazz,55
116,RB,54
117,memories,54
118,guilty pleasure,54
119,jazzy,54
120,groovy,53
121,urban,53
122,soft rock,52
123,covers,52
124,heard on Pandora,52
125,vocal trance,52
126,nostalgia,52
127,french,51
128,Driving,50
129,epic,50
130,songs I absolutely love,50
131,punk rock,49
132,Guilty Pleasures,48
133,pretty,48
134,Gothic,48
135,spanish,48
136,psychedelic,47
137,Good Stuff,46
138,2008,46
139,Canadian,46
140,love song,46
141,synthpop,45
142,girl power,45
143,2007,44
144,post-punk,44
145,2009,44
146,hip hop,43
147,drjazzmrfunkmusic,43
148,hard rock,43
149,britpop,42
150,hot,42
151,melodic,42
152,Pop-Rock,41
153,calm,41
154,instrumental,40
155,new age,40
156,swedish,40
157,feel good,39
158,<3,39
159,german,39
160,Bittersweet,38
161,nostalgic,38
162,eurodance,38
163,diva,38
164,out of our heads,37
165,easy,37
166,folk rock,37
167,live,37
168,r and b,37
169,haunting,37
170,vocalization,36
171,My pop music,36
172,friendsofthekingofrummelpop,36
173,all the best,35
174,Scottish,35
175,motown,34
176,title is a full sentence,34
177,interesting,34
178,brilliant,34
179,heavy metal,34
180,Uplifting,34
181,sex,33
182,ballads,33
183,World Music,33
184,Neo-Soul,33
185,tantotempotaste,32
186,trip hop,32
187,dream pop,32
188,Gothic Metal,32
189,adult contemporary,32
190,great lyrics,32
191,77davez-all-tracks,32
192,girl group,31
193,Jills Station,31
194,My Favorites,31
195,rock n roll,31
196,singer songwriter,31
197,progressive trance,31
198,chill out,31
199,Retro,30
200,close harmony,30
201,Old School soul,30
202,alt rock,30
203,groove,30
204,divas,29
205,celtic,29
206,perfect,29
207,new,29
208,soulful,28
209,synth pop,28
210,the best,28
211,favs,28
212,emotional,28
213,intense,28
214,Grunge,28
215,rap,28
216,brazilian,28
217,powerful,28
218,Progressive,28
219,Gothic Rock,28
220,Foxy Lady,27
221,i am a party girl here is my soundtrack,27
222,sing along,27
223,slow jams,27
224,Alternative  Punk,27
225,quiet,27
226,indie folk,27
227,Girl Groups,27
228,50s,26
229,dance pop,26
230,norwegian,26
231,swing,26
232,italian,26
233,night,26
234,irish,26
235,emo,26
236,blues rock,26
237,acid jazz,26
238,heartbreak,25
239,funny,25
240,attitude,25
241,1960s,25
242,feelgood,25
243,RockPop,25
244,FUCKING AWESOME,25
245,winter,25
246,2005,25
247,riot grrrl,25
248,classic soul,24
249,top artists,24
250,best songs of the 00s,24
251,australian,24
252,great song,24
253,Progressive rock,24
254,annymix,24
255,late night,24
256,Neo Soul,24
257,Lo-Fi,24
258,UK top 40,24
259,folk-rock,24
260,dance-pop,24
261,Fusion,24
262,Soundtrack Of My Life,24
263,80's,23
264,lyricism,23
265,f singer-songwriter,23
266,old school,23
267,quiet storm,23
268,Sentimental,23
269,moody,23
270,lacrimaindarkness,23
271,alternative pop,23
272,latin pop,23
273,romantic tension,23
274,Favorite Artists,23
275,singer,23
276,indietronica,23
277,reggae,22
278,2003,22
279,1990s,22
280,scandinavian,22
281,chick rock,22
282,1,22
283,deutsch,22
284,musicspirit,22
285,energy,22
286,-favorites-,22
287,handclaps,21
288,other,21
289,Radio,21
290,Europop,21
291,vocals,21
292,french pop,21
293,Dream,21
294,chanson,21
295,2giveme5,21
296,soothing,21
297,christmas,21
298,goth,21
299,Bossa Nova,21
300,Electroclash,20
301,sunday morning,20
302,emotive,20
303,1980s,20
304,remix,20
305,Voice,20
306,3 stars,20
307,melodic metal,20
308,gute laune,19
309,northern soul,19
310,All time favourites,19
311,duets,19
312,Electro Pop,19
313,my favorite,19
314,real,19
315,teen pop,19
316,sleek,19
317,affirming,19
318,lyrics,19
319,poprock,19
320,americana,19
321,brasil,19
322,all time faves,19
323,girls,19
324,top,19
325,electro-pop,19
326,2002,19
327,metro downtempo,19
328,darkwave,19
329,francais,19
330,web-found,18
331,music,18
332,legend,18
333,2006,18
334,women,18
335,nu jazz,18
336,Faves,18
337,france,18
338,my music,18
339,morning,18
340,Alt-country,18
341,brazil,18
342,Progressive metal,18
343,industrial,18
344,new york,18
345,yeah,18
346,Dancemania,18
347,good song,18
348,woman,18
349,super,18
350,Tranquila,18
351,relaxed,18
352,symphonic metal,18
353,acclaimed music top 3000,17
354,classic country,17
355,pop dance,17
356,canada,17
357,bass,17
358,Like,17
359,doom metal,17
360,death metal,17
361,polish,17
362,Brems Tagg radio,17
363,buy,17
364,i feel good,17
365,Playful,17
366,chilled,17
367,wow,17
368,loneliness after dusk,17
369,shoegaze,17
370,60's,16
371,2010,16
372,cheerful,16
373,Soundtracks,16
374,20th Century,16
375,Rock and Roll,16
376,yes,16
377,loved tracks,16
378,Drum and bass,16
379,Progressive House,16
380,Jazz Vocal Tag,16
381,rhythum and blues tag,16
382,4 Star,16
383,finnish,16
384,hardcore,16
385,4,16
386,Classical,16
387,Girl Rock,16
388,synth,16
389,xynod,16
390,stonesoup,16
391,vocal house,16
392,Melodic Death Metal,16
393,chanson francaise,16
394,linedance,15
395,classics,15
396,solx,15
397,good music,15
398,download,15
399,best of 2009,15
400,check out,15
401,high,15
402,Pop Music,15
403,pop punk,15
404,amazing voice,15
405,brit pop,15
406,stringtheory,15
407,names,15
408,melodic trance,15
409,soul tag,15
410,NYC,15
411,ethnic,15
412,heard on last-fm,15
413,mpb,15
414,Psychedelic Rock,15
415,catchy as hell,15
416,general pop,15
417,angry,15
418,uplifting trance,15
419,miianens playlist,15
420,major key tonality,14
421,sixties,14
422,pozytywne wibracje,14
423,billboard number ones,14
424,me,14
425,dancing,14
426,ladies,14
427,2004,14
428,Workout,14
429,lovesongs,14
430,it is party time,14
431,Emotional Adult Rock,14
432,1999,14
433,latino,14
434,best songs ever,14
435,romance,14
436,duet,14
437,european,14
438,warm,14
439,Rainy Day,14
440,IIIIIIIIII AMAZING TRACK :D IIIIIIIIII,14
441,strings,14
442,hypermusic,14
443,Sleep,14
444,Torquemada,14
445,lush,14
446,drums,14
447,Avant-Garde,14
448,geil,14
449,doo wop,14
450,hit,14
451,power pop,14
452,5,14
453,Fave,14
454,zajebiste,14
455,singer-songwriters,14
456,to classify,13
457,streamable track wants,13
458,60s pop,13
459,West Coast swing,13
460,witty,13
461,leapsandloved,13
462,I like,13
463,loves it,13
464,danceable,13
465,girly,13
466,glam,13
467,Basically Bass,13
468,good shit,13
469,unique,13
470,best song ever,13
471,Post punk,13
472,san francisco,13
473,bouncy,13
474,japanese,13
475,Garage Rock,13
476,California,13
