,Tag,Frequency
0,pop,1300
1,rock,1254
2,favorites,831
3,alternative,792
4,Love,782
5,singer-songwriter,616
6,indie,607
7,beautiful,606
8,00s,604
9,american,561
10,Mellow,538
11,dance,483
12,oldies,464
13,Awesome,461
14,chill,451
15,alternative rock,431
16,soul,431
17,chillout,425
18,classic rock,412
19,british,408
20,sexy,390
21,easy listening,387
22,electronic,383
23,Favorite,380
24,90s,361
25,Favourites,357
26,catchy,334
27,cool,331
28,folk,328
29,acoustic,322
30,80s,316
31,rnb,311
32,favourite,308
33,indie rock,304
34,favorite songs,294
35,happy,291
36,pop rock,290
37,sad,290
38,fun,287
39,party,281
40,Ballad,274
41,classic,273
42,jazz,269
43,70s,269
44,guitar,264
45,melancholy,263
46,blues,259
47,romantic,251
48,60s,244
49,upbeat,244
50,Soundtrack,241
51,amazing,233
52,loved,233
53,electronica,227
54,relax,222
55,soft rock,220
56,hard rock,214
57,USA,212
58,melancholic,212
59,relaxing,207
60,piano,205
61,vocal,204
62,seen live,202
63,love songs,202
64,indie pop,189
65,summer,188
66,sweet,186
67,2000s,184
68,country,183
69,UK,181
70,smooth,180
71,Favourite Songs,176
72,punk,175
73,english,171
74,Love it,170
75,love at first listen,165
76,memories,164
77,slow,164
78,lounge,163
79,soft,161
80,great,161
81,metal,160
82,rhythm and blues,157
83,funk,157
84,britpop,152
85,experimental,147
86,top 40,147
87,nice,146
88,epic,146
89,lovely,141
90,best,141
91,good,139
92,Hip-Hop,137
93,rock n roll,136
94,ambient,135
95,funky,134
96,cover,134
97,nostalgia,133
98,love song,133
99,RB,130
100,psychedelic,128
101,r&b,127
102,Disco,126
103,downtempo,125
104,Progressive rock,125
105,electro,120
106,calm,118
107,live,117
108,feel good,116
109,new wave,114
110,Dreamy,112
111,Guilty Pleasures,111
112,great song,111
113,Rock and Roll,109
114,atmospheric,108
115,Good Stuff,108
116,<3,108
117,dark,107
118,hip hop,107
119,Energetic,105
120,blues rock,103
121,FUCKING AWESOME,101
122,Driving,101
123,the best,100
124,punk rock,100
125,all the best,100
126,guilty pleasure,100
127,2008,99
128,r and b,99
129,77davez-all-tracks,98
130,folk rock,98
131,emo,98
132,50s,97
133,covers,97
134,easy,97
135,Pop-Rock,96
136,electropop,95
137,brilliant,94
138,urban,94
139,americana,93
140,perfect,93
141,heavy metal,92
142,emotional,92
143,heard on Pandora,92
144,sensual,91
145,fav,91
146,ballads,89
147,adult contemporary,88
148,synthpop,88
149,my favorite,87
150,House,87
151,2007,87
152,Alternative  Punk,85
153,close harmony,85
154,Uplifting,84
155,great lyrics,84
156,songs I absolutely love,83
157,trip-hop,82
158,groovy,82
159,vocal jazz,81
160,melodic,81
161,Retro,81
162,poprock,80
163,jazzy,80
164,jazz vocal,79
165,new,79
166,Smooth Jazz,77
167,drjazzmrfunkmusic,75
168,sex,75
169,favorite by this singer,74
170,major key tonality,74
171,rap,74
172,Gothic,74
173,hot,73
174,friendsofthekingofrummelpop,72
175,singer songwriter,72
176,pretty,72
177,1980s,71
178,haunting,71
179,other,71
180,Grunge,71
181,soulful,70
182,1960s,70
183,cute,70
184,club,69
185,swing,69
186,techno,68
187,feelgood,68
188,post-punk,68
189,acclaimed music top 3000,67
190,instrumental,67
191,motown,67
192,nostalgic,66
193,vocals,66
194,glam rock,66
195,latin,66
196,alt rock,66
197,world,66
198,ethereal,65
199,groove,65
200,80's,65
201,funny,65
202,2009,64
203,top artists,64
204,reggae,63
205,classic country,62
206,My Favorites,62
207,Psychedelic Rock,61
208,slow jams,61
209,favs,60
210,Favorite Artists,60
211,Radiotsar approved,59
212,sing along,59
213,Old School soul,59
214,night,58
215,french,58
216,My pop music,57
217,german,57
218,title is a full sentence,57
219,legend,57
220,Neo-Soul,56
221,old school,56
222,rockabilly,56
223,UK top 40,55
224,all time favorites,55
225,diva,55
226,swedish,55
227,1970s,54
228,powerful,54
229,lyrics,54
230,Faves,54
231,Sentimental,54
232,Brems Tagg radio,53
233,Rock  Roll,53
234,Soundtrack Of My Life,53
235,folk-rock,53
236,GH10,53
237,Gothic Metal,53
238,trance,53
239,intense,53
240,1990s,53
241,Bittersweet,52
242,chill out,52
243,Alt-country,52
244,slgdmbestof,52
245,interesting,52
246,Canadian,52
247,2006,51
248,fH Projex,51
249,2005,50
250,Gothic Rock,50
251,classics,50
252,synth pop,50
253,best songs ever,50
254,spanish,49
255,I like,49
256,vocalization,49
257,All time favourites,49
258,alternative metal,48
259,genius,48
260,girl power,48
261,Masterpiece,48
262,good music,48
263,Lo-Fi,48
264,political,47
265,Progressive,47
266,60's,47
267,gute laune,46
268,morning,46
269,piano rock,46
270,out of our heads,46
271,quirky,46
272,extensive vamping,46
273,energy,46
