,Tag,Frequency
0,pop,1248
1,rock,1245
2,alternative,821
3,favorites,807
4,Love,766
5,indie,611
6,singer-songwriter,599
7,beautiful,586
8,american,568
9,00s,562
10,dance,499
11,Mellow,488
12,Awesome,481
13,alternative rock,450
14,oldies,444
15,soul,417
16,Favourites,413
17,chillout,404
18,classic rock,399
19,90s,386
20,Favorite,379
21,chill,372
22,british,363
23,sexy,362
24,electronic,358
25,folk,355
26,catchy,345
27,cool,342
28,acoustic,341
29,indie rock,339
30,easy listening,329
31,favourite,325
32,80s,309
33,pop rock,301
34,favorite songs,300
35,rnb,300
36,classic,298
37,happy,296
38,party,291
39,guitar,290
40,fun,288
41,sad,278
42,70s,275
43,jazz,264
44,loved,243
45,melancholy,241
46,blues,239
47,60s,238
48,upbeat,238
49,electronica,234
50,amazing,224
51,Soundtrack,220
52,hard rock,218
53,romantic,217
54,Ballad,217
55,relax,211
56,summer,210
57,seen live,207
58,2000s,205
59,Love it,203
60,soft rock,200
61,indie pop,195
62,piano,195
63,country,192
64,memories,185
65,USA,182
66,Favourite Songs,181
67,funk,180
68,punk,180
69,sweet,176
70,UK,173
71,love songs,173
72,melancholic,172
73,english,171
74,relaxing,164
75,love at first listen,163
76,metal,162
77,smooth,161
78,good,157
79,great,156
80,lovely,153
81,britpop,147
82,vocal,147
83,epic,147
84,Disco,146
85,slow,144
86,nostalgia,143
87,experimental,138
88,funky,138
89,rhythm and blues,136
90,cover,136
91,electro,136
92,soft,135
93,Good Stuff,134
94,Hip-Hop,134
95,rock n roll,132
96,lounge,131
97,live,129
98,nice,128
99,best,127
100,Progressive rock,127
101,r&b,126
102,ambient,126
103,Energetic,123
104,Driving,119
105,love song,118
106,top 40,118
107,guilty pleasure,117
108,dark,117
109,FUCKING AWESOME,115
110,77davez-all-tracks,113
111,RB,112
112,feel good,111
113,punk rock,110
114,new wave,109
115,hip hop,108
116,Guilty Pleasures,108
117,Dreamy,107
118,psychedelic,105
119,emotional,105
120,blues rock,103
121,downtempo,100
122,2007,100
123,Pop-Rock,99
124,emo,99
125,folk rock,99
126,heard on Pandora,99
127,fav,98
128,great song,97
129,2008,95
130,all the best,93
131,great lyrics,93
132,urban,92
133,<3,92
134,atmospheric,91
135,Alternative  Punk,90
136,heavy metal,89
137,50s,88
138,Uplifting,87
139,singer songwriter,87
140,covers,87
141,brilliant,86
142,cute,86
143,perfect,85
144,Rock and Roll,85
145,My pop music,84
146,songs I absolutely love,83
147,groovy,83
148,rap,82
149,sex,82
150,electropop,81
151,vocal jazz,81
152,synthpop,81
153,calm,81
154,r and b,80
155,easy,80
156,trip-hop,78
157,ballads,78
158,latin,78
159,my favorite,77
160,House,77
161,the best,76
162,motown,75
163,world,75
164,2009,74
165,Grunge,74
166,adult contemporary,74
167,close harmony,74
168,Retro,73
169,Psychedelic Rock,72
170,Favorite Artists,72
171,swing,72
172,sensual,71
173,new,71
174,hot,71
175,energy,70
176,jazz vocal,70
177,americana,69
178,Smooth Jazz,69
179,major key tonality,69
180,jazzy,67
181,80's,67
182,alt rock,67
183,poprock,66
184,nostalgic,66
185,genius,65
186,powerful,65
187,friendsofthekingofrummelpop,65
188,Gothic,65
189,All time favourites,65
190,feelgood,64
191,Progressive,64
192,melodic,64
193,vocals,64
194,post-punk,64
195,Canadian,64
196,pretty,64
197,1970s,63
198,favorite by this singer,63
199,sing along,63
200,folk-rock,62
201,soulful,62
202,club,62
203,My Favorites,62
204,groove,61
205,instrumental,61
206,other,61
207,techno,61
208,classic country,61
209,slow jams,61
210,Old School soul,61
211,drjazzmrfunkmusic,61
212,reggae,61
213,my music,60
214,classics,60
215,Faves,60
216,french,59
217,chill out,59
218,1960s,59
219,acclaimed music top 3000,59
220,old school,59
221,UK top 40,58
222,haunting,58
223,favs,58
224,german,57
225,vocalization,56
226,funny,56
227,top artists,56
228,Garage Rock,55
229,england,54
230,1980s,53
231,fH Projex,53
232,Jills Station,53
233,rockabilly,53
234,1990s,53
235,night,52
236,girl power,51
237,quirky,51
238,trance,51
239,Neo-Soul,50
240,i am a party girl here is my soundtrack,50
241,golden oldies,50
242,rockin,50
243,legend,50
244,intense,50
245,indietronica,49
246,swedish,49
247,Rock  Roll,49
248,new york,49
249,dance pop,49
250,Bittersweet,49
251,title is a full sentence,49
252,California,49
253,interesting,49
254,spanish,48
255,Gothic Metal,48
256,Masterpiece,48
257,irish,48
258,extensive vamping,47
259,a subtle use of vocal harmony,47
260,glam rock,47
261,pop punk,47
262,alternative pop,46
263,alternative metal,46
264,classic soul,46
265,art rock,46
266,kot,45
267,synth,45
268,brit rock,45
269,best song ever,45
270,brit pop,45
271,aitch,45
272,power pop,44
273,slgdm,44
274,hardcore,44
275,ethereal,44
276,freedom,44
277,scandinavian,44
278,Alt-country,44
279,Radiotsar approved,43
280,angry,43
281,download,43
282,2giveme5,43
283,Brems Tagg radio,43
284,Soundtrack Of My Life,43
285,malloy2000 playlist - top songs - classical to metal,43
286,gute laune,43
287,piano rock,43
288,1,43
289,heavy,43
290,indie folk,43
291,2006,42
292,best songs of the 00s,42
293,political,42
294,work,42
295,2004,42
296,Awesome Guitar Jams,42
297,makes me happy,42
298,handclaps,42
299,20th Century,42
300,australian,42
301,GH10,41
302,Like,41
303,a vocal-centric aesthetic,41
304,diva,41
305,industrial,41
306,Black,41
307,synth pop,41
308,2003,41
309,yeah,40
310,70's,40
311,names,40
312,addictive,40
313,Gothic Rock,40
314,guitar virtuoso,40
315,heartbreak,40
316,I like,40
317,lovesongs,40
318,yes,40
319,best songs ever,40
320,lyrics,40
321,top 2000,39
322,christian,39
323,quiet storm,39
324,Nu Metal,39
325,slgdmbestof,39
326,teen pop,39
327,RockPop,38
328,5,38
329,personal favourites,38
330,music,38
331,drums,38
332,tantotempotaste,38
333,strings,37
334,Soundtracks,37
335,goth,37
336,my soundtrack,37
337,musicspirit,37
338,90s Rock,37
339,symphonic metal,37
340,moody,37
341,hiphop,36
342,favorite song,36
343,us,36
344,2005,36
345,4,36
346,1950s,36
347,attitude,36
348,Sentimental,36
349,repetitive melodic phrasing,36
350,post-grunge,36
351,soothing,35
352,morning,35
353,out of our heads,35
354,billboard number ones,35
355,Adult Alternative,35
356,eurodance,35
357,ska,35
358,dance-pop,34
359,annymix,34
360,popular,34
361,wow,34
362,late night,34
363,celtic,34
364,Makes Me Smile,34
365,great songs,34
366,r'n'b,34
367,rex ferric faves,34
368,Britrock,34
369,High School,33
370,linedance,33
371,Progressive metal,33
372,powerpop,33
373,modern rock,33
374,christian rock,33
375,good music,33
376,minor key tonality,33
377,garage,33
378,Rolling Stone 500 Greatest Songs of All Time,32
379,woman,32
380,blingtacular,32
381,blues-rock,32
382,all time favorites,32
383,Excellent tune,32
384,pop music tag,32
385,to classify,32
386,1999,32
387,influential,32
388,60's,32
389,performed on top of the pops,32
390,quiet,32
391,peaceful,31
392,chick rock,31
393,Acoustic Rock,31
394,i feel good,31
395,good song,31
396,acid jazz,31
397,dramatic,31
398,favourite tracks,31
399,Scottish,31
400,chilled,31
401,Power metal,31
402,new age,31
403,old favorites,31
404,trip hop,31
405,loved tracks,31
406,Favorite Bands,31
407,fast,30
408,Pop Life,30
409,relaxed,30
410,Ion B radio,30
411,Foxy Lady,30
412,acoustic rhythm piano,30
413,sixties,30
414,songwriter,30
415,rhythum and blues tag,30
416,favorite tracks,30
417,favouritestreamable,30
418,80s Pop,30
419,NYC,30
420,Southern Rock,30
421,Electro Pop,29
422,life,29
423,Dream,29
424,me,29
425,positive,29
426,remix,29
427,country rock,29
428,good mood,29
429,Experimental Rock,29
430,winter,29
431,usa hot 100 number one hit,29
432,Radio,29
433,most loved,29
434,World Music,29
435,solx,29
436,drugs,29
437,damned good,29
438,Avant-Garde,29
439,singersongwriter,29
440,hypnotic,28
441,Playful,28
442,loneliness after dusk,28
443,the singles,28
444,romantic tension,28
445,british rock,28
446,spotify,28
447,3,28
448,eighties,28
449,gh 3,28
450,melodic metal,28
451,web-found,28
452,michael jackson,28
453,bouncy,28
454,chaser i,28
455,romance,28
456,Rolling Stones Top 500 Songs of All Time,28
457,Rainy Day,28
458,soul tag,28
459,blue,28
460,inspirational,28
461,Great Lyricists,28
462,deutsch,28
463,fhEasy,27
464,albums I own,27
465,number one hits,27
466,best songs of the 80s,27
467,gdchills90s,27
468,latin pop,27
469,de todo mio favoritos,27
470,mild rhythmic syncopation,27
471,girls,27
472,album rock,27
473,inspiring,27
474,crooners,27
475,acoustic guitar,27
476,Sleep,27
477,vocal trance,27
478,f,26
479,alt,26
480,super,26
481,cheerful,26
482,all time faves,26
483,LOVE LOVE LOVE,26
484,soul and rnb classics,26
485,depressing,26
486,pop singles,26
487,crowe,26
488,dream pop,26
489,glam,26
490,violin,26
491,germany,26
492,road trip,25
493,duets,25
494,slgdmtopalbums,25
495,breakup,25
496,uptempo,25
497,90's,25
498,Brit,25
499,Emotional Adult Rock,25
500,1995,25
501,top,25
502,Perfection,25
503,2000,25
504,Miscellaneous,25
505,Voice,25
506,ost,25
507,Favorite songs ever,25
508,beautiful voices,25
509,wonderful,25
510,Tag,25
511,rock ballad,25
512,clean,25
513,norwegian,25
514,good shit,25
515,sad songs,24
516,My Favourites,24
517,Vocal Music,24
518,ok,24
519,slordig,24
520,weallgetold,24
521,60s Gold,24
522,childhood,24
523,I love this song,24
524,brain2brain,24
525,Noah Eatons All-Time Favorite Songs,24
526,bass,24
527,Pop Music,24
528,good beat,24
529,sunny,24
530,Electroclash,24
531,best songs of the 70s,24
532,leapsandbounds favorite songs,24
533,mixed acoustic and electric instrumentation,24
534,leapsandloved,24
535,roots,24
536,Jakes Station,24
537,Workout,24
538,radioultra,24
539,Singer/Songwriter,23
540,divas,23
541,easyrock,23
542,favorite by this group,23
543,fhNotBad,23
544,doo wop,23
545,sunday,23
546,rock top,23
547,trippy,23
548,power,23
549,Fusion,23
550,electro-pop,23
551,indiepop,23
552,danceable,23
553,seattle,23
554,halloween,23
555,slow jams tag,23
556,best songs of the 60s,23
557,sleek,23
558,vv,23
559,song noir,23
560,Lo-Fi,23
561,famisa,22
562,seventies,22
563,sampled,22
564,newbest,22
565,ik ben,22
566,2002,22
567,hair metal,22
568,americain,22
569,electric rock instrumentation,22
570,emotive,22
571,Jam,22
572,i love it,22
573,best of 2008,22
574,Orgasmic,22
575,Fave,22
576,darkwave,22
577,gold,22
578,1973,22
579,West Coast swing,22
580,death metal,22
581,4 Star,22
582,pozytywne wibracje,22
583,like it,22
584,Neo Soul,22
585,freakey stylish,22
586,1996,22
587,midbest,22
588,beat,22
589,essentials,22
590,boybands,22
591,best of 2009,22
592,1979,22
593,loves it,22
594,gorgeous,22
595,fotomotor,21
596,singalong,21
597,slowjamz,21
598,40s,21
599,halftoned singles club,21
600,light,21
601,post-rock,21
602,shoegaze,21
603,italian,21
604,canada,21
605,britt,21
606,folkrock,21
607,alt country,21
608,Bossa Nova,21
609,gotanygoodmusic,21
610,Official UK Chart Number 1,21
611,4 Stars,21
612,1994,21
613,temazo,21
614,humor,21
615,Europop,21
616,2010,21
617,san francisco,21
618,weird,21
619,Heartbreaking,21
620,old,20
621,london,20
622,girl group,20
623,bubblegum,20
624,spiritual,20
625,aitchchill,20
626,my gang 09,20
627,christmas,20
628,Dancemania,20
629,singer-songwriters,20
630,crazy,20
631,One Tree Hill,20
632,singer,20
633,cheesy,20
634,songs i love,20
635,northern soul,20
636,cover song,20
637,rock and roll mia favoritos,20
638,songs that you wanna listen to over and over again,20
639,british i like,20
640,sonic rock,20
641,excellent,20
642,dakos hall of fame,20
643,affirming,20
644,1970's,20
645,2001,20
646,favoritas,20
647,cool down,20
648,european,20
649,thrash metal,20
650,cheese,19
651,temazo de tres pares de cojones,19
652,1978,19
653,heartache,19
654,it is party time,19
655,one hit wonder,19
656,BeatbabeBop selection,19
657,r n b,19
658,dub,19
659,death,19
660,texas,19
661,131,19
662,favourite artists,19
663,modern country,19
664,great voice,19
665,Big Band,19
666,acoustic rhythm guitars,19
667,50's,19
668,horns,19
669,lol,19
670,voce maschile,19
671,dance dance dance,19
672,intelligent,19
673,Pop-punk,19
674,1966,19
675,ls,19
676,Another reason to live and love,19
677,Old School Slow Jams,19
678,Tyler Adam,19
679,maschi,19
680,Voci maschili,19
681,over 5 minutes long,19
682,women,19
683,a long red glare,19
684,france,19
685,symphonic,19
686,rayharel,19
687,maschio,19
688,silly,19
689,british invasion,19
690,beautiful voice,19
691,UK Gold,19
692,lush,19
693,electric guitar riffs,19
694,Post punk,19
695,hippie,19
696,Symphonic Rock,19
697,sound storm,18
698,Awesome Guitar Jam,18
699,3-star,18
700,aitchsonic,18
701,New Soul - Hip Hop - Rap,18
702,bestone,18
703,loved tracks ocam,18
704,wistful,18
705,collection,18
706,optimistic,18
707,poetry,18
708,all of my songs,18
709,Hope,18
710,catchy as hell,18
711,sunowo,18
712,underrated,18
713,1969,18
714,1997,18
715,duet,18
716,Classical,18
717,Stoner Rock,18
718,Disney,18
719,good songs,18
720,Leo Lastimosa,18
721,at ease,18
722,my life,18
723,misc,18
724,latino,18
725,heart,18
726,infectious,18
727,comedy,18
728,gjamr,18
729,eddie,18
730,legal drug,18
731,mainstream,18
732,dancehall,18
733,cover version,18
734,allboutguitar,18
735,club-dance,18
736,party music,18
737,goth rock,18
738,fon,18
739,supercla,17
740,top rock songs,17
741,fresh,17
742,beats,17
743,us number one,17
744,rain,17
745,laptop,17
746,trumpet,17
747,prog,17
748,My Country,17
749,roots reggae,17
750,lovesong,17
751,Glam Metal,17
752,rock ballads,17
753,alterindie,17
754,3 star,17
755,britannique,17
756,Beach,17
757,jazz vocalist tag,17
758,metro downtempo,17
759,wymmyn,17
760,Standards,17
761,70s Blockbusters,17
762,You and Me,17
763,basic rock song structures,17
764,special,17
765,Sweden,17
766,stonesoup,17
767,-favorites-,17
768,songs that make me cry,17
769,sunday morning,17
770,Espanol,17
771,badass,17
772,hits,17
773,DJPMan-loved-tracks,17
774,myfavo,17
775,q3,17
776,jacksons,17
777,bestallof,17
778,I Like It,17
779,hupin,17
780,MOONH8SUN,17
781,Reflective,17
782,1992,17
783,Sousaphonic AOTM 201102,17
784,finnish,17
785,grew up on,17
786,Sommer,17
787,dance party,17
788,-fenol,17
789,king of pop,17
790,black music,17
791,1986,17
792,Feel Good Music,17
793,5 Star,17
794,new rave,17
795,-3,17
796,Jazz Vocal Tag,17
797,1998,17
798,2,17
799,acordes geniales,17
800,I could listen to this song forever,17
801,leapsandbounds CDCollection,17
802,repeat,17
803,awesomeness,17
804,Guitar Gods,17
805,Progressive House,17
806,progressive trance,17
807,Guitar Hero,17
808,deep,17
809,lyricism,17
810,aggressive,17
811,Drum and bass,17
812,tv,16
813,a clear focus on recording studio production,16
814,angst,16
815,1968,16
816,sing,16
817,gentle,16
818,dj,16
819,music to fall asleep to,16
820,twee,16
821,Alternative PopRock,16
822,crossover,16
823,mood,16
824,religious,16
825,magical,16
826,breakbeat,16
827,cold case,16
828,eclectonia,16
829,girl band,16
830,on repeat,16
831,tangy,16
832,1971,16
833,Coldplay,16
834,greys anatomy,16
835,francais,16
836,real,16
837,pop dance,16
838,Remember,16
839,girly,16
840,kuschelrock,16
841,lacrimaindarkness,16
842,dancing,16
843,Power ballad,16
844,5 Stars,16
845,girlish,16
846,special to me songs,16
847,Remakes,16
848,rocknroll,16
849,music for H,16
850,60s pop,16
851,fhRockin,16
852,Allgemein,16
853,smile,16
854,bluesy,16
855,ladies,16
856,Pop/Rock,16
857,songs that i will still be listening to in a billion years,16
858,Passionate,16
859,Fantasterific,16
860,natillita,16
861,anthem,16
862,1993,16
863,worship,16
864,hott,16
865,Cynical,16
866,Girl Groups,15
867,azxcv-zagraniczne,15
868,electro rock,15
