,Tag,Frequency
0,pop,788
1,rock,553
2,alternative,416
3,Love,408
4,favorites,385
5,dance,382
6,singer-songwriter,365
7,00s,347
8,beautiful,327
9,indie,320
10,electronic,313
11,Mellow,299
12,soul,279
13,chillout,276
14,sexy,275
15,chill,229
16,90s,225
17,jazz,219
18,folk,218
19,american,212
20,rnb,201
21,easy listening,189
22,british,186
23,cool,185
24,electronica,184
25,Favourites,179
26,Awesome,178
27,Favorite,177
28,alternative rock,164
29,party,160
30,oldies,158
31,sad,158
32,acoustic,148
33,catchy,146
34,80s,145
35,favourite,144
36,fun,139
37,romantic,137
38,melancholy,137
39,loved,136
40,indie pop,128
41,downtempo,128
42,happy,127
43,relax,127
44,vocal,124
45,pop rock,123
46,indie rock,121
47,lounge,120
48,ambient,120
49,blues,116
50,love songs,114
51,favorite songs,113
52,amazing,113
53,Ballad,113
54,electro,110
55,classic,107
56,melancholic,106
57,relaxing,104
58,country,103
59,Soundtrack,100
60,sweet,99
61,smooth,99
62,House,99
63,trip-hop,99
64,lovely,98
65,summer,98
66,funk,96
67,seen live,96
68,upbeat,95
69,piano,94
70,experimental,91
71,soft,91
72,2000s,89
73,slow,89
74,cover,89
75,60s,88
76,classic rock,88
77,Dreamy,88
78,Love it,88
79,love at first listen,87
80,Hip-Hop,87
81,metal,86
82,Disco,84
83,punk,84
84,rhythm and blues,84
85,70s,83
86,english,82
87,UK,82
88,USA,82
89,Favourite Songs,80
90,nice,77
91,atmospheric,77
92,r&b,76
93,funky,75
94,club,74
95,world,72
96,vocal jazz,71
97,trance,70
98,electropop,70
99,memories,69
100,cute,68
101,good,68
102,RB,68
103,guitar,67
104,drjazzmrfunkmusic,65
105,dark,65
106,calm,64
107,covers,63
108,sensual,63
109,best,62
110,techno,62
111,diva,61
112,favorite by this singer,61
113,urban,60
114,new wave,60
115,fav,60
116,ethereal,60
117,synthpop,59
118,french,59
119,epic,58
120,heard on Pandora,58
121,Gothic,58
122,latin,57
123,Canadian,57
124,love song,57
125,hot,56
126,german,56
127,Smooth Jazz,56
128,top 40,56
129,soft rock,56
130,Guilty Pleasures,54
131,nostalgia,53
132,r and b,53
133,Neo-Soul,53
134,chill out,53
135,britpop,52
136,hip hop,52
137,swedish,52
138,easy,51
139,Energetic,51
140,guilty pleasure,51
141,jazzy,51
142,jazz vocal,50
143,great,50
144,brilliant,50
145,groovy,49
146,psychedelic,48
147,2009,48
148,<3,47
149,hard rock,47
150,2007,47
151,Retro,46
152,soulful,46
153,singer songwriter,45
154,sex,44
155,feel good,44
156,eurodance,43
157,folk rock,43
158,Bittersweet,43
159,heartbreak,43
160,songs I absolutely love,43
161,emotional,42
162,vocal trance,42
163,haunting,42
164,Good Stuff,42
165,Gothic Metal,42
166,pretty,41
167,Driving,41
168,post-punk,41
169,FUCKING AWESOME,41
170,instrumental,41
171,new age,40
172,great lyrics,40
173,groove,40
174,girl power,40
175,trip hop,39
176,dance-pop,39
177,new,39
178,Electroclash,39
179,celtic,39
180,rock n roll,38
181,Gothic Rock,38
182,i am a party girl here is my soundtrack,38
183,2008,38
184,My Favorites,37
185,Pop-Rock,37
186,slow jams,37
187,spanish,37
188,Foxy Lady,37
189,melodic,36
190,acid jazz,36
191,remix,36
192,50s,36
193,rap,36
194,musicspirit,35
195,divas,35
196,vocalization,34
197,ballads,34
198,Uplifting,34
199,live,34
200,1990s,33
201,Sentimental,33
202,scandinavian,33
203,perfect,33
204,77davez-all-tracks,33
205,women,33
206,motown,32
207,irish,32
208,Faves,32
209,dance pop,32
210,My pop music,32
211,night,32
212,brazilian,31
213,loneliness after dusk,31
214,punk rock,31
215,Classical,31
216,sing along,30
217,title is a full sentence,30
218,adult contemporary,30
219,genius,30
220,powerful,30
221,the best,30
222,2006,30
223,chick rock,30
224,Neo Soul,30
225,heavy metal,30
226,great song,29
227,loved tracks,29
228,interesting,29
229,kot,29
230,quirky,29
231,girls,29
232,feelgood,29
233,soothing,29
234,Favorite Artists,29
235,goth,29
236,symphonic metal,29
237,indietronica,29
238,vocals,29
239,friendsofthekingofrummelpop,29
240,swing,28
241,attitude,28
242,80's,28
243,teen pop,28
244,synth pop,28
245,french pop,28
246,Voice,28
247,folk-rock,28
248,my favorite,28
249,Alternative  Punk,28
250,old school,27
251,rex ferric faves,27
252,Old School soul,27
253,Progressive rock,27
254,reggae,27
255,out of our heads,27
256,UK top 40,27
257,nostalgic,27
258,poprock,27
259,Like,27
260,World Music,27
261,close harmony,26
262,1,26
263,moody,26
264,favs,26
265,chanson francaise,26
266,americana,26
267,indie folk,25
268,funny,25
269,deutsch,25
270,quiet,25
271,synth,25
272,alternative pop,25
273,girl group,25
274,Electro Pop,25
275,top artists,24
276,progressive trance,24
277,intense,24
278,tantotempotaste,24
279,Sleep,24
280,Alt-country,24
281,Scottish,24
282,1980s,24
283,singer,24
284,blues rock,24
285,5,24
286,all the best,24
287,work,24
288,nu jazz,24
289,france,24
290,Masterpiece,23
291,legend,23
292,2001,23
293,soul tag,23
294,lush,23
295,norwegian,23
296,Power metal,23
297,Girl Groups,23
298,francais,23
299,gute laune,23
300,lacrimaindarkness,23
301,affirming,22
302,emo,22
303,beautiful voice,22
304,beautiful voices,22
305,top,22
306,energy,22
307,Pop Life,22
308,chilled,22
309,Sweden,22
310,-favorites-,22
311,Progressive,22
312,morning,22
313,pozytywne wibracje,22
314,industrial,22
315,Progressive metal,22
316,strings,22
317,Sommer,21
318,classics,21
319,sleek,21
320,Lo-Fi,21
