,Tag,Frequency
0,rock,1263
1,pop,1235
2,favorites,835
3,alternative,818
4,Love,774
5,singer-songwriter,621
6,beautiful,607
7,indie,594
8,00s,580
9,Mellow,536
10,american,536
11,Awesome,480
12,dance,468
13,alternative rock,456
14,oldies,439
15,classic rock,425
16,chill,418
17,Favorite,404
18,soul,398
19,chillout,391
20,Favourites,389
21,british,379
22,sexy,373
23,90s,363
24,electronic,349
25,cool,348
26,easy listening,344
27,folk,333
28,acoustic,326
29,80s,318
30,sad,317
31,favourite,312
32,catchy,307
33,indie rock,302
34,favorite songs,290
35,guitar,288
36,70s,284
37,loved,283
38,rnb,282
39,classic,279
40,melancholy,270
41,jazz,266
42,party,263
43,fun,260
44,happy,253
45,pop rock,248
46,blues,244
47,romantic,243
48,amazing,240
49,Ballad,236
50,60s,230
51,hard rock,227
52,electronica,214
53,love songs,212
54,Soundtrack,211
55,melancholic,209
56,seen live,207
57,upbeat,205
58,relax,198
59,indie pop,197
60,punk,193
61,memories,193
62,soft rock,192
63,Favourite Songs,191
64,piano,187
65,country,187
66,metal,184
67,summer,181
68,Love it,179
69,USA,176
70,UK,176
71,english,169
72,vocal,168
73,love at first listen,168
74,relaxing,167
75,smooth,167
76,slow,165
77,funk,162
78,good,160
79,lovely,159
80,sweet,152
81,2000s,149
82,experimental,148
83,soft,148
84,rhythm and blues,148
85,Hip-Hop,147
86,nice,145
87,great,145
88,downtempo,143
89,epic,141
90,britpop,138
91,cover,136
92,new wave,135
93,lounge,135
94,ambient,133
95,best,132
96,nostalgia,131
97,r&b,129
98,rock n roll,124
99,funky,124
100,psychedelic,124
101,dark,124
102,emo,123
103,love song,122
104,electro,121
105,Energetic,119
106,RB,119
107,Progressive rock,118
108,live,118
109,great song,117
110,Dreamy,116
111,punk rock,112
112,fav,112
113,Disco,111
114,easy,111
115,blues rock,110
116,FUCKING AWESOME,108
117,Driving,107
118,Good Stuff,107
119,heard on Pandora,106
120,post-punk,105
121,heavy metal,103
122,Alternative  Punk,102
123,hip hop,101
124,top 40,101
125,folk rock,100
126,emotional,99
127,atmospheric,98
128,calm,98
129,great lyrics,97
130,2007,96
131,50s,94
132,brilliant,93
133,r and b,93
134,feel good,93
135,House,92
136,covers,92
137,cute,91
138,synthpop,90
139,77davez-all-tracks,90
140,<3,89
141,trip-hop,89
142,singer songwriter,88
143,urban,87
144,my favorite,85
145,poprock,83
146,adult contemporary,81
147,electropop,81
148,all the best,81
149,guilty pleasure,80
150,Uplifting,79
151,melodic,79
152,Guilty Pleasures,79
153,sensual,78
154,groovy,78
155,Rock and Roll,78
156,Pop-Rock,78
157,genius,78
158,ballads,77
159,songs I absolutely love,77
160,Retro,76
161,close harmony,76
162,vocal jazz,76
163,perfect,75
164,Favorite Artists,75
165,alt rock,75
166,chill out,74
167,americana,74
168,My pop music,74
169,sex,73
170,folk-rock,72
171,drjazzmrfunkmusic,72
172,Canadian,72
173,nostalgic,72
174,Gothic,72
175,Grunge,72
176,new,71
177,club,71
178,the best,71
179,classic country,69
180,slow jams,69
181,world,69
182,soulful,69
183,rap,69
184,instrumental,69
185,hot,67
186,1980s,67
187,80's,67
188,Faves,67
189,1970s,66
190,haunting,66
191,My Favorites,66
192,2008,66
193,Radiotsar approved,66
194,jazzy,66
195,Smooth Jazz,65
196,old school,65
197,latin,65
198,vocals,65
199,german,65
200,reggae,64
201,Neo-Soul,64
202,Psychedelic Rock,63
203,legend,63
204,pretty,63
205,classics,62
206,major key tonality,62
207,feelgood,62
208,2009,62
209,motown,61
210,1990s,61
211,Bittersweet,61
212,techno,60
213,ethereal,60
214,synth pop,59
215,trance,59
216,friendsofthekingofrummelpop,59
217,sing along,58
218,swing,57
219,i am a party girl here is my soundtrack,57
220,jazz vocal,57
221,groove,57
222,french,57
223,1960s,56
224,powerful,56
225,diva,56
226,england,56
227,Progressive,56
228,quirky,55
229,best songs ever,55
230,funny,55
231,heartbreak,55
232,other,55
233,a vocal-centric aesthetic,54
234,Sentimental,54
235,heavy,54
236,favorite by this singer,54
237,acclaimed music top 3000,54
238,Old School soul,53
239,moody,52
240,favs,51
241,GH10,51
242,names,51
243,a subtle use of vocal harmony,51
244,swedish,51
245,Gothic Rock,50
246,Garage Rock,50
247,RockPop,50
248,extensive vamping,50
249,2006,50
250,Rock  Roll,49
251,Masterpiece,49
252,rockin,49
253,industrial,49
254,intense,48
255,quiet,48
256,Soundtrack Of My Life,47
257,freedom,47
258,top artists,47
259,my music,47
260,political,47
261,fH Projex,47
262,yeah,47
263,indietronica,47
264,1,46
265,aitch,46
266,pop punk,46
267,energy,46
268,spanish,46
269,Like,46
270,UK top 40,45
271,new york,45
272,glam rock,45
273,interesting,45
274,minor key tonality,45
275,lyrics,45
276,gute laune,45
277,Gothic Metal,45
278,60's,44
279,good song,43
280,mild rhythmic syncopation,43
281,classic soul,43
282,good music,43
283,rock ballad,43
284,quiet storm,43
285,modern rock,43
286,hardcore,43
287,alternative metal,43
288,strings,43
289,2005,42
290,synth,42
291,angry,42
292,makes me happy,41
293,All time favourites,41
294,NYC,41
295,Alt-country,41
296,indie folk,41
297,sixties,41
298,Brems Tagg radio,40
299,soul tag,40
300,irish,40
301,art rock,40
302,soothing,40
303,night,40
304,british rock,39
305,High School,39
306,title is a full sentence,39
307,san francisco,39
308,scandinavian,39
309,trip hop,39
310,Lo-Fi,39
311,malloy2000 playlist - top songs - classical to metal,39
312,golden oldies,39
313,dance pop,39
314,Neo Soul,39
315,dance-pop,39
316,Pop Life,38
317,I like,38
318,4,38
319,Jills Station,38
320,Sleep,38
321,work,38
322,power pop,38
323,5,38
324,symphonic metal,37
325,rockabilly,37
326,California,37
327,slgdmbestof,37
328,new age,37
329,Progressive metal,37
330,personal favourites,37
331,girl power,37
332,gh 3,36
333,2giveme5,36
334,acid jazz,36
335,vocalization,36
336,deutsch,36
337,piano rock,36
338,Rolling Stone 500 Greatest Songs of All Time,36
339,goth,36
340,addictive,35
341,album rock,35
342,rex ferric faves,35
343,Electroclash,35
344,music,35
345,Classical,35
346,positive,34
347,LOVE LOVE LOVE,34
348,60s Gold,34
349,chilled,34
350,teen pop,34
351,loved tracks,34
352,Favorite Bands,34
353,out of our heads,34
354,70's,34
355,blues-rock,34
356,popular,33
357,latin pop,33
358,Adult Alternative,33
359,ska,33
