,Tag,Frequency
0,pop,792
1,rock,576
2,alternative,456
3,indie,418
4,favorites,401
5,Love,400
6,singer-songwriter,387
7,00s,352
8,dance,345
9,electronic,342
10,beautiful,331
11,chillout,304
12,soul,283
13,Mellow,279
14,sexy,260
15,folk,230
16,chill,229
17,american,215
18,90s,212
19,british,201
20,Awesome,201
21,jazz,200
22,electronica,198
23,Favorite,189
24,rnb,188
25,alternative rock,186
26,cool,183
27,easy listening,176
28,acoustic,164
29,Favourites,162
30,catchy,158
31,fun,152
32,indie rock,152
33,indie pop,151
34,sad,149
35,relax,134
36,party,132
37,melancholy,132
38,ambient,131
39,favourite,129
40,seen live,125
41,happy,125
42,80s,122
43,pop rock,122
44,favorite songs,122
45,Ballad,121
46,oldies,121
47,country,117
48,downtempo,115
49,relaxing,113
50,vocal,113
51,amazing,111
52,sweet,111
53,romantic,109
54,lounge,109
55,melancholic,109
56,2000s,106
57,piano,106
58,soft,101
59,electro,101
60,trip-hop,99
61,smooth,96
62,punk,96
63,loved,95
64,blues,95
65,love at first listen,94
66,Soundtrack,92
67,cover,91
68,experimental,90
69,love songs,90
70,Love it,89
71,slow,89
72,classic rock,88
73,nice,87
74,upbeat,84
75,60s,83
76,lovely,83
77,summer,83
78,70s,82
79,english,82
80,Hip-Hop,82
81,USA,81
82,House,81
83,classic,80
84,metal,80
85,guitar,78
86,dark,77
87,Disco,77
88,UK,77
89,good,77
90,Dreamy,77
91,2008,73
92,r&b,73
93,memories,71
94,Favourite Songs,71
95,funk,70
96,cute,70
97,world,70
98,sensual,68
99,atmospheric,68
100,RB,66
101,funky,66
102,soft rock,64
103,rhythm and blues,64
104,guilty pleasure,63
105,electropop,63
106,trance,61
107,synthpop,60
108,vocal jazz,59
109,feel good,58
110,top 40,58
111,Guilty Pleasures,58
112,hip hop,57
113,french,57
114,girl power,57
115,Canadian,57
116,covers,57
117,2009,56
118,fav,55
119,Good Stuff,55
120,love song,55
121,Energetic,55
122,jazzy,54
123,britpop,54
124,drjazzmrfunkmusic,54
125,Gothic,53
126,calm,53
127,instrumental,52
128,nostalgia,52
129,urban,52
130,epic,52
131,latin,52
132,punk rock,51
133,haunting,51
134,songs I absolutely love,50
135,r and b,50
136,new wave,50
137,club,50
138,folk rock,50
139,great,49
140,trip hop,49
141,2007,48
142,ethereal,48
143,great lyrics,47
144,hot,47
145,german,47
146,sex,47
147,favorite by this singer,46
148,swedish,46
149,groovy,46
150,ballads,46
151,techno,45
152,Gothic Metal,45
153,Smooth Jazz,45
154,easy,45
155,best,45
156,emotional,44
157,hard rock,44
158,live,43
159,jazz vocal,43
160,new,43
161,post-punk,43
162,adult contemporary,42
163,groove,42
164,emo,42
165,diva,41
166,<3,41
167,pretty,41
168,singer songwriter,40
169,Bittersweet,39
170,heavy metal,39
171,out of our heads,39
172,night,39
173,indietronica,39
174,psychedelic,38
175,friendsofthekingofrummelpop,37
176,alternative pop,37
177,Pop-Rock,37
178,new age,37
179,heard on Pandora,37
180,chick rock,36
181,Neo-Soul,36
182,Favorite Artists,36
183,girls,36
184,My Favorites,36
185,sing along,36
186,vocal trance,36
187,americana,35
188,i am a party girl here is my soundtrack,35
189,Uplifting,35
190,chill out,35
191,melodic,35
192,Driving,35
193,indie folk,35
194,vocals,34
195,Scottish,34
196,FUCKING AWESOME,34
197,77davez-all-tracks,34
198,Retro,34
199,all the best,33
200,soulful,33
201,Alternative  Punk,33
202,UK top 40,33
203,Faves,33
204,1990s,33
205,eurodance,33
206,scandinavian,33
207,dream pop,32
208,feelgood,32
209,spanish,32
210,acid jazz,32
211,motown,32
212,alt rock,32
213,musicspirit,31
214,loneliness after dusk,31
215,vocalization,31
216,heartbreak,30
217,rap,30
218,title is a full sentence,30
219,my favorite,29
220,brilliant,29
221,2005,29
222,dance-pop,29
223,perfect,29
224,post-rock,29
225,reggae,29
226,irish,29
227,interesting,29
228,dance pop,28
229,singer,28
230,folk-rock,28
231,symphonic metal,28
232,top artists,28
233,moody,28
234,Alt-country,28
235,the best,27
236,Grunge,27
237,celtic,27
238,energy,27
239,attitude,27
240,slow jams,27
241,teen pop,27
242,great song,27
243,I like,27
244,gute laune,26
245,top,26
246,new york,26
247,synth,26
248,powerful,26
249,darkwave,26
250,tantotempotaste,26
251,2006,25
252,girl group,25
253,My pop music,25
254,other,25
255,nu jazz,25
256,addictive,25
257,remix,25
258,riot grrrl,25
259,melodic metal,25
260,my music,25
261,quiet,25
262,brazilian,25
263,swing,25
264,50s,24
265,miianens playlist,24
266,blues rock,24
267,Bossa Nova,24
268,rock n roll,24
269,intense,24
270,australian,24
271,funny,24
272,soul tag,24
273,loved tracks,24
274,Foxy Lady,23
275,nostalgic,23
276,Electroclash,23
277,annymix,23
278,check out,23
279,Voice,23
280,electro-pop,23
281,Gothic Rock,23
282,classic soul,23
283,synth pop,23
284,Lo-Fi,23
285,progressive trance,23
286,poprock,22
287,divas,22
288,names,22
289,brasil,22
290,angry,22
291,quirky,22
292,RockPop,22
293,christian,22
294,goth,22
295,old school,22
296,close harmony,22
297,norwegian,22
298,deutsch,22
299,french pop,22
300,best songs of the 00s,21
301,canada,21
302,IIIIIIIIII AMAZING TRACK :D IIIIIIIIII,21
303,morning,21
304,industrial,21
305,Neo Soul,21
306,World Music,21
307,Girl Groups,21
308,good song,21
309,yeah,21
310,-favorites-,21
311,Progressive,21
312,sleek,21
313,handclaps,21
314,80's,21
315,Sleep,21
316,Progressive rock,21
317,2004,20
318,duet,20
319,favs,20
320,women,20
321,f singer-songwriter,20
322,Power metal,20
323,light,20
324,1980s,20
325,kot,20
326,winter,20
327,metro downtempo,20
328,shoegaze,20
329,rex ferric faves,20
330,lovesongs,20
331,Sentimental,20
332,ska,20
333,italian,19
334,favorite by this group,19
335,twee,19
336,Dream,19
337,power pop,19
338,romantic tension,19
339,chilled,19
340,trippy,19
341,Perfection,19
342,Garage Rock,19
343,4,19
344,best songs ever,19
345,Adult Alternative,19
346,girly,18
347,quiet storm,18
348,Electro Pop,18
349,Pop Music,18
350,Nu Metal,18
351,Like,18
352,late night,18
353,life,18
354,dramatic,18
355,wow,18
356,singer-songwriters,18
357,genius,18
358,alt country,18
359,soothing,18
360,5,18
361,Melodic Death Metal,18
362,england,18
363,acoustic guitar,18
364,NYC,18
365,Girl,18
366,blue,18
367,Masterpiece,18
368,duets,17
369,pozytywne wibracje,17
370,me,17
371,hypnotic,17
372,death metal,17
373,download,17
374,Classical,17
375,best of 2008,17
376,girl band,17
377,2002,17
378,i feel good,17
379,Sweden,17
380,great voice,17
381,breakbeat,17
382,Fusion,17
383,Dancemania,17
384,peaceful,17
385,linedance,17
386,lyrics,17
387,Old School soul,17
388,loves it,17
389,best of 2009,17
390,romance,17
391,glam,17
392,leapsandloved,17
393,favouritestreamable,17
394,cool down,17
395,beautiful voice,17
396,Verbotene Liebe,16
397,real,16
398,rhythum and blues tag,16
399,political,16
400,brazil,16
401,hardcore,16
402,like it,16
403,music,16
404,france,16
405,positive,16
406,good mood,16
407,LOVE LOVE LOVE,16
408,inspiring,16
409,usa mainstream top 40 number one hit,16
410,wistful,16
411,3,16
412,catchy as hell,16
413,vocal house,16
414,Mellow Babes,16
415,pop punk,16
416,r'n'b,16
417,1,16
418,affirming,16
419,fon,16
420,garage,16
421,good music,16
422,blingtacular,15
423,northern soul,15
424,acclaimed music top 3000,15
425,dancing,15
426,1996,15
427,1999,15
428,alternative metal,15
429,ok,15
430,I Like It,15
431,gotanygoodmusic,15
432,warm,15
433,New Soul - Hip Hop - Rap,15
434,work,15
435,Favorite songs ever,15
436,hypermusic,15
437,malloy2000 playlist - top songs - classical to metal,15
438,minimal,15
439,soul and rnb classics,15
440,collection,15
441,super,15
442,Soundtrack Of My Life,15
443,Girl Rock,15
444,Psychedelic Rock,15
445,modern country,15
446,fast,15
447,all time favorites,15
448,depressing,15
449,-chill-trip-lounge-down-,15
450,idm,15
451,fH Projex,15
452,influential,15
453,streamable track wants,15
454,damned good,15
455,billboard number ones,15
456,weird,15
457,brit pop,15
458,gjamr,15
459,inspirational,15
460,animals,15
461,art rock,15
462,Progressive House,15
463,California,15
464,Jills Station,15
465,major key tonality,14
466,bouncy,14
467,cover songs,14
468,pop dance,14
469,pop singles,14
470,piano rock,14
471,rain,14
472,songwriter,14
473,underrated,14
474,lacrimaindarkness,14
475,Progressive metal,14
476,1970s,14
477,I love this song,14
478,intelligent,14
479,latin pop,14
480,woman,14
481,1995,14
482,2giveme5,14
483,chanson francaise,14
484,classic country,14
485,flirty,14
486,classics,14
487,special to me songs,14
488,beautiful voices,14
489,deep house,14
490,femme,14
491,Great Lyricists,14
492,ElectronicaDance,14
493,2003,14
494,makes me cry,14
495,Makes Me Smile,14
496,lush,14
497,yay and hooray and yippee and huzzah,14
498,Dark metal,14
499,amazing voice,14
500,GH10,13
501,breakup,13
502,hits,13
503,country pop,13
504,1997,13
505,fmera fave,13
506,synth-pop,13
507,crowe,13
508,My favourite,13
509,bass,13
510,christian rock,13
511,dub,13
512,slordig,13
513,most loved,13
514,Soundtracks,13
515,personal favourites,13
516,popular,13
517,Smooth Soul,13
518,on repeat,13
519,indiepop,13
520,favourite tracks,13
521,tangy,13
522,High School,13
523,Miscellaneous,13
524,jazz piano,13
525,black metal,13
526,freak folk,13
527,Romantica,13
528,All time favorite,13
529,coy,13
530,20th Century,13
531,usa hot dance club play number one hit,13
532,performed on top of the pops,13
533,music for H,13
534,5 Star,13
535,2010,13
536,legend,13
537,Sommer,13
538,Chicks that Rock,13
539,Lollipop,13
540,audioase,13
541,lyricism,13
542,makes me happy,13
543,finnish,13
544,mpb,13
545,polish,13
546,ls,12
547,mood music,12
548,laptop,12
549,in love,12
550,danceable,12
551,metalcore,12
552,Nu-Bluz Funky Grooves in the E-Lounge,12
553,metallis,12
554,transym,12
555,noise,12
556,liebe,12
557,Hope,12
558,ik ben,12
559,Pop Life,12
560,1960s,12
561,sultry,12
562,brain2brain,12
563,Cocktails at Sunset,12
564,stonesoup,12
565,a vocal-centric aesthetic,12
566,all of my songs,12
567,post rock,12
568,sad songs,12
569,Ion B radio,12
570,relaxed,12
571,3 stars,12
572,beauty,12
573,my soundtrack,12
574,my gang 09,12
575,mid,12
576,downbeat,12
577,francais,12
578,emotive,12
579,Workout,12
580,contemporary rnb,12
581,beat,12
582,infectious,12
583,Pop/Rock,12
584,big voice,12
585,european,12
586,germany,12
587,heart,12
588,Rainy Day,12
589,geil,12
590,Heartbreaking,12
591,Europop,12
592,violin,12
593,gospel,12
594,chanson,12
595,extensive vamping,11
596,strings,11
597,moving,11
598,cheesy,11
599,hiphop,11
600,indie-pop,11
601,web-found,11
602,4 Stars,11
603,cover song,11
604,autumn,11
605,cheerful,11
606,rockin,11
607,krycucha,11
608,grus,11
609,critically acclaimed song,11
610,spiritual,11
611,nu-jazz,11
612,girlish,11
613,4 Star,11
614,spiked-candy radio,11
615,crazy,11
616,wake up,11
617,Rihanna,11
618,xenomania,11
619,glam rock,11
620,optimistic,11
621,r n b,11
622,Standards,11
623,power,11
624,relationships,11
625,australia,11
626,She Is Exuberant,11
627,america,11
628,You and Me,11
629,favorite song,11
630,blues-rock,11
631,ruhig,11
632,lizvelrene2009,11
633,Best of,11
634,nu soul,11
635,spring,11
636,down tempo,11
637,christmas,11
638,2000,11
639,black music,11
640,a,11
641,dancehall,11
642,unique,11
643,ladies,11
644,club-dance,11
645,minor key tonality,11
646,Post punk,11
647,freedom,11
648,1993,11
649,90s pop,11
650,clean,11
651,deep,11
652,kick ass,11
653,best song ever,11
654,witty,11
655,Black,11
656,wonderful,11
657,san francisco,11
658,1991,11
659,heard on last-fm,11
660,sadness,11
661,Calming,11
662,japanese,11
663,adult alternative pop rock,11
664,celtic woman,11
665,midbest,11
666,a subtle use of vocal harmony,10
667,acoustic rhythm piano,10
668,uk number one,10
669,Power ballad,10
670,us number one,10
671,it is party time,10
672,dj,10
673,cooper was here,10
674,halftoned singles club,10
675,london,10
676,a long red glare,10
677,Radio,10
678,sleepy,10
679,triphop,10
680,power voice,10
681,luv it,10
682,bluegrass,10
683,4ad,10
684,Brems Tagg radio,10
685,all time faves,10
686,My Favourites,10
687,Playful,10
688,mood,10
689,cheese,10
690,eighties,10
691,alternative pop rock,10
692,greys anatomy,10
693,xynod,10
694,amayzes loved,10
695,us,10
696,fotomotor,10
697,Mariah Carey,10
698,alterindie,10
699,10s,10
700,gilbert,10
701,Alternate Rock,10
702,golden oldies,10
703,music for me,10
704,nu-bluz,10
705,solx,10
706,Disney,10
707,sample,10
708,playlista rmf fm,10
709,jecks,10
710,Brandy,10
711,1990,10
712,muka muka,10
713,old favorites,10
714,Blue-Eyed Soul,10
715,best of 2006,10
716,Fantasterific,10
717,pm stuff,10
718,scotland,10
719,voci femminili,10
720,Avant-Garde,10
721,Jazz Vocal Tag,10
722,singersongwriter,10
723,maz35rated4,10
724,Erotic,10
725,essentials,10
726,quarkzangsun v1,10
727,aggressive,10
728,Tag,10
729,lawism,10
730,aitch,10
731,leapsandbounds favorite songs,10
732,under two minutes,10
733,Silkred-LovedAll,10
734,2,10
735,312472,10
736,number one hits,9
737,ladies of country,9
738,usa hot 100 number one hit,9
739,the singles,9
740,gossip girl,9
741,good beat,9
742,Aussie,9
743,Grey's Anatomy,9
744,britannique,9
745,fresh,9
746,Empowering,9
747,Radiotsar approved,9
748,Norway,9
749,The British are coming,9
750,gold,9
751,Remember,9
752,sexual,9
753,Summery,9
754,teenpop,9
755,high,9
756,All time favourite,9
757,proto-punk,9
758,electronic-lounge,9
