,Tag,Frequency
0,rock,1177
1,pop,1134
2,alternative,770
3,favorites,769
4,Love,697
5,indie,614
6,00s,560
7,singer-songwriter,558
8,beautiful,538
9,american,492
10,Mellow,474
11,alternative rock,430
12,Awesome,426
13,dance,415
14,chillout,390
15,Favorite,379
16,oldies,376
17,soul,366
18,chill,365
19,electronic,360
20,Favourites,359
21,classic rock,351
22,british,346
23,cool,338
24,90s,327
25,indie rock,315
26,folk,312
27,easy listening,309
28,sexy,306
29,catchy,295
30,acoustic,290
31,favourite,278
32,fun,277
33,80s,276
34,pop rock,271
35,sad,264
36,party,259
37,favorite songs,258
38,melancholy,254
39,rnb,249
40,guitar,242
41,jazz,238
42,happy,235
43,70s,231
44,classic,230
45,electronica,227
46,blues,219
47,seen live,216
48,indie pop,210
49,country,209
50,amazing,206
51,Ballad,205
52,romantic,204
53,loved,203
54,2000s,199
55,hard rock,199
56,relax,196
57,upbeat,195
58,60s,193
59,melancholic,186
60,punk,184
61,USA,183
62,love songs,179
63,Favourite Songs,178
64,Soundtrack,177
65,piano,177
66,soft rock,176
67,relaxing,176
68,summer,161
69,vocal,160
70,Love it,160
71,sweet,159
72,memories,156
73,soft,154
74,metal,151
75,love at first listen,149
76,good,149
77,smooth,148
78,nice,143
79,UK,143
80,slow,139
81,Hip-Hop,136
82,english,135
83,great,135
84,britpop,134
85,ambient,130
86,epic,130
87,lovely,127
88,Energetic,126
89,funk,123
90,downtempo,123
91,experimental,122
92,electro,122
93,rhythm and blues,122
94,r&b,121
95,cover,121
96,funky,120
97,live,118
98,lounge,117
99,Good Stuff,117
100,dark,117
101,emo,115
102,feel good,115
103,new wave,113
104,best,111
105,great song,111
106,rock n roll,110
107,punk rock,110
108,nostalgia,109
109,Disco,108
110,top 40,108
111,Dreamy,106
112,hip hop,105
113,great lyrics,101
114,love song,100
115,folk rock,99
116,fav,99
117,Progressive rock,97
118,guilty pleasure,97
119,2008,96
120,cute,95
121,emotional,94
122,RB,94
123,all the best,94
124,FUCKING AWESOME,94
125,Guilty Pleasures,93
126,easy,90
127,2007,89
128,Driving,88
129,heavy metal,88
130,singer songwriter,88
131,synthpop,87
132,atmospheric,86
133,post-punk,86
134,heard on Pandora,86
135,blues rock,85
136,haunting,84
137,ballads,84
138,songs I absolutely love,84
139,covers,83
140,calm,82
141,my favorite,82
142,psychedelic,82
143,Uplifting,81
144,perfect,80
145,r and b,80
146,trip-hop,80
147,groovy,79
148,alt rock,78
149,rap,77
150,electropop,76
151,urban,76
152,Canadian,76
153,Grunge,76
154,the best,76
155,House,76
156,world,75
157,brilliant,75
158,2009,73
159,<3,72
160,Alternative  Punk,71
161,adult contemporary,70
162,50s,70
163,close harmony,69
164,77davez-all-tracks,68
165,techno,68
166,americana,68
167,Rock and Roll,67
168,Faves,67
169,Favorite Artists,66
170,Pop-Rock,66
171,reggae,66
172,vocal jazz,66
173,new,65
174,Retro,65
175,sensual,64
176,sex,64
177,vocals,64
178,feelgood,63
179,Smooth Jazz,63
180,classic country,63
181,jazzy,62
182,poprock,62
183,funny,61
184,My Favorites,61
185,energy,61
186,Gothic,61
187,1980s,60
188,melodic,60
189,My pop music,60
190,club,59
191,motown,59
192,sing along,59
193,trance,59
194,groove,59
195,hot,58
196,german,57
197,folk-rock,56
198,drjazzmrfunkmusic,56
199,title is a full sentence,56
200,genius,55
201,80's,55
202,1990s,55
203,California,53
204,top artists,53
205,latin,53
206,GH10,53
207,other,53
208,girl power,53
209,swedish,53
210,nostalgic,53
211,pop punk,53
212,UK top 40,52
213,2005,52
214,powerful,52
215,Garage Rock,52
216,major key tonality,52
217,favs,52
218,Soundtrack Of My Life,51
219,instrumental,51
220,friendsofthekingofrummelpop,51
221,Progressive,51
222,Bittersweet,51
223,i am a party girl here is my soundtrack,51
224,jazz vocal,51
225,slow jams,50
226,Sentimental,50
227,old school,50
228,rockin,50
229,best songs ever,49
230,Old School soul,49
231,australian,49
232,pretty,49
233,night,49
234,chill out,49
