,Tag,Frequency
0,rock,1182
1,pop,1148
2,alternative,805
3,favorites,742
4,Love,692
5,indie,598
6,singer-songwriter,592
7,00s,546
8,beautiful,519
9,american,473
10,Mellow,441
11,dance,440
12,Awesome,432
13,alternative rock,429
14,oldies,388
15,chillout,382
16,british,366
17,electronic,366
18,soul,363
19,classic rock,362
20,chill,343
21,Favorite,338
22,cool,335
23,90s,327
24,sexy,319
25,indie rock,314
26,Favourites,313
27,folk,304
28,catchy,301
29,easy listening,295
30,acoustic,292
31,80s,288
32,favourite,273
33,favorite songs,273
34,party,265
35,guitar,261
36,rnb,255
37,pop rock,249
38,fun,241
39,classic,238
40,70s,234
41,sad,232
42,blues,228
43,jazz,226
44,happy,226
45,60s,218
46,seen live,218
47,hard rock,217
48,amazing,215
49,romantic,214
50,electronica,212
51,melancholy,206
52,soft rock,202
53,upbeat,198
54,Ballad,194
55,loved,192
56,indie pop,188
57,2000s,186
58,Soundtrack,182
59,relax,179
60,Favourite Songs,172
61,country,171
62,Love it,169
63,melancholic,168
64,funk,165
65,love songs,163
66,punk,163
67,UK,160
68,lovely,160
69,USA,159
70,sweet,154
71,relaxing,153
72,english,153
73,soft,151
74,love at first listen,147
75,good,147
76,smooth,146
77,summer,146
78,ambient,146
79,memories,145
80,piano,145
81,britpop,143
82,vocal,142
83,funky,141
84,slow,141
85,metal,140
86,rhythm and blues,134
87,Hip-Hop,134
88,cover,130
89,experimental,127
90,downtempo,125
91,nice,125
92,epic,125
93,rock n roll,122
94,lounge,122
95,great,120
96,best,118
97,psychedelic,116
98,electro,116
99,new wave,114
100,love song,111
101,r&b,111
102,great song,111
103,Energetic,108
104,Dreamy,107
105,Progressive rock,106
106,atmospheric,105
107,dark,104
108,emo,104
109,punk rock,103
110,songs I absolutely love,101
111,fav,101
112,trip-hop,100
113,top 40,100
114,guilty pleasure,100
115,great lyrics,100
116,emotional,100
117,FUCKING AWESOME,99
118,nostalgia,98
119,synthpop,98
120,live,96
121,2008,95
122,Alternative  Punk,95
123,Disco,93
124,groovy,92
125,hip hop,92
126,Good Stuff,92
127,covers,91
128,post-punk,91
129,calm,91
130,2007,90
131,77davez-all-tracks,90
132,Driving,89
133,Pop-Rock,89
134,Uplifting,88
135,blues rock,88
136,all the best,87
137,rap,86
138,electropop,85
139,Guilty Pleasures,85
140,heavy metal,84
141,perfect,82
142,50s,81
143,RB,79
144,feel good,79
145,<3,79
146,cute,79
147,heard on Pandora,79
148,brilliant,78
149,instrumental,78
150,urban,78
151,folk rock,78
152,r and b,77
153,Rock and Roll,77
154,club,77
155,my favorite,75
156,americana,75
157,adult contemporary,74
158,world,74
159,major key tonality,73
160,House,73
161,Grunge,73
162,2009,71
163,easy,71
164,Gothic,69
165,My pop music,68
166,haunting,68
167,ballads,68
168,singer songwriter,67
169,Retro,67
170,close harmony,66
171,alt rock,66
172,the best,65
173,vocals,65
174,friendsofthekingofrummelpop,65
175,melodic,65
176,Canadian,65
177,techno,64
178,My Favorites,64
179,ethereal,63
180,Radiotsar approved,63
181,funny,63
182,80's,63
183,latin,63
184,other,62
185,trance,62
186,sensual,61
187,Psychedelic Rock,61
188,acclaimed music top 3000,59
189,motown,59
190,synth pop,59
191,1990s,59
192,feelgood,58
193,best songs ever,58
194,sex,58
195,nostalgic,57
196,german,57
197,UK top 40,57
198,1980s,57
199,sing along,57
200,intense,57
201,new,56
202,groove,55
203,All time favourites,55
204,pretty,55
205,Old School soul,55
206,favorite by this singer,54
207,Bittersweet,54
208,energy,54
209,swedish,54
210,2005,53
211,slow jams,53
212,i am a party girl here is my soundtrack,52
213,chill out,52
214,1960s,52
215,Favorite Artists,52
216,hot,52
217,drjazzmrfunkmusic,52
218,favs,51
219,old school,51
220,a subtle use of vocal harmony,51
221,french,51
222,night,51
223,classics,51
224,rockin,50
225,jazzy,50
226,powerful,50
227,Masterpiece,50
228,Faves,50
229,Brems Tagg radio,49
230,glam rock,49
231,classic country,49
232,rockabilly,49
233,trip hop,49
234,vocal jazz,48
235,Neo-Soul,48
236,Smooth Jazz,48
237,alternative metal,47
238,spanish,47
239,top artists,47
240,england,47
241,synth,46
242,Soundtrack Of My Life,46
243,lyrics,46
244,indie folk,46
245,fH Projex,45
246,australian,45
247,Garage Rock,45
248,scandinavian,45
249,soulful,44
250,classic soul,44
251,Like,44
252,angry,44
253,dream pop,43
254,pop punk,43
255,GH10,43
256,best songs of the 00s,43
257,Progressive,43
258,good music,43
259,title is a full sentence,43
260,girl power,42
261,power pop,42
262,genius,42
263,folk-rock,42
264,60's,42
265,art rock,42
266,irish,41
267,2006,41
268,1970s,41
