,Tag,Frequency
0,rock,1168
1,pop,1105
2,alternative,739
3,Love,711
4,favorites,689
5,indie,572
6,singer-songwriter,524
7,00s,493
8,beautiful,484
9,american,456
10,Mellow,427
11,dance,412
12,alternative rock,411
13,Awesome,397
14,british,376
15,Favourites,371
16,oldies,366
17,chillout,362
18,chill,354
19,classic rock,353
20,Favorite,345
21,electronic,327
22,90s,327
23,soul,326
24,acoustic,314
25,indie rock,308
26,folk,306
27,sexy,294
28,cool,294
29,catchy,289
30,easy listening,279
31,80s,276
32,guitar,272
33,favorite songs,265
34,fun,265
35,party,264
36,pop rock,264
37,favourite,258
38,rnb,244
39,sad,239
40,happy,235
41,classic,232
42,70s,231
43,jazz,225
44,melancholy,221
45,blues,209
46,electronica,208
47,indie pop,207
48,loved,205
49,amazing,204
50,Ballad,204
51,60s,200
52,Soundtrack,199
53,romantic,194
54,seen live,184
55,hard rock,184
56,USA,183
57,soft rock,180
58,relax,180
59,piano,174
60,2000s,172
61,upbeat,169
62,smooth,169
63,english,164
64,punk,164
65,UK,164
66,Love it,163
67,metal,160
68,Favourite Songs,159
69,country,158
70,summer,157
71,britpop,155
72,melancholic,154
73,good,152
74,memories,149
75,love songs,148
76,relaxing,148
77,slow,141
78,sweet,140
79,funk,139
80,epic,135
81,soft,134
82,lovely,133
83,cover,131
84,vocal,129
85,love at first listen,128
86,rhythm and blues,127
87,experimental,127
88,lounge,125
89,great,119
90,new wave,117
91,funky,117
92,nice,114
93,downtempo,112
94,punk rock,112
95,Hip-Hop,110
96,r&b,109
97,rock n roll,109
98,emo,109
99,great lyrics,108
100,nostalgia,106
101,Progressive rock,106
102,live,103
103,ambient,103
104,best,103
105,Energetic,102
106,electro,98
107,Disco,96
108,fav,94
109,folk rock,93
110,77davez-all-tracks,92
111,Guilty Pleasures,92
112,heard on Pandora,92
113,covers,92
114,FUCKING AWESOME,91
115,top 40,91
116,Dreamy,90
117,singer songwriter,89
118,feel good,87
119,psychedelic,87
120,dark,86
121,Uplifting,85
122,atmospheric,85
123,post-punk,85
124,hip hop,85
125,love song,84
126,urban,84
127,brilliant,84
128,all the best,82
129,heavy metal,82
130,Alternative  Punk,82
131,alt rock,82
132,House,81
133,perfect,79
134,songs I absolutely love,78
135,emotional,78
136,close harmony,78
137,Good Stuff,77
138,guilty pleasure,77
139,RB,77
140,synthpop,77
141,r and b,76
142,calm,76
143,blues rock,75
144,50s,75
145,Rock and Roll,75
146,2007,75
147,melodic,74
148,Driving,73
149,Retro,73
150,trip-hop,73
151,Pop-Rock,72
152,americana,71
153,Canadian,71
154,My pop music,70
155,rap,70
156,groovy,69
157,cute,67
158,new,66
159,My Favorites,66
160,the best,66
161,Grunge,65
162,major key tonality,65
163,vocal jazz,65
164,jazzy,64
165,feelgood,64
166,adult contemporary,64
167,drjazzmrfunkmusic,64
168,<3,64
169,2008,64
170,Bittersweet,63
171,friendsofthekingofrummelpop,63
172,Favorite Artists,62
173,great song,62
174,latin,62
175,instrumental,61
176,electropop,61
177,sensual,61
178,easy,61
179,sex,61
180,groove,60
181,Radiotsar approved,60
182,techno,60
183,poprock,60
184,Gothic,60
185,funny,59
186,chill out,58
187,ballads,58
188,pretty,58
189,vocals,58
190,Faves,57
191,trance,57
192,swing,56
193,reggae,56
194,1990s,56
195,jazz vocal,56
196,club,55
197,hot,54
198,old school,54
199,2009,53
200,spanish,53
201,haunting,53
202,my favorite,52
203,soulful,52
204,slow jams,52
205,favs,52
206,1980s,51
207,powerful,51
208,sing along,51
209,world,51
210,acclaimed music top 3000,51
211,Alt-country,51
212,german,50
213,folk-rock,50
214,2005,50
215,best songs ever,50
216,rockin,50
217,my music,50
218,pop punk,50
219,other,49
220,Neo-Soul,49
221,1970s,49
222,glam rock,49
223,quirky,49
224,garage,49
225,GH10,48
226,swedish,48
227,Psychedelic Rock,48
228,classic country,48
229,heavy,48
230,interesting,48
231,ethereal,48
232,Soundtracks,47
233,french,47
234,motown,47
235,Old School soul,47
236,nostalgic,47
237,i am a party girl here is my soundtrack,47
238,Soundtrack Of My Life,46
239,genius,46
240,Garage Rock,46
241,California,46
242,title is a full sentence,46
243,fH Projex,46
244,names,45
245,1960s,45
246,synth pop,45
247,2006,44
248,favorite by this singer,44
249,Masterpiece,44
250,indie folk,44
251,I like,44
252,girl power,43
253,power pop,43
254,Progressive,43
255,Rock  Roll,43
256,synth,43
257,rockabilly,43
258,80's,43
259,classics,43
260,moody,43
261,Gothic Metal,42
262,diva,42
263,addictive,42
264,Sentimental,42
265,trip hop,42
266,brit pop,42
267,vocalization,42
268,industrial,42
269,alternative metal,42
270,energy,41
271,a subtle use of vocal harmony,41
272,UK top 40,41
273,Smooth Jazz,41
274,All time favourites,41
275,intense,41
276,Jills Station,41
277,best song ever,41
278,irish,41
279,best songs of the 00s,40
280,new york,40
281,Gothic Rock,40
282,top artists,40
283,england,40
284,Lo-Fi,40
285,australian,40
286,political,40
287,freedom,40
288,night,39
289,legend,39
290,lyrics,39
291,lovesongs,39
292,soul tag,39
293,aitch,39
294,hardcore,39
295,angry,38
296,top 2000,38
297,annymix,37
298,indietronica,37
299,extensive vamping,37
300,goth,37
301,great songs,37
302,minor key tonality,37
303,scandinavian,37
304,depressing,36
305,gute laune,36
306,morning,36
307,brit rock,36
308,out of our heads,36
309,RockPop,35
310,download,35
311,slgdmbestof,35
312,ska,35
313,2003,35
314,Neo Soul,35
315,makes me happy,35
316,2004,34
317,blues-rock,34
318,good shit,34
319,heartbreak,34
320,fon,34
321,deutsch,34
322,Like,33
323,hiphop,33
324,good song,33
325,dramatic,33
326,60's,33
327,art rock,33
328,4,33
329,quiet,33
330,golden oldies,33
331,piano rock,33
332,1,33
333,Progressive metal,33
334,loneliness after dusk,32
335,personal favourites,32
336,strings,32
337,country rock,32
338,symphonic metal,32
339,rock ballad,32
340,good music,32
341,NYC,32
342,malloy2000 playlist - top songs - classical to metal,32
343,Nu Metal,32
344,yeah,31
345,positive,31
346,favourite tracks,31
347,20th Century,31
348,beat,31
349,new age,31
350,slgdm,31
351,handclaps,31
352,Radio,31
353,quiet storm,31
354,super,30
355,a vocal-centric aesthetic,30
356,wow,30
357,chilled,30
358,christian,30
359,favouritestreamable,30
360,2001,30
361,wonderful,30
362,Favorite Bands,30
363,web-found,30
364,Sleep,30
365,life,29
366,dance pop,29
367,like it,29
368,italian,29
369,60s Gold,29
370,Brems Tagg radio,29
371,winter,29
372,inspiring,29
373,1950s,29
374,tantotempotaste,29
375,Awesome Guitar Jams,29
376,soothing,28
377,Dream,28
378,doo wop,28
379,Scottish,28
380,teen pop,28
381,vocal trance,28
382,singersongwriter,28
383,Southern Rock,28
384,blue,28
385,to classify,28
386,rex ferric faves,28
387,late night,28
388,underrated,28
389,Rolling Stone 500 Greatest Songs of All Time,27
390,bass,27
391,70's,27
392,alternative pop,27
393,all time favorites,27
394,us,27
395,popular,27
396,2giveme5,27
397,melodic songwriting,27
398,solx,27
399,80s Pop,27
