,Tag,Frequency
0,pop,1149
1,rock,1123
2,alternative,777
3,favorites,746
4,Love,699
5,indie,572
6,00s,542
7,beautiful,539
8,singer-songwriter,534
9,Mellow,491
10,american,457
11,dance,431
12,Awesome,419
13,alternative rock,415
14,oldies,377
15,soul,366
16,chillout,364
17,classic rock,361
18,Favorite,354
19,chill,352
20,british,336
21,Favourites,334
22,electronic,328
23,cool,326
24,acoustic,324
25,folk,320
26,90s,314
27,sexy,312
28,easy listening,305
29,catchy,304
30,indie rock,301
31,favourite,292
32,80s,281
33,party,271
34,guitar,270
35,fun,262
36,pop rock,262
37,classic,255
38,favorite songs,253
39,jazz,253
40,sad,251
41,rnb,247
42,blues,246
43,happy,236
44,70s,234
45,melancholy,231
46,romantic,226
47,60s,218
48,relax,218
49,Soundtrack,210
50,seen live,208
51,loved,204
52,soft rock,202
53,Ballad,202
54,indie pop,202
55,upbeat,201
56,hard rock,199
57,amazing,193
58,electronica,185
59,relaxing,184
60,memories,182
61,Favourite Songs,173
62,love songs,173
63,country,168
64,piano,168
65,melancholic,167
66,summer,165
67,Love it,164
68,UK,163
69,punk,162
70,USA,161
71,smooth,160
72,britpop,156
73,vocal,154
74,metal,152
75,2000s,150
76,sweet,147
77,english,147
78,good,146
79,slow,143
80,funk,143
81,great,138
82,nice,137
83,rhythm and blues,136
84,soft,136
85,lounge,135
86,love at first listen,135
87,lovely,128
88,best,124
89,rock n roll,122
90,Hip-Hop,122
91,cover,120
92,downtempo,118
93,epic,118
94,experimental,116
95,ambient,116
96,funky,115
97,new wave,115
98,great song,113
99,top 40,112
100,folk rock,110
101,Energetic,109
102,electro,109
103,hip hop,108
104,emo,108
105,FUCKING AWESOME,106
106,fav,106
107,r&b,106
108,dark,105
109,love song,104
110,Good Stuff,103
111,atmospheric,103
112,live,102
113,Disco,102
114,nostalgia,101
115,feel good,100
116,calm,99
117,Progressive rock,97
118,Dreamy,95
119,emotional,95
120,heavy metal,93
121,RB,92
122,brilliant,91
123,heard on Pandora,90
124,punk rock,89
125,Uplifting,89
126,Guilty Pleasures,89
127,guilty pleasure,88
128,Alternative  Punk,87
129,my favorite,87
130,great lyrics,87
131,blues rock,87
132,all the best,86
133,trip-hop,86
134,perfect,86
135,urban,86
136,Driving,85
137,covers,84
138,sensual,84
139,Rock and Roll,84
140,easy,83
141,songs I absolutely love,82
142,2008,80
143,psychedelic,80
144,Canadian,80
145,77davez-all-tracks,79
146,world,79
147,latin,79
148,synthpop,78
149,Pop-Rock,78
150,2007,76
151,groovy,76
152,melodic,76
153,the best,72
154,Smooth Jazz,71
155,50s,70
156,singer songwriter,70
157,jazzy,69
158,rap,69
159,r and b,69
160,drjazzmrfunkmusic,68
161,cute,68
162,<3,68
163,poprock,67
164,House,67
165,vocal jazz,67
166,haunting,67
167,post-punk,67
168,groove,66
169,americana,66
170,old school,65
171,close harmony,65
172,My Favorites,65
173,My pop music,64
174,feelgood,64
175,ballads,64
176,spanish,63
177,instrumental,63
178,hot,63
179,Favorite Artists,63
180,2009,62
181,Grunge,62
182,adult contemporary,62
183,electropop,62
184,alt rock,62
185,favorite by this singer,61
186,sex,61
187,Gothic,60
188,Retro,60
189,Radiotsar approved,59
190,swing,58
191,nostalgic,57
192,folk-rock,57
193,motown,57
194,german,56
195,Bittersweet,56
196,soulful,56
197,club,56
198,California,56
199,Old School soul,56
200,techno,55
201,jazz vocal,55
202,1960s,55
203,synth pop,55
204,reggae,55
205,major key tonality,54
206,best songs ever,54
207,Neo-Soul,53
208,classic country,53
209,80's,53
210,All time favourites,53
211,Faves,53
212,energy,52
213,vocals,52
214,favs,52
215,new,52
216,trance,52
217,1990s,52
218,GH10,51
219,acclaimed music top 3000,51
220,chill out,50
221,i am a party girl here is my soundtrack,50
222,my music,50
