,Tag,Frequency
0,pop,1178
1,rock,1174
2,alternative,795
3,favorites,743
4,Love,677
5,indie,590
6,00s,549
7,singer-songwriter,533
8,beautiful,509
9,american,469
10,dance,464
11,Mellow,437
12,Awesome,436
13,alternative rock,427
14,british,391
15,chillout,379
16,chill,378
17,oldies,371
18,electronic,366
19,soul,358
20,classic rock,350
21,Favourites,347
22,Favorite,346
23,indie rock,336
24,90s,331
25,cool,330
26,sexy,323
27,easy listening,316
28,catchy,305
29,80s,297
30,acoustic,295
31,favourite,284
32,pop rock,277
33,folk,275
34,fun,273
35,favorite songs,268
36,guitar,259
37,party,257
38,sad,252
39,melancholy,251
40,jazz,250
41,rnb,240
42,happy,238
43,electronica,237
44,romantic,225
45,70s,223
46,classic,221
47,Soundtrack,220
48,seen live,220
49,loved,219
50,Ballad,215
51,60s,213
52,hard rock,203
53,blues,202
54,upbeat,199
55,amazing,199
56,relax,197
57,indie pop,191
58,melancholic,188
59,Love it,187
60,soft rock,185
61,love songs,184
62,USA,179
63,Favourite Songs,177
64,piano,174
65,smooth,174
66,2000s,173
67,punk,173
68,country,170
69,slow,166
70,relaxing,166
71,good,165
72,britpop,163
73,nice,160
74,summer,159
75,english,157
76,funk,156
77,soft,151
78,memories,151
79,metal,145
80,UK,145
81,sweet,144
82,lovely,142
83,ambient,139
84,vocal,137
85,Hip-Hop,137
86,new wave,136
87,love at first listen,135
88,best,134
89,experimental,132
90,lounge,132
91,rhythm and blues,130
92,funky,128
93,great,127
94,downtempo,126
95,love song,124
96,Progressive rock,120
97,cover,120
98,rock n roll,119
99,FUCKING AWESOME,117
100,electro,116
101,Energetic,116
102,Disco,115
103,epic,115
104,emo,113
105,punk rock,112
106,nostalgia,110
107,live,110
108,Dreamy,108
109,Good Stuff,106
110,post-punk,105
111,top 40,105
112,Driving,104
113,hip hop,101
114,great lyrics,99
115,r&b,99
116,dark,99
117,covers,98
118,psychedelic,97
119,guilty pleasure,96
120,groovy,96
121,Guilty Pleasures,95
122,atmospheric,94
123,fav,93
124,feel good,90
125,RB,88
126,2008,88
127,great song,87
128,urban,85
129,folk rock,85
130,trip-hop,85
131,Rock and Roll,84
132,songs I absolutely love,84
133,all the best,83
134,emotional,82
135,77davez-all-tracks,82
136,heavy metal,82
137,2007,82
138,electropop,79
139,close harmony,79
140,<3,79
141,Alternative  Punk,79
142,Uplifting,78
143,rap,78
144,House,78
145,easy,77
146,synthpop,77
147,calm,77
148,techno,76
149,blues rock,75
150,cute,74
151,world,74
152,my favorite,74
153,brilliant,74
154,groove,73
155,r and b,72
156,Grunge,72
157,adult contemporary,71
158,ballads,71
159,latin,71
160,Pop-Rock,71
161,50s,71
162,club,70
163,Canadian,69
164,heard on Pandora,68
165,alt rock,68
166,the best,68
167,sensual,67
168,jazzy,67
169,major key tonality,67
170,nostalgic,67
171,Gothic,67
172,perfect,66
173,Faves,66
174,Progressive,66
175,singer songwriter,66
176,Smooth Jazz,65
177,drjazzmrfunkmusic,65
178,2009,65
179,hot,64
180,feelgood,64
181,sex,64
182,other,64
183,melodic,63
184,Radiotsar approved,63
185,genius,62
186,vocal jazz,62
187,chill out,61
188,poprock,61
189,Retro,60
190,My Favorites,60
191,sing along,59
192,GH10,59
193,fH Projex,59
194,new,58
195,pretty,58
196,80's,58
197,instrumental,58
198,friendsofthekingofrummelpop,58
199,americana,58
200,Soundtrack Of My Life,57
201,i am a party girl here is my soundtrack,57
202,ethereal,57
203,funny,56
204,reggae,56
205,My pop music,56
206,spanish,56
207,rockin,56
208,Favorite Artists,55
209,synth pop,55
210,swedish,55
211,favorite by this singer,55
212,powerful,54
213,acclaimed music top 3000,54
214,jazz vocal,54
215,trance,53
216,energy,53
217,angry,53
218,Psychedelic Rock,52
219,pop punk,52
220,a subtle use of vocal harmony,51
221,german,51
222,UK top 40,50
223,1980s,50
224,haunting,50
225,classic country,50
226,Garage Rock,50
227,dance pop,50
228,Neo-Soul,50
229,favs,50
230,1960s,49
231,1970s,49
232,swing,49
233,slow jams,49
234,Like,49
235,vocals,49
236,vocalization,48
237,Old School soul,48
238,1990s,48
239,2006,48
240,french,48
241,soulful,48
242,Masterpiece,47
243,interesting,47
244,trip hop,47
245,Bittersweet,47
246,diva,46
247,best songs ever,46
248,moody,46
249,extensive vamping,46
250,soothing,46
251,glam rock,45
252,ik ben,45
253,old school,45
254,Gothic Rock,44
255,All time favourites,44
256,best songs of the 00s,44
257,sixties,44
258,motown,43
259,names,43
260,Gothic Metal,43
261,gute laune,43
262,classic soul,43
263,alternative metal,43
264,irish,43
265,2005,42
266,folk-rock,42
267,60's,42
268,england,42
269,australian,42
270,California,42
271,loved tracks,42
272,indie folk,42
273,girl power,42
274,classics,41
275,power pop,41
276,night,41
277,I like,41
278,hardcore,41
279,addictive,40
280,acid jazz,40
281,chilled,40
282,tantotempotaste,40
283,late night,40
284,bass,40
285,goth,39
286,intense,39
287,yeah,39
288,hiphop,39
289,Soundtracks,39
290,political,39
291,a vocal-centric aesthetic,38
292,synth,38
293,quirky,38
294,4,38
295,top artists,38
296,2003,38
297,heartbreak,38
298,christian,37
299,good shit,37
300,80s Pop,37
301,drums,37
302,lyrics,37
303,aitch,37
304,good music,37
305,RockPop,37
306,me,37
307,Sentimental,36
308,title is a full sentence,36
309,rock ballad,36
310,favorite song,36
311,dramatic,35
312,mild rhythmic syncopation,35
313,brit pop,35
314,favouritestreamable,35
315,Makes Me Smile,35
316,teen pop,35
317,attitude,35
318,Alt-country,35
319,ska,35
320,eurodance,35
321,my music,35
322,art rock,35
323,scandinavian,35
324,alternative pop,35
325,2004,35
326,quiet storm,35
327,Excellent tune,34
328,NYC,34
329,Favorite Bands,34
330,indietronica,34
331,linedance,34
332,Adult Alternative,34
333,makes me happy,34
334,Jills Station,34
335,music,34
336,good song,33
337,Scottish,33
338,symphonic metal,33
339,Black,33
340,minor key tonality,33
341,life,33
342,Dream,33
343,super,33
344,best song ever,33
345,freedom,33
346,piano rock,33
347,industrial,33
348,Post punk,33
349,top,32
350,musicspirit,32
351,new york,32
352,handclaps,32
353,lovesongs,32
354,Southern Rock,32
355,annymix,32
356,fon,32
357,all time favorites,31
358,melodic metal,31
359,garage,31
360,Workout,31
361,soul tag,31
362,5,31
363,work,31
364,brit rock,31
365,1997,31
366,Neo Soul,31
367,Nu Metal,31
368,High School,30
369,Fusion,30
370,Voice,30
371,billboard number ones,30
372,romance,30
373,great songs,30
374,70's,30
375,dance-pop,30
376,download,30
377,Acoustic Rock,30
378,songwriter,30
379,out of our heads,30
380,golden oldies,30
381,Progressive metal,30
382,World Music,30
383,Brems Tagg radio,29
384,2giveme5,29
385,romantic tension,29
386,kot,29
387,winter,29
388,darkwave,29
389,my soundtrack,29
390,depressing,29
391,Lo-Fi,29
392,quiet,29
393,heavy,29
394,chick rock,29
395,breakup,29
396,powerpop,29
397,excellent,29
398,acoustic rhythm guitars,28
399,Rock  Roll,28
400,popular,28
401,doo wop,28
402,20th Century,28
403,solx,28
404,san francisco,28
405,2002,28
406,90's,28
407,Awesome Guitar Jams,28
408,4 Stars,28
409,bouncy,28
410,eighties,27
411,best songs of the 80s,27
412,Pop Life,27
413,90s Rock,27
414,wow,27
415,legend,27
416,1,27
417,vocal trance,27
418,top 2000,27
419,personal favourites,27
420,usa hot 100 number one hit,27
421,heartache,27
422,repetitive melodic phrasing,27
423,pop music tag,27
424,gh fgh,26
425,remix,26
426,60s Gold,26
427,singer,26
428,lol,26
429,2000,26
430,rockabilly,26
431,midbest,26
432,post-grunge,26
433,brazilian,26
434,favorite by this group,26
435,newbest,26
436,albums I own,26
437,laptop,26
438,like it,26
439,dream pop,26
440,celtic,26
441,british rock,25
442,trippy,25
443,Perfection,25
444,screamo,25
445,r'n'b,25
446,performed on top of the pops,25
447,leapsandloved,25
448,mixed acoustic and electric instrumentation,25
449,affirming,25
450,gorgeous,25
451,Great Lyricists,25
452,Classical,25
453,angst,25
454,hypnotic,25
455,hits,25
456,depression,25
457,Power ballad,25
458,Sleep,25
459,lush,25
460,i feel good,24
461,positive,24
462,girls,24
463,electro-pop,24
464,favourite tracks,24
465,christmas,24
466,I love this song,24
467,de todo mio favoritos,24
468,Europop,24
469,Rainy Day,24
470,weird,24
471,gospel,24
472,lyricism,24
473,new age,24
474,chanson,24
475,singalong,24
476,rain,24
477,blingtacular,24
478,peaceful,24
479,blues-rock,24
480,sad songs,24
481,1995,24
482,3 star,24
483,malloy2000 playlist - top songs - classical to metal,24
484,morning,24
485,Radio,24
486,songs i love,24
487,danceable,24
488,brasil,24
489,Power metal,24
490,relaxed,23
491,Sweden,23
492,special to me songs,23
493,influential,23
494,best songs of the 60s,23
495,west coast,23
496,slgdmbestof,23
497,2001,23
498,light,23
499,one hit wonder,23
500,strings,23
501,electric rock instrumentation,23
502,Electroclash,23
503,sonic rock,23
504,bestallof,23
505,new romantic,23
506,cover songs,23
507,mushy,23
