,Tag,Frequency
0,pop,754
1,rock,533
2,alternative,426
3,Love,387
4,singer-songwriter,378
5,indie,355
6,favorites,353
7,beautiful,352
8,dance,347
9,00s,326
10,electronic,310
11,chillout,286
12,Mellow,281
13,soul,264
14,sexy,243
15,90s,236
16,chill,231
17,folk,223
18,jazz,205
19,electronica,199
20,american,199
21,Awesome,189
22,Favorite,187
23,easy listening,180
24,rnb,178
25,cool,176
26,Favourites,173
27,acoustic,167
28,british,165
29,alternative rock,163
30,indie rock,149
31,sad,149
32,party,148
33,80s,135
34,blues,134
35,favourite,132
36,catchy,132
37,indie pop,132
38,ambient,131
39,lounge,130
40,oldies,128
41,fun,127
42,melancholy,126
43,romantic,123
44,pop rock,122
45,amazing,117
46,favorite songs,116
47,piano,114
48,vocal,112
49,happy,111
50,downtempo,110
51,Soundtrack,110
52,Ballad,109
53,relax,107
54,sweet,107
55,country,103
56,electro,102
57,classic,101
58,loved,101
59,love songs,101
60,melancholic,99
61,seen live,96
62,smooth,95
63,summer,95
64,trip-hop,94
65,cover,92
66,love at first listen,91
67,upbeat,91
68,relaxing,91
69,Dreamy,89
70,classic rock,87
71,Disco,86
72,House,86
73,funk,86
74,Love it,84
75,Favourite Songs,84
76,soft,82
77,english,78
78,nice,78
79,Hip-Hop,78
80,guitar,77
81,70s,76
82,good,76
83,punk,76
84,slow,76
85,USA,75
86,world,75
87,memories,74
88,lovely,74
89,2000s,73
90,atmospheric,73
91,rhythm and blues,72
92,funky,71
93,trance,71
94,60s,70
95,soft rock,69
96,club,69
97,UK,68
98,dark,68
99,new wave,66
100,experimental,66
101,vocal jazz,65
102,sensual,64
103,swedish,63
104,metal,63
105,favorite by this singer,62
106,guilty pleasure,61
107,latin,61
108,ethereal,61
109,drjazzmrfunkmusic,61
110,covers,61
111,love song,61
112,britpop,61
113,electropop,60
114,top 40,60
115,cute,59
116,r&b,59
117,calm,57
118,2008,56
119,techno,56
120,Energetic,56
121,Good Stuff,55
122,RB,54
123,fav,53
124,urban,53
125,instrumental,53
126,feel good,52
127,best,52
128,hard rock,52
129,Canadian,51
130,trip hop,50
131,jazzy,50
132,r and b,50
133,Neo-Soul,50
134,Smooth Jazz,50
135,Guilty Pleasures,49
136,epic,49
137,Gothic,49
138,jazz vocal,49
139,emotional,48
140,pretty,48
141,great,48
142,great lyrics,48
143,heard on Pandora,47
