,Tag,Frequency
0,pop,1203
1,rock,1178
2,alternative,763
3,favorites,758
4,Love,693
5,indie,605
6,singer-songwriter,576
7,00s,555
8,beautiful,538
9,american,505
10,dance,475
11,Mellow,465
12,Awesome,438
13,alternative rock,423
14,chill,403
15,chillout,396
16,oldies,389
17,electronic,388
18,classic rock,379
19,british,360
20,Favorite,350
21,Favourites,349
22,soul,348
23,cool,333
24,sexy,333
25,folk,332
26,catchy,327
27,90s,323
28,80s,316
29,acoustic,309
30,easy listening,299
31,party,296
32,indie rock,292
33,guitar,274
34,favourite,270
35,fun,269
36,favorite songs,267
37,jazz,263
38,pop rock,256
39,rnb,253
40,sad,251
41,happy,247
42,70s,247
43,electronica,246
44,melancholy,235
45,seen live,232
46,hard rock,231
47,classic,231
48,amazing,228
49,60s,215
50,Ballad,213
51,blues,213
52,romantic,211
53,indie pop,205
54,soft rock,205
55,relax,201
56,loved,198
57,upbeat,189
58,melancholic,183
59,Soundtrack,182
60,relaxing,180
61,country,176
62,love songs,173
63,vocal,169
64,piano,168
65,USA,168
66,Love it,168
67,metal,167
68,2000s,159
69,punk,158
70,memories,156
71,Favourite Songs,156
72,summer,155
73,UK,152
74,sweet,152
75,love at first listen,150
76,good,148
77,funk,147
78,soft,143
79,lovely,142
80,smooth,140
81,english,139
82,slow,139
83,live,138
84,experimental,137
85,great,137
86,nice,136
87,lounge,134
88,ambient,131
89,britpop,127
90,rock n roll,125
91,cover,125
92,epic,124
93,Energetic,123
94,downtempo,121
95,funky,119
96,Progressive rock,118
97,new wave,118
98,emotional,116
99,rhythm and blues,114
100,Hip-Hop,113
101,best,111
102,Dreamy,111
103,top 40,111
104,Guilty Pleasures,110
105,emo,110
106,heard on Pandora,110
107,fav,110
108,Disco,108
109,electro,107
110,guilty pleasure,107
111,punk rock,103
112,love song,103
113,folk rock,102
114,Good Stuff,101
115,feel good,99
116,FUCKING AWESOME,97
117,synthpop,94
118,trip-hop,94
119,great lyrics,93
120,atmospheric,93
121,heavy metal,93
122,great song,92
123,hip hop,92
124,all the best,92
125,cute,91
126,Driving,90
127,Uplifting,89
128,dark,89
129,perfect,87
130,covers,87
131,r&b,86
132,nostalgia,86
133,calm,85
134,2007,85
135,songs I absolutely love,85
136,urban,84
137,close harmony,84
138,alt rock,83
139,singer songwriter,83
140,RB,83
141,brilliant,82
142,blues rock,81
143,House,81
144,Rock and Roll,80
145,post-punk,80
146,adult contemporary,80
147,psychedelic,80
148,easy,79
149,Pop-Rock,79
150,sex,79
151,50s,79
152,techno,79
153,Canadian,78
154,77davez-all-tracks,78
155,Alternative  Punk,78
156,drjazzmrfunkmusic,77
157,My pop music,77
158,<3,75
159,world,75
160,electropop,75
161,trance,74
162,groovy,74
163,2008,74
164,my favorite,73
165,Favorite Artists,71
166,friendsofthekingofrummelpop,71
167,club,70
168,Grunge,70
169,Retro,69
170,Smooth Jazz,69
171,folk-rock,69
172,vocal jazz,69
173,americana,69
174,r and b,68
175,other,68
176,sensual,66
177,vocals,66
178,powerful,65
179,major key tonality,65
180,pretty,64
181,new,64
182,synth pop,63
183,poprock,63
184,nostalgic,63
185,the best,63
186,old school,62
187,My Favorites,62
188,hot,62
189,melodic,62
190,feelgood,62
191,80's,61
192,Old School soul,61
193,2009,61
194,ballads,60
195,lyrics,60
196,intense,60
197,haunting,60
198,chill out,60
199,1970s,59
200,1980s,59
201,rap,59
202,Gothic,59
203,Psychedelic Rock,58
204,Progressive,58
205,instrumental,58
206,motown,57
207,Masterpiece,57
208,UK top 40,57
209,favs,57
210,french,57
211,best songs ever,56
212,funny,56
213,indie folk,56
214,energy,56
215,sing along,55
216,jazzy,55
217,german,55
218,reggae,54
219,girl power,53
220,Radiotsar approved,53
221,1990s,52
222,Bittersweet,52
223,jazz vocal,52
224,groove,52
225,2005,51
226,favorite by this singer,51
227,2006,51
228,California,50
229,Soundtrack Of My Life,50
230,acclaimed music top 3000,50
231,a subtle use of vocal harmony,50
232,classic country,49
233,1960s,49
234,genius,49
235,interesting,48
236,ethereal,48
237,australian,47
238,latin,47
239,glam rock,47
240,soulful,47
241,i am a party girl here is my soundtrack,47
242,GH10,47
243,rockabilly,46
244,slow jams,46
245,top artists,46
246,swing,46
247,Alt-country,46
248,swedish,46
249,my music,45
250,classics,45
251,Sentimental,45
252,good music,45
253,Garage Rock,45
254,trip hop,45
255,classic soul,45
256,rockin,45
257,handclaps,44
258,All time favourites,44
259,Faves,44
260,irish,44
261,Lo-Fi,44
262,slgdm,44
263,yeah,44
264,a vocal-centric aesthetic,43
265,pop punk,43
266,alternative pop,43
267,slgdmbestof,42
268,heavy,42
269,new york,42
270,hardcore,42
271,dance-pop,42
272,power pop,42
273,vocal trance,41
274,scandinavian,41
275,gute laune,41
276,dance pop,41
277,best songs of the 00s,41
278,alternative metal,41
279,Neo-Soul,41
280,extensive vamping,41
281,quiet,40
282,Scottish,40
283,dream pop,40
284,indietronica,40
285,eurodance,39
286,art rock,39
287,Sleep,39
288,post-grunge,39
289,synth,39
290,top,39
291,chilled,39
292,angry,39
293,Gothic Metal,39
294,Great Lyricists,38
295,british rock,38
296,good song,38
297,Gothic Rock,38
298,morning,38
299,I like,38
300,RockPop,38
301,best song ever,37
302,freedom,37
303,industrial,37
304,Like,37
305,soothing,37
306,lovesongs,36
307,beat,36
308,60's,36
309,legend,36
310,attitude,36
311,england,36
312,60s Gold,36
313,positive,36
314,heartbreak,36
315,Jills Station,36
316,night,36
317,favorite song,36
318,post-rock,36
319,teen pop,35
320,NYC,35
321,Brems Tagg radio,35
322,goth,35
323,quiet storm,35
324,out of our heads,35
325,fH Projex,35
326,malloy2000 playlist - top songs - classical to metal,35
327,political,35
328,2004,35
329,download,35
330,makes me happy,34
331,minor key tonality,34
332,golden oldies,34
333,top 2000,34
334,f,34
335,drums,33
336,20th Century,33
337,High School,33
338,remix,33
339,personal favourites,33
340,names,33
341,spanish,33
342,tantotempotaste,32
343,4,32
344,solx,32
345,aitch,32
346,deutsch,32
347,Rock  Roll,32
348,addictive,32
349,mild rhythmic syncopation,32
350,diva,32
351,popular,32
352,winter,32
353,songwriter,32
354,Adult Alternative,32
355,hiphop,32
356,70's,32
357,rock ballad,31
358,garage,31
359,moody,31
360,all time favorites,31
361,de todo mio favoritos,31
362,darkwave,31
363,music,31
364,Radio,31
365,bouncy,31
366,Progressive metal,31
367,me,31
368,5,31
369,seattle,31
370,loved tracks,30
371,80s Pop,30
372,vocalization,30
373,title is a full sentence,30
374,Pop Life,30
375,quirky,30
376,electro-pop,30
377,symphonic metal,30
378,acid jazz,30
379,Neo Soul,30
380,work,30
381,christian,30
382,annymix,30
383,2003,29
384,inspirational,29
385,dramatic,29
386,my soundtrack,29
387,90s Rock,29
388,Nu Metal,29
389,bass,29
390,pozytywne wibracje,29
391,most loved,29
392,late night,29
393,3 star,29
394,loneliness after dusk,29
395,Electro Pop,29
396,Soundtracks,29
397,strings,29
398,billboard number ones,28
399,rex ferric faves,28
400,glam,28
401,1,28
402,unique,28
403,ska,28
404,all time faves,28
405,musicspirit,28
406,wow,28
407,LOVE LOVE LOVE,28
408,country rock,28
409,to classify,28
410,piano rock,28
411,Power ballad,28
412,italian,28
413,Southern Rock,27
414,singersongwriter,27
