,Tag,Frequency
0,pop,1149
1,rock,1138
2,alternative,748
3,Love,709
4,favorites,706
5,indie,593
6,singer-songwriter,573
7,beautiful,541
8,00s,539
9,american,457
10,Mellow,455
11,alternative rock,417
12,dance,407
13,british,393
14,oldies,389
15,Awesome,384
16,chillout,377
17,electronic,369
18,chill,363
19,classic rock,360
20,Favorite,339
21,soul,338
22,Favourites,334
23,easy listening,332
24,90s,319
25,catchy,315
26,folk,312
27,sexy,311
28,acoustic,308
29,cool,303
30,80s,302
31,indie rock,293
32,guitar,281
33,favourite,261
34,favorite songs,259
35,pop rock,257
36,party,257
37,70s,251
38,rnb,236
39,happy,233
40,electronica,230
41,melancholy,230
42,fun,229
43,jazz,223
44,sad,217
45,60s,216
46,classic,215
47,upbeat,213
48,loved,212
49,hard rock,211
50,indie pop,206
51,Ballad,202
52,blues,201
53,seen live,197
54,Soundtrack,196
55,romantic,194
56,amazing,193
57,relax,193
58,piano,182
59,soft rock,181
60,love songs,177
61,2000s,174
62,USA,172
63,country,171
64,relaxing,169
65,Love it,165
66,metal,165
67,smooth,163
68,summer,155
69,UK,153
70,funk,150
71,Favourite Songs,147
72,good,147
73,sweet,144
74,punk,144
75,vocal,143
76,lovely,140
77,Hip-Hop,140
78,memories,139
79,ambient,138
80,britpop,138
81,soft,137
82,melancholic,137
83,great,136
84,slow,134
85,rhythm and blues,131
86,english,130
87,love at first listen,129
88,rock n roll,128
89,best,126
90,epic,125
91,nice,122
92,new wave,121
93,lounge,116
94,Dreamy,114
95,Disco,113
96,cover,111
97,r&b,107
98,downtempo,107
99,live,106
100,hip hop,106
101,experimental,105
102,Energetic,104
103,electro,104
104,top 40,103
105,great song,103
106,funky,102
107,emo,102
108,nostalgia,101
109,love song,101
110,Good Stuff,100
111,RB,100
112,dark,100
113,synthpop,100
114,psychedelic,98
115,Progressive rock,98
116,fav,97
117,Driving,97
118,FUCKING AWESOME,95
119,Guilty Pleasures,94
120,atmospheric,92
121,guilty pleasure,91
122,all the best,91
123,emotional,91
124,Alternative  Punk,89
125,Pop-Rock,87
126,great lyrics,86
127,heavy metal,86
128,heard on Pandora,86
129,folk rock,86
130,punk rock,85
131,covers,85
132,cute,85
133,<3,85
134,Uplifting,84
135,rap,84
136,feel good,83
137,close harmony,83
138,latin,83
139,electropop,82
140,blues rock,82
141,my favorite,82
142,77davez-all-tracks,81
143,post-punk,81
144,easy,80
145,urban,80
146,trip-hop,79
147,adult contemporary,78
148,House,78
149,world,78
150,songs I absolutely love,77
151,2008,76
152,singer songwriter,76
153,Rock and Roll,76
154,2007,73
155,pretty,73
156,Canadian,73
157,Radiotsar approved,71
158,calm,71
159,brilliant,70
160,Retro,70
161,alt rock,70
162,r and b,69
163,friendsofthekingofrummelpop,69
164,50s,69
165,Gothic,68
166,instrumental,67
167,vocals,67
