,Tag,Frequency
0,pop,830
1,rock,554
2,alternative,411
3,dance,392
4,Love,391
5,favorites,384
6,singer-songwriter,351
7,indie,348
8,beautiful,345
9,electronic,330
10,00s,326
11,chillout,276
12,soul,272
13,Mellow,256
14,sexy,248
15,folk,238
16,american,230
17,90s,220
18,electronica,209
19,chill,205
20,jazz,204
21,rnb,196
22,british,186
23,easy listening,185
24,Favorite,184
25,Awesome,183
26,cool,171
27,catchy,160
28,Favourites,158
29,oldies,153
30,alternative rock,152
31,acoustic,151
32,fun,150
33,favourite,147
34,80s,141
35,party,138
36,ambient,138
37,indie pop,136
38,happy,134
39,sad,132
40,pop rock,131
41,lounge,125
42,relax,124
43,vocal,124
44,piano,123
45,melancholy,119
46,favorite songs,116
47,loved,115
48,romantic,114
49,indie rock,113
50,downtempo,112
51,Ballad,111
52,country,109
53,electro,108
54,relaxing,105
55,melancholic,102
56,Soundtrack,100
57,experimental,98
58,sweet,97
59,upbeat,97
60,House,97
61,summer,97
62,classic rock,94
63,trip-hop,94
64,2000s,94
65,funk,93
66,blues,93
67,seen live,92
68,amazing,91
69,Dreamy,89
70,trance,89
71,classic,88
72,70s,86
73,soft,86
74,smooth,86
75,rhythm and blues,86
76,love at first listen,85
77,cover,85
78,funky,85
79,love songs,83
80,60s,82
81,nice,82
82,Hip-Hop,82
83,lovely,82
84,Disco,81
85,favorite by this singer,79
86,Favourite Songs,78
87,good,77
88,english,76
89,Love it,76
90,punk,75
91,slow,74
92,world,72
93,metal,72
94,USA,72
95,electropop,71
96,RB,70
97,atmospheric,70
98,r&b,69
99,guitar,68
100,best,65
101,songs I absolutely love,65
102,ethereal,65
103,covers,64
104,urban,64
105,love song,64
106,soft rock,63
107,sensual,63
108,top 40,62
109,hip hop,60
110,Energetic,60
111,techno,59
112,dark,59
113,latin,58
114,memories,58
115,UK,56
116,jazzy,56
117,french,56
118,Gothic,56
119,calm,55
120,vocalization,55
121,vocal jazz,55
122,great,55
123,britpop,55
124,synthpop,54
125,club,54
126,Guilty Pleasures,54
127,instrumental,54
128,Uplifting,54
129,fav,53
130,r and b,53
131,new wave,53
132,cute,52
133,Driving,52
134,sex,51
135,epic,51
136,hard rock,51
137,2009,51
138,guilty pleasure,50
139,swedish,49
140,Neo-Soul,49
141,Pop-Rock,48
142,vocal trance,48
143,psychedelic,48
144,feel good,48
145,rap,48
146,drjazzmrfunkmusic,47
147,spanish,47
148,groovy,46
149,eurodance,46
150,<3,46
151,emotional,46
152,2007,46
153,german,46
154,Canadian,45
155,heard on Pandora,45
156,great lyrics,45
157,nostalgia,45
158,motown,44
159,post-punk,44
160,dream pop,44
161,Gothic Metal,44
162,Smooth Jazz,44
163,trip hop,43
164,attitude,43
165,folk rock,43
166,2008,43
167,girl power,43
168,diva,43
169,Retro,42
170,hot,42
171,dance-pop,42
172,50s,41
173,ballads,41
174,adult contemporary,41
175,chill out,40
176,synth pop,39
177,soulful,39
178,FUCKING AWESOME,39
179,My Favorites,38
180,dance pop,38
181,Alternative  Punk,38
182,perfect,38
183,easy,37
184,Good Stuff,37
185,punk rock,37
186,musicspirit,37
187,haunting,37
188,jazz vocal,36
189,new age,36
190,2006,36
191,americana,36
192,night,36
193,Gothic Rock,36
194,irish,35
195,all the best,35
196,heartbreak,35
197,i am a party girl here is my soundtrack,35
198,nostalgic,35
199,brilliant,35
200,UK top 40,35
201,melodic,35
202,new,35
203,alternative pop,35
204,out of our heads,34
205,live,34
206,Sentimental,33
207,1990s,33
208,Alt-country,33
209,rock n roll,33
210,chick rock,33
211,World Music,33
212,top,33
213,handclaps,32
214,title is a full sentence,32
215,gute laune,32
216,Neo Soul,32
217,heavy metal,32
218,77davez-all-tracks,32
219,remix,32
220,Old School soul,31
221,Progressive rock,31
222,scandinavian,31
223,Lo-Fi,31
224,My pop music,31
225,brasil,31
226,Progressive,31
227,soul tag,30
228,celtic,30
229,Like,30
230,Brems Tagg radio,30
231,2005,30
232,energy,30
233,symphonic metal,30
234,goth,30
235,swing,29
236,pretty,29
237,brazilian,29
238,girl group,29
239,powerful,29
240,acid jazz,29
241,emotive,29
242,close harmony,28
243,sing along,28
244,favs,28
245,Electroclash,28
246,singer songwriter,28
247,Girl Groups,28
248,Scottish,28
249,Faves,27
250,80's,27
251,indie folk,27
252,beautiful voices,27
253,funny,27
254,indietronica,27
255,Dream,27
256,all of my songs,27
257,groove,27
258,chanson francaise,27
259,top artists,26
260,old school,26
261,divas,26
262,Radio,26
263,addictive,26
264,Favorite Artists,26
265,quirky,26
266,slow jams,25
267,sleek,25
268,fH Projex,25
269,affirming,25
270,mpb,25
271,strings,25
272,the best,25
273,feelgood,25
274,latin pop,25
275,progressive trance,24
276,loved tracks,24
277,tantotempotaste,24
278,deutsch,24
279,friendsofthekingofrummelpop,24
280,lacrimaindarkness,24
281,romantic tension,24
282,folk-rock,24
283,darkwave,24
284,great song,23
285,2003,23
286,my music,23
287,reggae,23
288,interesting,23
289,lyricism,23
290,moody,23
291,4,23
292,my favorite,23
293,loneliness after dusk,23
294,Electro Pop,23
295,mood music,23
296,vocals,23
297,1980s,23
298,new york,23
299,melodic metal,23
300,Voice,23
301,I like,22
302,lovesongs,22
303,Avant-Garde,22
304,australian,22
305,beautiful voice,22
306,deep house,22
307,emo,22
308,duets,22
309,names,22
310,Bittersweet,22
311,quiet storm,22
312,2004,22
313,Grunge,22
314,girls,22
315,Dancemania,22
316,riot grrrl,22
317,christmas,22
318,makes me happy,21
319,rex ferric faves,21
320,Jills Station,21
321,classic country,21
322,deep,21
323,poprock,21
324,hypermusic,21
325,triphop,21
326,late night,21
327,twee,21
328,1960s,21
329,electro-pop,21
330,Soundtrack Of My Life,21
331,gospel,20
332,billboard number ones,20
333,teen pop,20
334,chanson,20
335,Masterpiece,20
336,nu jazz,20
337,me,20
338,doom metal,20
339,death metal,20
340,favourite tracks,20
341,trippy,20
342,Fusion,20
343,angry,20
344,soothing,20
345,metro downtempo,20
346,shoegaze,20
347,peaceful,20
348,alt rock,19
349,leapsandloved,19
350,ladies,19
351,lush,19
352,finnish,19
353,quiet,19
354,download,19
355,Foxy Lady,19
356,france,19
357,major key tonality,19
358,brazil,19
359,chilled,19
360,2002,19
361,i feel good,19
362,2000,19
363,genius,19
364,yeah,19
365,2giveme5,19
366,good song,19
367,Bossa Nova,19
368,vocal house,19
369,classics,18
370,minor key tonality,18
371,intense,18
372,norwegian,18
373,influential,18
374,other,18
375,acclaimed music top 3000,18
376,IIIIIIIIII AMAZING TRACK :D IIIIIIIIII,18
377,like it,18
378,pop singles,18
379,4ad,18
380,1970s,18
381,f,18
382,5,18
383,francais,18
384,linedance,17
385,classic soul,17
386,european,17
387,Sleep,17
388,french pop,17
389,hits,17
390,northern soul,17
391,italian,17
392,New Soul - Hip Hop - Rap,17
393,favorite by this group,17
394,warm,17
395,rhythum and blues tag,17
396,morning,17
397,annymix,17
398,Classical,17
399,Soundtracks,17
400,kot,17
401,light,17
402,positive,17
403,singer,17
404,60's,16
405,Europop,16
406,ElectronicaDance,16
407,2001,16
408,latino,16
409,California,16
410,Pop Music,16
411,fon,16
412,yay and hooray and yippee and huzzah,16
413,a long red glare,16
414,Power metal,16
415,it is party time,16
416,country pop,16
417,laptop,16
418,hypnotic,16
419,hardcore,16
420,Progressive metal,16
421,saxophone,16
422,dramatic,16
423,idm,16
424,nu soul,16
425,crazy,16
426,winter,16
427,dutch,16
428,golden oldies,15
429,favouritestreamable,15
430,r'n'b,15
431,2010,15
432,good music,15
433,Disney,15
434,lyrics,15
435,Black,15
436,break up,15
437,pozytywne wibracje,15
438,Post punk,15
439,work,15
440,inspirational,15
441,beyonce,15
442,bass,15
443,gotanygoodmusic,15
444,web-found,15
445,duet,15
446,1997,15
447,pop music tag,15
448,malloy2000 playlist - top songs - classical to metal,15
449,magic,15
450,metalcore,15
451,metallis,15
452,all time faves,15
453,RockPop,15
454,power pop,15
455,all time favorites,15
456,favorite song,15
457,super,15
458,wow,15
459,alt country,15
460,best of 2009,14
461,club-dance,14
462,1,14
463,electronica influences,14
464,solx,14
465,Tag,14
466,electro house,14
467,1998,14
468,usa hot dance club play number one hit,14
469,cool down,14
470,legal drug,14
471,blue,14
472,england,14
473,singersongwriter,14
474,Resistance is futile,14
475,witty,14
476,misc,14
477,art rock,14
478,Rainy Day,14
479,polish,14
480,everbest,14
481,newbest,14
482,bouncy,14
483,4 Stars,14
484,rockin,14
485,ok,14
486,blingtacular,14
487,halftoned singles club,14
488,f singer-songwriter,14
489,underrated,14
490,personal favourites,14
491,piano rock,14
492,Radiotsar approved,14
493,doo wop,14
494,mild rhythmic syncopation,14
495,life song,14
496,Sweden,14
497,-favorites-,14
498,synth,14
499,beats,14
500,1995,14
501,90's,14
502,Smooth Soul,14
503,woman,14
504,Melodic Death Metal,14
505,Workout,13
506,Club Dance,13
507,pop punk,13
508,Adult Alternative,13
509,performed on top of the pops,13
510,60s pop,13
511,NYC,13
512,leapsandbounds favorite songs,13
513,nix partly,13
514,coy,13
515,geil,13
516,1993,13
517,my life,13
518,amazing voice,13
519,Girl,13
520,goodbye,13
521,alternative metal,13
522,slow jams tag,13
523,Symphonic Rock,13
524,ska,13
525,GH10,13
526,usa hot 100 number one hit,13
527,1999,13
528,political,13
529,cheerful,13
530,Vocal Music,13
531,uplifting trance,13
532,DJPMan-loved-tracks,13
533,songwriter,13
534,excellent,13
535,best songs of the 00s,13
536,death,13
537,slordig,13
538,songs i love,13
539,quittenlikoer,13
540,chillin,13
541,glam rock,13
542,My Favourites,13
543,Psychedelic Rock,13
544,stonesoup,13
545,my gang 09,13
546,christian,13
547,alternative dance,12
548,1950s,12
549,to classify,12
550,brit pop,12
551,yes,12
552,beat,12
553,gjamr,12
554,leapsandbounds CDCollection,12
555,flirty,12
