,Tag,Frequency
0,pop,748
1,rock,499
2,alternative,380
3,Love,373
4,dance,355
5,favorites,337
6,00s,332
7,singer-songwriter,331
8,indie,326
9,beautiful,320
10,electronic,312
11,soul,275
12,chillout,263
13,Mellow,260
14,jazz,238
15,folk,224
16,sexy,218
17,chill,210
18,90s,190
19,cool,181
20,electronica,175
21,american,174
22,acoustic,173
23,rnb,170
24,Awesome,166
25,Favorite,159
26,easy listening,156
27,british,153
28,alternative rock,151
29,indie pop,144
30,relax,143
31,party,138
32,catchy,137
33,oldies,134
34,Favourites,133
35,favourite,129
36,sad,127
37,vocal,126
38,indie rock,124
39,80s,123
40,lounge,120
41,melancholy,113
42,pop rock,113
43,fun,113
44,romantic,112
45,downtempo,108
46,Ballad,106
47,ambient,106
48,piano,104
49,relaxing,103
50,sweet,102
51,electro,99
52,blues,99
53,smooth,98
54,happy,98
55,Soundtrack,98
56,summer,96
57,country,95
58,seen live,93
59,melancholic,92
60,trip-hop,92
61,soft,91
62,favorite songs,91
63,loved,88
64,amazing,85
65,cover,84
66,love songs,83
67,experimental,82
68,Love it,80
69,classic,79
70,world,79
71,lovely,79
72,funk,78
73,memories,78
74,nice,78
75,classic rock,77
76,upbeat,77
77,House,76
78,60s,75
79,slow,75
80,metal,74
81,punk,72
82,soft rock,71
83,Dreamy,71
84,atmospheric,71
85,vocal jazz,70
86,Hip-Hop,70
87,trance,70
88,Disco,68
89,sensual,68
90,latin,66
91,guitar,66
92,favorite by this singer,65
93,drjazzmrfunkmusic,63
94,funky,63
95,covers,63
96,UK,63
97,english,63
98,good,63
99,Canadian,63
100,best,63
101,Favourite Songs,62
102,USA,61
103,Smooth Jazz,61
104,jazz vocal,60
105,love at first listen,60
106,britpop,59
107,jazzy,58
108,calm,58
109,70s,57
110,2000s,57
111,great,57
112,electropop,57
113,feel good,56
114,techno,55
115,dark,55
116,new wave,55
117,RB,54
118,fav,54
119,hip hop,54
120,heard on Pandora,54
121,rhythm and blues,54
122,club,53
123,urban,53
124,ethereal,53
125,diva,53
126,songs I absolutely love,53
127,top 40,52
128,instrumental,51
129,swedish,51
130,Uplifting,51
131,love song,51
132,2008,50
133,r&b,50
134,spanish,50
135,Pop-Rock,48
136,cute,48
137,hard rock,48
138,french,48
139,synthpop,47
140,Gothic,47
141,Energetic,47
142,hot,47
143,chill out,47
144,guilty pleasure,46
145,Guilty Pleasures,46
146,trip hop,46
147,acid jazz,44
148,german,44
149,groovy,43
150,2009,42
151,soulful,41
152,girl power,41
153,Neo-Soul,41
154,Good Stuff,40
155,2007,40
156,epic,39
157,vocal trance,39
158,folk rock,39
159,pretty,39
160,dream pop,39
161,Driving,38
162,<3,38
163,Gothic Metal,38
164,nostalgia,38
165,Foxy Lady,37
166,i am a party girl here is my soundtrack,37
167,r and b,37
168,melodic,37
169,77davez-all-tracks,37
170,brilliant,36
171,emotional,36
172,vocalization,36
173,haunting,36
174,Bittersweet,35
175,easy,35
176,singer songwriter,35
177,indietronica,35
178,great lyrics,34
179,punk rock,33
180,swing,33
181,Retro,32
182,ballads,32
183,psychedelic,32
184,eurodance,32
185,new age,32
186,groove,32
187,dance-pop,32
188,rock n roll,31
189,great song,31
190,synth pop,31
191,Faves,31
192,1990s,31
193,World Music,31
194,interesting,31
195,chilled,31
196,musicspirit,31
197,teen pop,30
198,rap,30
199,night,30
200,indie folk,30
201,deutsch,30
202,celtic,30
203,adult contemporary,30
204,perfect,30
205,my favorite,29
206,My Favorites,29
207,attitude,29
208,emo,29
209,sex,29
210,folk-rock,29
211,new,29
212,goth,29
213,friendsofthekingofrummelpop,28
214,motown,28
215,post-punk,28
216,Lo-Fi,28
217,heavy metal,28
218,electro-pop,28
219,symphonic metal,28
220,Gothic Rock,28
221,the best,27
222,live,27
223,Alt-country,27
224,Favorite Artists,27
225,vocals,26
226,chick rock,26
227,irish,26
228,alt rock,26
229,out of our heads,26
230,nu jazz,26
231,UK top 40,26
232,christmas,26
233,divas,25
234,Alternative  Punk,25
235,My pop music,25
236,dance pop,25
237,reggae,25
238,Sentimental,25
239,women,25
240,sing along,25
241,americana,25
242,slow jams,25
243,top artists,25
244,feelgood,25
245,nostalgic,24
246,other,24
247,all the best,24
248,latino,24
249,beautiful voices,24
250,brazilian,24
251,Dream,24
252,Grunge,24
253,romantic tension,24
254,emotive,24
255,powerful,24
256,loneliness after dusk,24
257,Old School soul,23
258,industrial,23
259,2003,23
260,tantotempotaste,23
261,Neo Soul,23
262,intense,23
263,soothing,23
264,quirky,23
265,close harmony,22
266,Electroclash,22
267,1,22
268,italian,22
269,annymix,22
270,Sommer,22
271,check out,22
272,2006,22
