,Tag,Frequency
0,pop,1144
1,rock,1125
2,alternative,779
3,favorites,718
4,Love,690
5,indie,591
6,singer-songwriter,567
7,beautiful,557
8,00s,534
9,american,461
10,Mellow,443
11,Awesome,426
12,dance,415
13,oldies,412
14,alternative rock,411
15,classic rock,386
16,chillout,382
17,soul,380
18,Favorite,375
19,chill,375
20,electronic,354
21,Favourites,348
22,british,344
23,folk,339
24,cool,331
25,sexy,327
26,easy listening,326
27,indie rock,323
28,90s,310
29,acoustic,303
30,catchy,297
31,80s,296
32,favourite,286
33,rnb,260
34,pop rock,259
35,guitar,259
36,sad,256
37,fun,254
38,jazz,252
39,party,244
40,favorite songs,243
41,happy,241
42,70s,237
43,classic,232
44,melancholy,226
45,electronica,225
46,60s,215
47,loved,213
48,amazing,211
49,Soundtrack,209
50,romantic,206
51,Ballad,203
52,seen live,199
53,soft rock,194
54,relax,190
55,indie pop,190
56,blues,190
57,punk,187
58,melancholic,186
59,hard rock,184
60,country,179
61,upbeat,178
62,piano,173
63,relaxing,169
64,vocal,166
65,funk,163
66,smooth,162
67,2000s,161
68,Love it,159
69,love songs,156
70,USA,154
71,sweet,154
72,metal,152
73,UK,151
74,experimental,146
75,memories,145
76,english,144
77,summer,143
78,soft,142
79,good,141
80,great,141
81,Favourite Songs,141
82,funky,139
83,britpop,138
84,lovely,136
85,Dreamy,131
86,rhythm and blues,131
87,slow,130
88,lounge,126
89,Hip-Hop,126
90,love at first listen,124
91,nice,124
92,epic,123
93,ambient,120
94,cover,120
95,live,118
96,heard on Pandora,115
97,best,112
98,downtempo,112
99,Disco,111
100,electro,110
101,punk rock,110
102,dark,108
103,emo,107
104,r&b,107
105,atmospheric,107
106,rock n roll,106
107,folk rock,106
108,psychedelic,104
109,love song,104
110,great song,103
111,Good Stuff,103
112,new wave,102
113,top 40,101
114,Rock and Roll,100
115,nostalgia,99
116,Energetic,98
117,RB,98
118,songs I absolutely love,97
119,trip-hop,94
120,FUCKING AWESOME,94
121,emotional,93
122,fav,93
123,great lyrics,92
124,easy,90
125,singer songwriter,89
126,Progressive rock,88
127,feel good,88
128,Uplifting,87
129,Alternative  Punk,87
130,My pop music,86
131,all the best,83
132,my favorite,83
133,heavy metal,83
134,Pop-Rock,82
135,Guilty Pleasures,81
136,brilliant,81
137,drjazzmrfunkmusic,80
138,post-punk,80
139,77davez-all-tracks,80
140,hip hop,79
141,covers,79
142,perfect,79
143,guilty pleasure,79
144,Driving,78
145,americana,78
146,pretty,77
147,50s,77
148,groovy,77
149,2008,77
150,Retro,76
151,calm,74
152,electropop,74
153,blues rock,73
154,adult contemporary,72
155,close harmony,71
156,Gothic,71
157,r and b,71
158,Old School soul,70
159,2007,70
160,melodic,70
161,My Favorites,68
162,ballads,68
163,House,68
164,rap,68
165,major key tonality,67
166,sensual,67
167,vocal jazz,66
168,friendsofthekingofrummelpop,66
169,Radiotsar approved,65
170,hot,64
171,Smooth Jazz,64
172,groove,64
173,synthpop,63
174,urban,63
175,Canadian,63
176,world,63
177,alt rock,62
178,Bittersweet,62
179,nostalgic,62
180,folk-rock,62
181,<3,61
182,haunting,61
183,jazzy,61
184,cute,60
185,latin,60
186,the best,59
187,favs,59
188,spanish,59
189,soulful,58
190,old school,58
191,favorite by this singer,58
192,2006,58
193,80's,57
194,trance,57
195,jazz vocal,57
196,instrumental,57
197,Masterpiece,56
198,poprock,56
199,pop punk,56
200,ethereal,55
201,1970s,55
202,Favorite Artists,55
203,Grunge,55
204,best songs ever,54
205,reggae,54
206,1960s,54
207,techno,53
208,glam rock,53
209,powerful,53
210,chill out,53
211,classic country,52
212,sex,52
213,acclaimed music top 3000,52
214,Psychedelic Rock,52
215,genius,52
216,german,52
217,Progressive,52
218,motown,51
219,funny,51
220,indie folk,51
221,2005,51
222,other,51
223,Neo-Soul,51
224,1990s,50
225,england,50
226,night,50
227,club,49
228,title is a full sentence,49
229,legend,49
230,Garage Rock,49
231,swing,49
232,Alt-country,49
233,political,49
234,irish,49
235,industrial,49
236,2009,49
237,lyrics,48
238,i am a party girl here is my soundtrack,48
239,rockabilly,47
240,All time favourites,47
241,new,47
242,sing along,46
243,feelgood,46
244,Like,46
245,synth pop,45
246,my music,45
247,1980s,45
248,australian,44
249,slgdm,44
250,classics,43
251,soothing,43
252,extensive vamping,43
253,trip hop,42
254,addictive,42
255,personal favourites,42
256,angry,42
257,swedish,42
258,slow jams,41
259,4,41
260,aitch,41
261,intense,41
262,vocals,41
263,handclaps,40
264,top artists,40
265,scandinavian,40
266,Jills Station,40
267,classic soul,40
268,alternative metal,40
269,Brems Tagg radio,40
270,UK top 40,40
271,GH10,40
272,60's,39
273,Sentimental,39
274,Lo-Fi,39
275,garage,39
276,french,39
277,Faves,38
278,rockin,38
279,morning,38
280,synth,38
281,RockPop,38
282,energy,38
283,best songs of the 00s,38
284,Soundtrack Of My Life,37
285,quirky,37
286,indietronica,37
287,brit pop,36
288,California,36
289,slgdmbestof,36
290,new age,36
291,piano rock,36
292,brit rock,36
293,out of our heads,36
294,Nu Metal,36
295,hardcore,36
296,diva,36
297,goth,36
298,christian,36
299,High School,36
300,70's,36
301,Southern Rock,35
302,download,35
303,a subtle use of vocal harmony,35
304,power pop,35
305,beat,34
306,great songs,34
307,loved tracks,34
308,moody,34
309,rock ballad,34
310,tantotempotaste,34
311,interesting,34
312,fH Projex,34
313,repetitive melodic phrasing,34
314,Adult Alternative,34
315,all time favorites,34
316,a vocal-centric aesthetic,34
317,winter,34
318,girl power,34
319,post-rock,34
320,vocalization,33
321,solx,33
322,inspirational,33
323,good music,33
324,good shit,33
325,Progressive metal,33
326,good song,33
327,positive,33
328,Rock  Roll,33
329,new york,33
330,Scottish,33
331,darkwave,33
332,strings,33
333,favorite song,33
334,rex ferric faves,32
335,Great Lyricists,32
336,golden oldies,32
337,bass,32
338,de todo mio favoritos,32
339,powerpop,32
340,Soundtracks,32
341,Makes Me Smile,31
342,heavy,31
343,attitude,31
344,art rock,31
345,gute laune,31
346,best song ever,31
347,Post punk,31
348,Neo Soul,31
349,dream pop,31
350,Pop Life,31
351,Gothic Rock,31
352,super,31
353,dance pop,31
354,alternative pop,31
355,teen pop,30
356,quiet storm,30
357,I like,30
358,favourite tracks,30
359,i feel good,30
360,chilled,30
361,wow,30
362,gh 3,30
363,acid jazz,30
364,5,30
365,hiphop,30
366,1,29
367,soul tag,29
368,sixties,29
369,Reflective,29
370,makes me happy,29
371,World Music,29
372,celtic,29
373,2giveme5,29
374,british rock,29
375,all time faves,29
376,musicspirit,29
377,60s Gold,29
378,mild rhythmic syncopation,29
379,my soundtrack,29
380,melodic metal,29
381,top 2000,29
382,canada,29
383,Gothic Metal,29
384,favouritestreamable,28
385,ska,28
386,20th Century,28
387,songwriter,28
388,makes me cry,28
389,heartbreak,28
390,deutsch,28
391,latin pop,28
392,depressing,28
393,ik ben,28
394,Rolling Stone 500 Greatest Songs of All Time,28
395,chick rock,28
396,life,28
397,Classical,28
398,2004,28
399,acoustic guitar,27
400,1950s,27
401,2001,27
402,2003,27
403,vocal trance,27
404,Power ballad,27
405,to classify,27
406,guitar virtuoso,27
407,freedom,27
408,malloy2000 playlist - top songs - classical to metal,27
409,Power metal,27
410,Excellent tune,27
411,girls,27
412,dramatic,27
413,folkrock,27
414,annymix,27
415,hypnotic,27
416,emotive,27
417,lovesongs,26
418,60s pop,26
419,northern soul,26
420,late night,26
421,most loved,26
422,50's,26
423,soul and rnb classics,26
424,yeah,26
425,sound storm,26
426,drums,25
427,Black,25
428,old favorites,25
429,post-grunge,25
430,good mood,25
431,eighties,25
432,inspiring,25
433,us,25
434,2002,25
435,1995,25
436,romance,24
437,glam,24
438,Rolling Stones Top 500 Songs of All Time,24
439,wonderful,24
440,minor key tonality,24
441,audioase,24
442,NYC,24
443,singersongwriter,24
444,music,24
445,country rock,24
446,2000,24
447,top,24
448,cheerful,24
449,90's,24
450,albums I own,24
451,mixed acoustic and electric instrumentation,23
452,influential,23
453,san francisco,23
454,rhythum and blues tag,23
455,cheesy,23
456,sleek,23
457,crowe,23
458,modern rock,23
459,magic,23
460,popular,23
461,Coldplay,23
462,LOVE LOVE LOVE,23
463,singer-songwriters,23
464,Romantica,23
465,symphonic metal,23
466,names,23
467,f,23
468,italian,23
469,spiritual,23
470,electric guitar riffs,22
471,80s soul,22
472,anthem,22
473,r'n'b,22
474,norwegian,22
475,quiet,22
476,eurodance,22
477,like it,22
478,sunny,22
479,work,22
480,women,22
481,Sleep,22
482,4 Stars,22
483,christian rock,22
484,harmony,22
485,weallgetold,22
486,crazy,22
487,buy,22
488,Fusion,22
489,Voice,22
490,Ion B radio,22
491,Perfection,22
492,Sweden,22
493,poetry,22
494,rain,22
495,the singles,22
496,divas,22
497,blues-rock,22
498,rock and roll mia favoritos,22
499,mood music,22
500,jukebox heaven,21
501,performed on top of the pops,21
502,cool down,21
503,lyricism,21
504,harmonica,21
505,leapsandloved,21
506,awesomeness,21
507,gospel,21
508,Allgemein,21
509,1970,21
510,slow jam,21
511,acoustic rhythm piano,21
512,british invasion,21
513,electro-pop,21
514,romantic tension,21
515,remix,21
516,trippy,21
517,famisa,21
518,Oldies Tag,21
519,supercla,21
520,newbest,21
521,ok,21
522,jo,21
523,Foxy Lady,21
524,Dream,21
525,Emotional Adult Rock,21
526,loneliness after dusk,21
527,80s Pop,20
528,european,20
529,mod,20
530,5 Star,20
531,favoritas,20
532,drugs,20
533,Avant-Garde,20
534,critically acclaimed song,20
535,500,20
536,songs i love,20
537,Guitar Solo,20
538,Girl,20
539,duet,20
540,lush,20
541,fon,20
542,metalcore,20
543,finnish,20
544,nu jazz,20
545,excellent,20
546,español,20
547,brasil,20
548,essential,20
549,doo wop,20
550,childhood,20
551,Pop-punk,20
552,laid back,20
553,relaxed,20
554,alt country,20
555,usa hot 100 number one hit,20
556,dance-pop,20
557,Brit,20
558,electric rock instrumentation,20
559,heartache,20
560,london,20
561,1968,20
562,road trip,20
563,sad songs,20
564,shoegaze,20
565,3 star,20
566,modern country,20
567,special to me songs,19
568,-fenol,19
569,rocknroll,19
570,billboard number ones,19
571,-3,19
572,Heartbreaking,19
573,eddie,19
574,weird,19
575,1999,19
576,Awesome Guitar Jams,19
577,gotanygoodmusic,19
578,proto-punk,19
579,cover songs,19
580,AM Gold,19
581,fhNotBad,19
582,industrial metal,19
583,best songs of the 80s,19
584,stonesoup,19
585,australia,19
586,gh fgh,19
587,Noah Eatons All-Time Favorite Songs,19
588,Experimental Rock,19
589,90s Rock,19
590,singer,19
591,lol,19
592,1964,19
593,Acoustic Rock,19
594,britannique,19
595,breakup,19
596,metro downtempo,19
597,dub,19
598,Passionate,18
599,affirming,18
600,blue,18
601,progressive trance,18
602,radioultra,18
603,brazilian,18
604,underrated,18
605,dancing,18
606,uk number one,18
607,pop music tag,18
608,best songs of the 70s,18
609,Stoner Rock,18
610,percussion,18
611,lacrimaindarkness,18
612,acoustic rhythm guitars,18
613,80s rock,18
614,-favorites-,18
615,greys anatomy,18
616,sunday,18
617,I love this song,18
618,saxophone,18
619,one star,18
620,One Tree Hill,18
621,zajebiste,18
622,wistful,18
623,i love it,18
624,Espanol,18
625,fucking brilliant,18
626,woman,18
627,prominent percussion,18
628,first person songs,18
629,sleepy,18
630,autumn,18
631,Soul And RB,17
632,violin,17
633,good times,17
634,voci femminili,17
635,test,17
636,timeless,17
637,hippie,17
638,favorite tracks,17
639,Workout,17
640,90s pop,17
641,halloween,17
642,beautiful voice,17
643,Favorite Bands,17
644,Official UK Chart Number 1,17
645,DJPMan-loved-tracks,17
646,Old School Slow Jams,17
647,chaser i,17
648,danceable,17
649,West Coast swing,17
650,Symphonic Rock,17
651,bouncy,17
652,4 Star,17
653,high,17
654,1996,17
655,a long red glare,17
656,basic rock song structures,17
657,70s Blockbusters,17
658,spotify,17
659,life song,17
660,rock top,17
661,best of 2008,17
662,catchy as hell,17
663,loved tracks ocam,17
664,album rock,17
665,xynod,17
666,21st century,17
667,screamo,17
668,3,17
669,christmas,17
670,Playlist,17
671,post-hardcore,17
672,riot grrrl,17
673,Best Songs of the 90s,17
674,Girl Groups,17
675,singalong,17
676,duets,17
677,BeatbabeBop selection,17
678,girl group,17
679,one hit wonder,17
680,fhEasy,17
681,synth-pop,17
682,synthesizer,17
683,sing,17
684,hair metal,17
685,fast,17
686,me,17
