,Tag,Frequency
0,pop,798
1,rock,580
2,alternative,424
3,Love,389
4,favorites,376
5,00s,366
6,dance,362
7,singer-songwriter,361
8,indie,356
9,beautiful,342
10,electronic,314
11,chillout,295
12,Mellow,289
13,soul,286
14,sexy,249
15,jazz,240
16,chill,219
17,90s,213
18,british,207
19,folk,204
20,electronica,201
21,american,201
22,rnb,199
23,cool,188
24,Awesome,184
25,easy listening,177
26,alternative rock,173
27,acoustic,171
28,Favorite,166
29,80s,158
30,sad,152
31,catchy,150
32,indie rock,150
33,Favourites,149
34,party,145
35,favourite,143
36,melancholy,143
37,pop rock,140
38,ambient,140
39,happy,140
40,oldies,136
41,fun,129
42,relax,128
43,indie pop,128
44,lounge,124
45,downtempo,122
46,Ballad,120
47,romantic,115
48,melancholic,115
49,vocal,113
50,piano,113
51,amazing,110
52,loved,108
53,smooth,108
54,blues,108
55,favorite songs,108
56,country,107
57,electro,103
58,sweet,101
59,seen live,100
60,upbeat,100
61,Soundtrack,99
62,Love it,98
63,soft,96
64,relaxing,96
65,classic rock,94
66,english,93
67,love songs,93
68,trip-hop,92
69,Dreamy,92
70,punk,89
71,nice,89
72,cover,88
73,lovely,87
74,experimental,86
75,summer,85
76,Disco,82
77,love at first listen,82
78,USA,81
79,funk,81
80,atmospheric,80
81,classic,77
82,House,77
83,slow,77
84,2000s,76
85,60s,76
86,metal,76
87,world,75
88,electropop,74
89,UK,73
90,70s,72
91,good,72
92,Hip-Hop,72
93,funky,71
94,r&b,70
95,Favourite Songs,70
96,trance,70
97,rhythm and blues,68
98,love song,68
99,techno,67
100,guitar,67
101,new wave,66
102,vocal jazz,64
103,club,64
104,favorite by this singer,63
105,RB,63
106,ethereal,63
107,soft rock,62
108,best,62
109,guilty pleasure,61
110,jazz vocal,61
111,latin,61
112,memories,60
113,sensual,60
114,Gothic,59
115,Smooth Jazz,59
116,britpop,59
117,groovy,59
118,Neo-Soul,58
119,synthpop,58
120,covers,57
121,Guilty Pleasures,57
122,top 40,56
123,songs I absolutely love,56
124,Energetic,56
125,urban,56
126,2008,55
127,great,55
128,psychedelic,55
129,chill out,54
130,drjazzmrfunkmusic,53
131,dark,52
132,french,52
133,diva,52
134,live,51
135,jazzy,51
136,hip hop,50
137,punk rock,50
138,Good Stuff,50
139,Driving,50
140,<3,49
141,Canadian,49
142,fav,48
143,adult contemporary,48
144,calm,48
145,epic,48
146,2007,47
147,Uplifting,47
148,new,47
149,r and b,46
150,post-punk,46
151,2009,45
152,girl power,45
153,eurodance,45
154,Progressive rock,45
155,Gothic Metal,44
156,german,44
157,cute,44
158,hard rock,44
159,vocalization,44
160,vocal trance,44
161,heard on Pandora,44
162,swedish,43
163,trip hop,43
164,nostalgia,42
165,77davez-all-tracks,42
166,i am a party girl here is my soundtrack,41
167,hot,41
168,folk rock,41
169,pretty,41
170,feel good,40
171,other,40
172,easy,40
173,Pop-Rock,40
174,rap,39
175,dance pop,39
176,soulful,39
177,instrumental,39
178,musicspirit,39
179,acid jazz,39
180,emotional,39
181,great lyrics,38
182,spanish,38
183,groove,38
184,Retro,38
185,ballads,38
186,dream pop,37
187,FUCKING AWESOME,37
188,sex,37
189,chick rock,36
190,celtic,36
191,Neo Soul,35
192,haunting,35
193,My Favorites,35
194,sing along,35
195,out of our heads,35
196,UK top 40,34
197,Favorite Artists,34
198,rock n roll,34
199,emo,34
200,melodic,33
201,Gothic Rock,33
202,synth pop,33
203,late night,32
204,my favorite,32
205,feelgood,32
206,reggae,32
207,brazilian,32
208,My pop music,31
209,nostalgic,31
